date,close
2019-06-21,33.25
2019-06-24,33.19
2019-06-25,32.68
2019-06-26,37.04
2019-06-27,38.07
2019-06-28,38.59
2019-07-01,40.11
2019-07-02,39.6
2019-07-03,39.59
2019-07-05,39.42
2019-07-08,40.41
2019-07-09,41.35
2019-07-10,42.9
2019-07-11,43.48
2019-07-12,44.51
2019-07-15,44.4
2019-07-16,43.06
2019-07-17,43.37
2019-07-18,44.67
2019-07-19,45.52
2019-07-22,47.19
2019-07-23,46.95
2019-07-24,47.99
2019-07-25,47.77
2019-07-26,47.49
2019-07-29,46.82
2019-07-30,47.46
2019-07-31,44.89
2019-08-01,43.6
2019-08-02,44.08
2019-08-05,41.94
2019-08-06,42.62
2019-08-07,41.75
2019-08-08,42.63
2019-08-09,41.52
2019-08-12,42.13
2019-08-13,44.17
2019-08-14,42.04
2019-08-15,42.24
2019-08-16,43.55
2019-08-19,45.01
2019-08-20,44.23
2019-08-21,44.17
2019-08-22,44.78
2019-08-23,42.96
2019-08-26,43.43
2019-08-27,42.44
2019-08-28,43.15
2019-08-29,44.67
2019-08-30,45.27
2019-09-03,44.99
2019-09-04,46.81
2019-09-05,49.03
2019-09-06,48.97
2019-09-09,49.13
2019-09-10,49.39
2019-09-11,50.48
2019-09-12,50.44
2019-09-13,50.5
2019-09-16,50.15
2019-09-17,50.84
2019-09-18,50.48
2019-09-19,49.82
2019-09-20,49.16
2019-09-23,49.6
2019-09-24,48.51
2019-09-25,49.47
2019-09-26,48.6
2019-09-27,43.21
2019-09-30,42.85
2019-10-01,42.3
2019-10-02,41.98
2019-10-03,43.46
2019-10-04,44.55
2019-10-07,44.16
2019-10-08,42.635
2019-10-09,42.875
2019-10-10,43.28
2019-10-11,45.1
2019-10-14,44.86
2019-10-15,46.455
2019-10-16,45.16
2019-10-17,45.5
2019-10-18,43.47
2019-10-21,45.22
2019-10-22,44.66
2019-10-23,44.66
2019-10-24,47.1
2019-10-25,48.03
2019-10-28,48.69
2019-10-29,48.11
2019-10-30,47.88
2019-10-31,47.55
2019-11-01,48.38
