date,close
2019-06-21,39.02
2019-06-24,39.09
2019-06-25,37.59
2019-06-26,37.67
2019-06-27,38.84
2019-06-28,38.0
2019-07-01,39.23
2019-07-02,39.69
2019-07-03,39.33
2019-07-05,39.2
2019-07-08,38.72
2019-07-09,39.45
2019-07-10,39.82
2019-07-11,39.97
2019-07-12,40.33
2019-07-15,40.48
2019-07-16,40.27
2019-07-17,39.57
2019-07-18,39.61
2019-07-19,39.0
2019-07-22,39.59
2019-07-23,39.63
2019-07-24,39.99
2019-07-25,38.41
2019-07-26,37.04
2019-07-29,39.34
2019-07-30,38.87
2019-07-31,39.22
2019-08-01,38.25
2019-08-02,37.54
2019-08-05,36.34
2019-08-06,37.1
2019-08-07,36.54
2019-08-08,37.36
2019-08-09,36.96
2019-08-12,36.27
2019-08-13,37.53
2019-08-14,35.87
2019-08-15,35.86
2019-08-16,36.48
2019-08-19,36.41
2019-08-20,36.48
2019-08-21,36.46
2019-08-22,36.55
2019-08-23,35.79
2019-08-26,36.15
2019-08-27,36.49
2019-08-28,36.21
2019-08-29,36.86
2019-08-30,37.1
2019-09-03,37.1
2019-09-04,37.96
2019-09-05,38.08
2019-09-06,37.99
2019-09-09,37.48
2019-09-10,37.48
2019-09-11,37.66
2019-09-12,37.74
2019-09-13,37.88
2019-09-16,38.03
2019-09-17,37.68
2019-09-18,37.33
2019-09-19,37.44
2019-09-20,35.77
2019-09-23,36.585
2019-09-24,36.01
2019-09-25,36.48
2019-09-26,36.17
2019-09-27,35.26
2019-09-30,35.01
2019-10-01,34.76
2019-10-02,34.03
2019-10-03,34.93
2019-10-04,35.36
2019-10-07,35.28
2019-10-08,35.4
2019-10-09,35.66
2019-10-10,35.56
2019-10-11,29.99
2019-10-14,30.3
2019-10-15,30.52
2019-10-16,30.2
2019-10-17,30.29
2019-10-18,29.76
2019-10-21,32.76
2019-10-22,32.18
2019-10-23,31.98
2019-10-24,32.7
2019-10-25,32.27
2019-10-28,33.58
2019-10-29,33.66
2019-10-30,33.57
2019-10-31,33.39
2019-11-01,33.85
2019-11-04,34.24
2019-11-05,34.52
2019-11-06,34.2
2019-11-07,34.07
2019-11-08,34.16
2019-11-11,34.23
2019-11-12,33.87
2019-11-13,33.88
2019-11-14,34.56
2019-11-15,35.79
2019-11-18,40.07
2019-11-19,39.43
2019-11-20,40.15
2019-11-21,40.09
2019-11-22,40.46
