date,close
2023-06-21,19.22
2023-06-22,19.08
2023-06-23,19.4
2023-06-26,18.53
2023-06-27,19.59
2023-06-28,21.07
2023-06-29,20.9
2023-06-30,21.77
2023-07-03,21.91
2023-07-05,22.16
2023-07-06,21.74
2023-07-07,21.89
2023-07-10,22.52
2023-07-11,22.41
2023-07-12,21.8
2023-07-13,21.49
2023-07-14,20.42
2023-07-17,20.76
2023-07-18,21.15
2023-07-19,21.14
2023-07-20,20.68
2023-07-21,21.03
2023-07-24,20.81
2023-07-25,20.3
2023-07-26,20.77
2023-07-27,21.33
2023-07-28,21.54
2023-07-31,22.07
2023-08-01,19.41
2023-08-02,18.64
2023-08-03,18.28
2023-08-04,17.95
2023-08-07,18.48
2023-08-08,18.42
2023-08-09,17.9
2023-08-10,17.97
2023-08-11,17.68
2023-08-14,17.8
2023-08-15,17.65
2023-08-16,17.12
2023-08-17,16.78
2023-08-18,16.68
2023-08-21,17.01
2023-08-22,17.26
2023-08-23,17.57
2023-08-24,16.93
2023-08-25,16.87
2023-08-28,16.68
2023-08-29,16.91
2023-08-30,16.54
2023-08-31,16.57
2023-09-01,16.4
2023-09-05,16.66
2023-09-06,16.59
2023-09-07,16.49
2023-09-08,16.3
2023-09-11,16.66
2023-09-12,16.65
2023-09-13,16.35
2023-09-14,17.28
2023-09-15,17.23
2023-09-18,17.12
2023-09-19,17.34
2023-09-20,17.17
2023-09-21,16.92
2023-09-22,15.66
2023-09-25,15.18
2023-09-26,15.39
2023-09-27,16.29
2023-09-28,16.94
2023-09-29,16.48
2023-10-02,16.44
2023-10-03,15.85
2023-10-04,16.46
2023-10-05,16.44
2023-10-06,16.65
2023-10-09,16.65
2023-10-10,16.61
2023-10-11,15.66
2023-10-12,15.49
2023-10-13,14.86
2023-10-16,14.96
2023-10-17,15.14
2023-10-18,14.32
2023-10-19,13.96
2023-10-20,13.58
2023-10-23,13.92
2023-10-24,13.95
2023-10-25,13.72
2023-10-26,13.54
2023-10-27,13.36
2023-10-30,13.52
2023-10-31,13.6
2023-11-01,13.1
2023-11-02,13.07
2023-11-03,13.81
2023-11-06,13.11
2023-11-07,13.39
2023-11-08,13.44
2023-11-09,12.76
2023-11-10,13.18
2023-11-13,13.1
2023-11-14,14.03
2023-11-15,14.68
2023-11-16,14.63
2023-11-17,14.93
2023-11-20,14.62
2023-11-21,14.33
2023-11-22,14.39
2023-11-24,14.37
2023-11-27,14.38
2023-11-28,14.48
2023-11-29,14.83
2023-11-30,15.27
2023-12-01,16.42
2023-12-04,17.5
2023-12-05,17.59
2023-12-06,18.18
2023-12-07,18.77
2023-12-08,18.68
2023-12-11,18.42
2023-12-12,18.45
2023-12-13,19.22
2023-12-14,20.35
2023-12-15,20.36
2023-12-18,20.32
2023-12-19,20.69
2023-12-20,19.87
2023-12-21,20.95
2023-12-22,20.95
2023-12-26,20.35
2023-12-27,20.38
2023-12-28,20.47
2023-12-29,20.04
2024-01-02,18.32
