date,close
2019-06-21,5.22
2019-06-24,5.56
2019-06-25,5.49
2019-06-26,5.66
2019-06-27,5.78
2019-06-28,5.91
2019-07-01,5.59
2019-07-02,5.81
2019-07-03,5.66
2019-07-05,5.56
2019-07-08,5.57
2019-07-09,5.77
2019-07-10,5.87
2019-07-11,5.88
2019-07-12,6.13
2019-07-15,6.06
2019-07-16,6.14
2019-07-17,6.3
2019-07-18,6.53
2019-07-19,6.29
2019-07-22,6.3
2019-07-23,6.21
2019-07-24,6.39
2019-07-25,6.26
2019-07-26,6.28
2019-07-29,6.44
2019-07-30,6.41
2019-07-31,6.17
2019-08-01,6.59
2019-08-02,6.45
2019-08-05,6.62
2019-08-06,6.7
2019-08-07,6.74
2019-08-08,6.93
2019-08-09,6.95
2019-08-12,6.82
2019-08-13,6.7
2019-08-14,6.89
2019-08-15,7.03
2019-08-16,6.92
2019-08-19,6.82
2019-08-20,7.1
2019-08-21,7.16
2019-08-22,7.11
2019-08-23,7.5
2019-08-26,7.48
2019-08-27,7.83
2019-08-28,7.79
2019-08-29,7.42
2019-08-30,7.44
2019-09-03,7.49
2019-09-04,7.58
2019-09-05,7.13
2019-09-06,6.76
2019-09-09,6.59
2019-09-10,6.48
2019-09-11,6.55
2019-09-12,6.52
2019-09-13,6.39
2019-09-16,6.1
2019-09-17,6.33
2019-09-18,6.17
2019-09-19,6.25
2019-09-20,6.38
2019-09-23,6.58
2019-09-24,6.64
2019-09-25,6.42
2019-09-26,6.24
2019-09-27,6.33
2019-09-30,6.07
2019-10-01,6.15
2019-10-02,6.34
2019-10-03,6.34
2019-10-04,6.5
2019-10-07,6.45
2019-10-08,6.79
2019-10-09,6.66
2019-10-10,6.61
2019-10-11,6.28
2019-10-14,6.21
2019-10-15,6.06
2019-10-16,6.18
2019-10-17,6.39
2019-10-18,6.53
2019-10-21,6.28
2019-10-22,6.22
2019-10-23,6.25
2019-10-24,6.66
2019-10-25,6.77
2019-10-28,6.67
2019-10-29,6.88
2019-10-30,7.14
2019-10-31,7.28
2019-11-01,7.21
2019-11-04,6.95
2019-11-05,6.75
2019-11-06,6.82
2019-11-07,6.42
2019-11-08,6.26
2019-11-11,6.25
2019-11-12,6.45
2019-11-13,6.54
2019-11-14,6.75
2019-11-15,6.63
2019-11-18,6.82
2019-11-19,6.88
2019-11-20,6.91
2019-11-21,6.73
2019-11-22,6.65
2019-11-25,6.59
2019-11-26,6.76
2019-11-27,6.75
2019-11-29,6.96
2019-12-02,6.83
2019-12-03,7.07
2019-12-04,6.99
2019-12-05,7.24
2019-12-06,6.9
2019-12-09,6.7
2019-12-10,6.66
2019-12-11,7.08
2019-12-12,7.19
2019-12-13,7.48
2019-12-16,7.48
2019-12-17,7.49
2019-12-18,7.57
2019-12-19,7.56
2019-12-20,7.41
2019-12-23,7.97
2019-12-24,8.36
2019-12-26,8.53
2019-12-27,8.66
2019-12-30,9.06
2019-12-31,8.96
2020-01-02,8.84
2020-01-03,8.59
2020-01-06,8.67
2020-01-07,9.09
2020-01-08,8.5
2020-01-09,8.24
2020-01-10,8.76
2020-01-13,8.34
2020-01-14,8.37
2020-01-15,8.79
2020-01-16,8.88
2020-01-17,8.74
2020-01-21,8.86
2020-01-22,8.86
2020-01-23,9.23
2020-01-24,9.24
2020-01-27,9.06
2020-01-28,8.91
2020-01-29,9.19
2020-01-30,9.13
2020-01-31,9.12
2020-02-03,9.1
2020-02-04,9.1
2020-02-05,8.85
2020-02-06,9.06
2020-02-07,8.75
2020-02-10,9.01
2020-02-11,8.95
2020-02-12,8.86
2020-02-13,9.15
2020-02-14,9.02
2020-02-18,9.39
2020-02-19,9.48
2020-02-20,9.29
2020-02-21,9.41
2020-02-24,9.51
2020-02-25,9.16
2020-02-26,9.34
2020-02-27,8.7
2020-02-28,7.98
2020-03-02,8.59
2020-03-03,8.61
2020-03-04,8.63
2020-03-05,8.83
2020-03-06,8.68
2020-03-09,8.05
2020-03-10,8.27
2020-03-11,7.52
2020-03-12,6.64
2020-03-13,5.87
2020-03-16,6.86
2020-03-17,8.76
2020-03-18,7.94
2020-03-19,7.49
2020-03-20,6.74
2020-03-23,7.19
2020-03-24,8.13
2020-03-25,8.28
2020-03-26,8.54
2020-03-27,7.76
2020-03-30,7.7
2020-03-31,7.38
2020-04-01,7.68
2020-04-02,8.2
2020-04-03,8.65
2020-04-06,8.83
2020-04-07,8.91
2020-04-08,9.31
2020-04-09,9.99
2020-04-13,10.73
2020-04-14,11.58
2020-04-15,11.87
2020-04-16,11.88
2020-04-17,11.27
2020-04-20,11.54
2020-04-21,11.44
2020-04-22,12.14
2020-04-23,12.02
2020-04-24,12.08
2020-04-27,11.96
2020-04-28,11.81
2020-04-29,12.12
2020-04-30,11.19
2020-05-01,11.4
2020-05-04,11.51
2020-05-05,11.73
2020-05-06,11.19
2020-05-07,11.8
2020-05-08,11.47
2020-05-11,10.85
2020-05-12,10.85
2020-05-13,11.09
2020-05-14,11.45
2020-05-15,11.7
2020-05-18,11.4
2020-05-19,11.95
2020-05-20,11.65
2020-05-21,11.31
2020-05-22,11.57
2020-05-26,10.41
2020-05-27,10.65
2020-05-28,9.71
2020-05-29,9.56
2020-06-01,9.03
2020-06-02,8.81
2020-06-03,8.65
2020-06-04,9.23
2020-06-05,9.05
2020-06-08,8.06
2020-06-09,8.43
2020-06-10,9.07
2020-06-11,8.27
2020-06-12,8.43
2020-06-15,8.53
2020-06-16,8.01
2020-06-17,8.15
2020-06-18,7.99
2020-06-19,8.37
2020-06-22,8.77
2020-06-23,8.77
2020-06-24,8.71
2020-06-25,8.59
2020-06-26,8.61
2020-06-29,8.81
2020-06-30,9.18
2020-07-01,9.31
2020-07-02,9.23
2020-07-06,9.18
2020-07-07,9.71
2020-07-08,9.16
2020-07-09,8.65
2020-07-10,8.82
2020-07-13,8.16
2020-07-14,8.42
2020-07-15,8.38
2020-07-16,8.22
2020-07-17,8.42
2020-07-20,8.48
2020-07-21,8.81
2020-07-22,8.74
2020-07-23,8.57
2020-07-24,8.79
2020-07-27,9.29
2020-07-28,9.17
2020-07-29,9.21
2020-07-30,8.8
2020-07-31,9.12
2020-08-03,8.98
2020-08-04,9.56
2020-08-05,9.56
2020-08-06,9.28
2020-08-07,9.09
2020-08-10,9.02
2020-08-11,8.18
2020-08-12,8.46
2020-08-13,8.73
2020-08-14,8.59
2020-08-17,9.37
2020-08-18,9.44
2020-08-19,9.22
2020-08-20,9.4
2020-08-21,9.17
2020-08-24,9.2
2020-08-25,9.29
2020-08-26,9.73
2020-08-27,9.52
2020-08-28,9.78
2020-08-31,10.59
2020-09-01,10.58
2020-09-02,10.58
2020-09-03,10.48
2020-09-04,10.68
2020-09-08,10.65
2020-09-09,11.2
2020-09-10,11.41
2020-09-11,10.55
2020-09-14,11.4
2020-09-15,11.57
2020-09-16,11.78
2020-09-17,11.75
2020-09-18,11.62
2020-09-21,11.25
2020-09-22,11.34
2020-09-23,10.6
2020-09-24,11.22
2020-09-25,11.34
2020-09-28,11.65
2020-09-29,11.81
2020-09-30,11.89
2020-10-01,11.5
2020-10-02,11.1
2020-10-05,11.14
2020-10-06,10.97
2020-10-07,10.96
2020-10-08,11.02
2020-10-09,11.4
2020-10-12,11.41
2020-10-13,11.02
2020-10-14,11.07
2020-10-15,11.02
2020-10-16,11.0
2020-10-19,10.98
2020-10-20,10.88
2020-10-21,10.89
2020-10-22,10.62
2020-10-23,10.76
2020-10-26,10.67
2020-10-27,11.1
2020-10-28,10.22
2020-10-29,10.16
2020-10-30,10.36
2020-11-02,10.66
2020-11-03,10.95
2020-11-04,10.62
2020-11-05,11.4
2020-11-06,11.45
2020-11-09,11.12
2020-11-10,10.62
2020-11-11,10.65
2020-11-12,10.83
2020-11-13,10.84
2020-11-16,11.01
2020-11-17,10.94
2020-11-18,10.44
2020-11-19,10.48
2020-11-20,10.55
2020-11-23,10.05
2020-11-24,9.88
2020-11-25,9.94
2020-11-27,10.05
2020-11-30,9.96
2020-12-01,10.17
2020-12-02,10.31
2020-12-03,10.13
2020-12-04,10.14
2020-12-07,10.47
2020-12-08,10.5
2020-12-09,9.95
2020-12-10,10.0
2020-12-11,9.95
2020-12-14,9.82
2020-12-15,10.22
2020-12-16,10.48
2020-12-17,10.94
2020-12-18,10.42
2020-12-21,10.46
2020-12-22,10.01
2020-12-23,9.99
2020-12-24,10.0
2020-12-28,9.79
2020-12-29,9.7
2020-12-30,9.97
2020-12-31,9.67
2021-01-04,10.35
2021-01-05,10.17
2021-01-06,10.35
2021-01-07,10.24
2021-01-08,9.76
2021-01-11,9.67
2021-01-12,9.76
2021-01-13,9.6
2021-01-14,9.6
2021-01-15,8.9
2021-01-19,8.86
2021-01-20,9.22
2021-01-21,9.0
2021-01-22,9.1
2021-01-25,8.97
2021-01-26,8.97
2021-01-27,8.63
2021-01-28,9.47
2021-01-29,9.12
2021-02-01,9.58
2021-02-02,9.43
2021-02-03,9.2
2021-02-04,9.17
2021-02-05,9.17
2021-02-08,9.69
2021-02-09,9.62
2021-02-10,9.48
2021-02-11,9.17
2021-02-12,9.37
2021-02-16,9.02
2021-02-17,9.1
2021-02-18,9.0
2021-02-19,9.01
2021-02-22,9.32
2021-02-23,9.02
2021-02-24,9.16
2021-02-25,8.96
2021-02-26,8.35
2021-03-01,8.34
2021-03-02,8.65
2021-03-03,8.4
2021-03-04,8.18
2021-03-05,8.27
2021-03-08,8.15
2021-03-09,8.34
2021-03-10,8.35
2021-03-11,8.46
2021-03-12,8.61
2021-03-15,8.99
2021-03-16,9.02
2021-03-17,9.37
2021-03-18,9.2
2021-03-19,9.67
2021-03-22,9.22
2021-03-23,9.04
2021-03-24,8.97
2021-03-25,8.82
2021-03-26,9.05
2021-03-29,9.13
2021-03-30,8.55
2021-03-31,8.76
2021-04-01,9.31
2021-04-05,9.2
2021-04-06,9.27
2021-04-07,9.0
2021-04-08,9.6
2021-04-09,9.41
2021-04-12,9.1
2021-04-13,9.44
2021-04-14,9.38
2021-04-15,9.73
2021-04-16,9.63
2021-04-19,9.46
2021-04-20,9.63
2021-04-21,9.85
2021-04-22,9.79
2021-04-23,9.62
2021-04-26,9.4
2021-04-27,9.22
2021-04-28,9.44
2021-04-29,9.17
2021-04-30,8.99
2021-05-03,9.42
2021-05-04,9.13
2021-05-05,9.21
2021-05-06,9.51
2021-05-07,9.62
2021-05-10,9.32
2021-05-11,9.73
2021-05-12,9.34
2021-05-13,9.42
2021-05-14,9.82
2021-05-17,10.28
2021-05-18,10.15
2021-05-19,9.83
2021-05-20,10.07
2021-05-21,10.23
2021-05-24,10.23
2021-05-25,10.17
2021-05-26,10.26
2021-05-27,10.2
2021-05-28,10.26
2021-06-01,10.34
2021-06-02,10.3
2021-06-03,10.16
2021-06-04,10.22
2021-06-07,9.99
2021-06-08,9.86
2021-06-09,9.57
2021-06-10,9.83
2021-06-11,9.72
2021-06-14,9.32
2021-06-15,9.27
2021-06-16,9.05
2021-06-17,8.52
2021-06-18,8.16
2021-06-21,8.32
2021-06-22,8.35
2021-06-23,8.29
2021-06-24,8.25
2021-06-25,8.01
2021-06-28,8.07
2021-06-29,7.99
2021-06-30,8.01
2021-07-01,8.02
2021-07-02,8.55
2021-07-06,8.41
2021-07-07,8.47
2021-07-08,8.13
2021-07-09,8.37
2021-07-12,8.21
2021-07-13,8.22
2021-07-14,8.2
2021-07-15,8.21
2021-07-16,7.96
2021-07-19,7.64
2021-07-20,7.6
2021-07-21,7.85
2021-07-22,7.71
2021-07-23,7.66
2021-07-26,7.8
2021-07-27,7.76
2021-07-28,7.87
2021-07-29,8.02
2021-07-30,7.82
2021-08-02,7.72
2021-08-03,7.79
2021-08-04,7.61
2021-08-05,7.58
2021-08-06,7.47
2021-08-09,7.3
2021-08-10,7.28
2021-08-11,7.48
2021-08-12,7.23
2021-08-13,7.4
2021-08-16,7.33
2021-08-17,7.23
2021-08-18,6.99
2021-08-19,6.83
2021-08-20,6.89
2021-08-23,7.16
2021-08-24,7.16
2021-08-25,7.0
2021-08-26,6.95
2021-08-27,7.27
2021-08-30,7.08
2021-08-31,7.23
2021-09-01,7.07
2021-09-02,7.07
2021-09-03,7.32
2021-09-07,7.07
2021-09-08,7.14
2021-09-09,7.09
2021-09-10,6.95
2021-09-13,7.14
2021-09-14,7.13
2021-09-15,7.17
2021-09-16,6.97
2021-09-17,6.83
2021-09-20,6.73
