date,close
2020-08-21,21.7
2020-08-24,26.7
2020-08-25,28.9
2020-08-26,27.58
2020-08-27,24.77
2020-08-28,25.98
2020-08-31,27.56
2020-09-01,35.75
2020-09-02,39.8
2020-09-03,38.5
2020-09-04,36.4
2020-09-08,40.85
2020-09-09,44.02
2020-09-10,48.31
2020-09-11,64.19
2020-09-14,49.21
2020-09-15,38.0
2020-09-16,36.8
2020-09-17,28.1
2020-09-18,34.88
2020-09-21,28.83
2020-09-22,30.11
2020-09-23,29.31
2020-09-24,27.19
2020-09-25,28.48
2020-09-28,26.56
2020-09-29,24.0
2020-09-30,23.52
2020-10-01,23.97
2020-10-02,37.44
2020-10-05,39.5
2020-10-06,35.05
2020-10-07,39.72
2020-10-08,36.74
2020-10-09,36.8
2020-10-12,35.19
2020-10-13,34.24
2020-10-14,37.49
2020-10-15,36.27
2020-10-16,35.2
2020-10-19,33.2
2020-10-20,30.97
2020-10-21,30.93
2020-10-22,31.57
2020-10-23,30.74
2020-10-26,28.92
2020-10-27,29.17
2020-10-28,26.66
2020-10-29,29.16
2020-10-30,27.6
2020-11-02,27.38
2020-11-03,29.13
2020-11-04,28.96
2020-11-05,31.75
2020-11-06,34.07
2020-11-09,34.13
2020-11-10,36.11
2020-11-11,38.04
2020-11-12,37.29
2020-11-13,36.07
2020-11-16,38.43
2020-11-17,37.81
2020-11-18,36.82
2020-11-19,38.11
2020-11-20,36.74
2020-11-23,43.3
2020-11-24,45.0
2020-11-25,46.07
2020-11-27,52.3
2020-11-30,61.3
2020-12-01,59.2
2020-12-02,60.93
2020-12-03,58.06
2020-12-04,57.04
2020-12-07,52.71
2020-12-08,49.72
2020-12-09,44.5
2020-12-10,48.8
2020-12-11,46.26
2020-12-14,44.63
2020-12-15,42.1
2020-12-16,44.01
2020-12-17,53.47
2020-12-18,49.63
2020-12-21,50.31
2020-12-22,56.66
2020-12-23,53.99
2020-12-24,52.46
2020-12-28,47.82
2020-12-29,47.98
2020-12-30,48.55
2020-12-31,45.66
2021-01-04,45.72
2021-01-05,45.55
2021-01-06,45.88
2021-01-07,47.62
2021-01-08,53.24
2021-01-11,51.62
2021-01-12,51.75
2021-01-13,54.53
2021-01-14,52.58
2021-01-15,49.68
2021-01-19,53.25
2021-01-20,52.46
2021-01-21,66.21
2021-01-22,65.85
2021-01-25,66.32
2021-01-26,85.13
2021-01-27,89.39
2021-01-28,72.02
2021-01-29,75.78
2021-02-01,69.53
2021-02-02,71.38
2021-02-03,68.5
2021-02-04,65.37
2021-02-05,69.77
2021-02-08,72.41
2021-02-09,81.97
2021-02-10,73.54
2021-02-11,64.49
2021-02-12,66.15
2021-02-16,60.5
2021-02-17,59.38
2021-02-18,55.5
2021-02-19,56.85
2021-02-22,51.74
2021-02-23,48.23
2021-02-24,53.65
2021-02-25,46.3
2021-02-26,45.27
2021-03-01,44.82
2021-03-02,43.01
2021-03-03,41.67
2021-03-04,36.41
2021-03-05,39.41
2021-03-08,37.705
2021-03-09,40.21
2021-03-10,39.54
2021-03-11,44.4
2021-03-12,43.97
2021-03-15,50.3
2021-03-16,47.4
2021-03-17,48.79
2021-03-18,46.33
2021-03-19,48.11
2021-03-22,47.11
2021-03-23,44.14
2021-03-24,39.27
2021-03-25,40.0
2021-03-26,39.51
2021-03-29,38.87
2021-03-30,38.78
2021-03-31,41.45
2021-04-01,41.33
2021-04-05,48.55
2021-04-06,44.76
2021-04-07,41.03
2021-04-08,40.08
2021-04-09,39.28
2021-04-12,36.15
2021-04-13,36.54
2021-04-14,36.04
2021-04-15,34.2
2021-04-16,33.68
2021-04-19,32.43
2021-04-20,30.45
2021-04-21,33.23
2021-04-22,32.88
2021-04-23,33.85
2021-04-26,34.01
2021-04-27,35.89
2021-04-28,35.49
2021-04-29,34.12
2021-04-30,33.55
2021-05-03,31.34
2021-05-04,30.36
2021-05-05,29.4
2021-05-06,29.64
2021-05-07,29.09
2021-05-10,26.18
2021-05-11,21.3
2021-05-12,22.47
2021-05-13,19.8
2021-05-14,21.91
2021-05-17,21.57
2021-05-18,24.27
2021-05-19,23.39
2021-05-20,24.34
2021-05-21,22.89
2021-05-24,22.92
2021-05-25,22.08
2021-05-26,23.69
2021-05-27,26.0
2021-05-28,25.0
2021-06-01,26.71
2021-06-02,26.53
2021-06-03,27.46
2021-06-04,27.52
2021-06-07,28.62
2021-06-08,28.6
2021-06-09,29.72
2021-06-10,28.66
2021-06-11,29.67
2021-06-14,29.2
2021-06-15,28.25
2021-06-16,27.98
2021-06-17,30.5
2021-06-18,30.01
2021-06-21,30.7
2021-06-22,30.55
2021-06-23,30.58
2021-06-24,29.84
2021-06-25,31.65
2021-06-28,33.31
2021-06-29,32.89
2021-06-30,32.05
2021-07-01,31.75
2021-07-02,30.48
2021-07-06,32.05
2021-07-07,30.47
2021-07-08,30.02
2021-07-09,31.2
2021-07-12,31.35
2021-07-13,29.78
2021-07-14,30.06
2021-07-15,28.38
2021-07-16,26.06
2021-07-19,26.59
2021-07-20,27.82
2021-07-21,28.23
2021-07-22,27.73
2021-07-23,27.85
2021-07-26,27.65
2021-07-27,27.74
2021-07-28,28.63
2021-07-29,28.92
2021-07-30,28.35
2021-08-02,29.11
2021-08-03,29.29
2021-08-04,29.06
2021-08-05,30.06
2021-08-06,30.05
2021-08-09,30.12
2021-08-10,26.07
2021-08-11,26.16
2021-08-12,28.29
2021-08-13,27.19
2021-08-16,24.98
2021-08-17,23.97
2021-08-18,23.68
2021-08-19,21.43
2021-08-20,22.57
2021-08-23,22.97
2021-08-24,24.2
2021-08-25,24.17
2021-08-26,23.79
2021-08-27,24.52
2021-08-30,24.18
2021-08-31,24.66
2021-09-01,25.18
2021-09-02,25.13
2021-09-03,25.07
2021-09-07,24.25
2021-09-08,23.92
2021-09-09,23.62
2021-09-10,23.12
2021-09-13,22.64
2021-09-14,21.93
2021-09-15,22.46
2021-09-16,23.48
2021-09-17,24.33
2021-09-20,22.76
2021-09-21,23.33
2021-09-22,23.83
2021-09-23,24.27
2021-09-24,24.26
2021-09-27,25.65
2021-09-28,24.5
2021-09-29,22.68
2021-09-30,22.5
2021-10-01,22.87
2021-10-04,22.09
2021-10-05,23.42
2021-10-06,22.3
2021-10-07,22.65
2021-10-08,21.92
2021-10-11,21.49
2021-10-12,22.37
2021-10-13,22.72
2021-10-14,23.11
2021-10-15,22.73
2021-10-18,22.71
2021-10-19,23.24
2021-10-20,23.68
2021-10-21,23.69
2021-10-22,22.74
2021-10-25,23.09
2021-10-26,22.55
2021-10-27,22.07
2021-10-28,22.76
2021-10-29,22.65
2021-11-01,24.43
2021-11-02,23.83
2021-11-03,26.96
2021-11-04,26.57
2021-11-05,25.6
2021-11-08,26.82
2021-11-09,24.98
2021-11-10,23.89
2021-11-11,23.64
2021-11-12,23.87
2021-11-15,23.22
2021-11-16,21.74
2021-11-17,20.01
2021-11-18,19.01
2021-11-19,18.96
2021-11-22,19.94
2021-11-23,20.02
2021-11-24,20.33
2021-11-26,20.15
2021-11-29,21.17
2021-11-30,20.63
2021-12-01,18.04
2021-12-02,17.69
2021-12-03,15.94
2021-12-06,15.72
2021-12-07,17.84
2021-12-08,17.55
2021-12-09,16.16
2021-12-10,16.72
2021-12-13,16.88
2021-12-14,16.55
2021-12-15,17.63
2021-12-16,17.45
2021-12-17,18.86
2021-12-20,17.8
2021-12-21,18.62
2021-12-22,18.58
2021-12-23,17.86
2021-12-27,16.58
2021-12-28,15.99
2021-12-29,15.22
2021-12-30,15.39
2021-12-31,14.54
2022-01-03,16.05
2022-01-04,15.55
2022-01-05,13.97
2022-01-06,13.55
2022-01-07,12.97
2022-01-10,12.95
2022-01-11,13.16
2022-01-12,12.42
2022-01-13,12.14
2022-01-14,11.75
2022-01-18,10.82
2022-01-19,10.66
2022-01-20,11.15
2022-01-21,11.25
2022-01-24,11.49
2022-01-25,10.74
2022-01-26,10.05
2022-01-27,9.45
2022-01-28,10.35
2022-01-31,11.35
2022-02-01,11.65
2022-02-02,10.6
2022-02-03,10.21
2022-02-04,11.04
2022-02-07,10.99
2022-02-08,11.4
2022-02-09,11.75
2022-02-10,11.04
2022-02-11,10.37
2022-02-14,9.9
2022-02-15,10.91
2022-02-16,10.58
2022-02-17,10.13
2022-02-18,9.84
2022-02-22,9.47
2022-02-23,9.05
2022-02-24,9.75
2022-02-25,9.95
2022-02-28,10.15
2022-03-01,9.79
2022-03-02,10.5
2022-03-03,10.2
2022-03-04,9.85
2022-03-07,9.56
2022-03-08,9.44
2022-03-09,9.97
2022-03-10,9.56
2022-03-11,9.09
2022-03-14,8.28
2022-03-15,8.68
2022-03-16,9.3
2022-03-17,9.7
2022-03-18,9.86
2022-03-21,9.91
2022-03-22,10.03
2022-03-23,9.54
2022-03-24,9.66
2022-03-25,9.26
2022-03-28,9.38
2022-03-29,9.67
2022-03-30,9.42
2022-03-31,10.84
2022-04-01,10.75
2022-04-04,12.12
2022-04-05,13.39
2022-04-06,12.64
2022-04-07,13.06
2022-04-08,11.94
2022-04-11,11.24
2022-04-12,10.99
2022-04-13,11.5
2022-04-14,11.56
2022-04-18,10.84
2022-04-19,11.34
2022-04-20,10.54
2022-04-21,10.17
2022-04-22,10.05
2022-04-25,11.03
2022-04-26,10.01
2022-04-27,9.7
2022-04-28,9.57
2022-04-29,9.19
2022-05-02,9.89
2022-05-03,9.7
2022-05-04,9.82
2022-05-05,9.15
2022-05-06,9.21
2022-05-09,9.5
2022-05-10,9.27
2022-05-11,9.2
2022-05-12,8.85
2022-05-13,9.69
2022-05-16,9.6
2022-05-17,10.0
2022-05-18,9.45
2022-05-19,11.12
2022-05-20,10.22
2022-05-23,9.59
2022-05-24,9.19
2022-05-25,9.52
2022-05-26,9.65
2022-05-27,10.38
2022-05-31,10.22
2022-06-01,9.89
2022-06-02,9.91
2022-06-03,9.54
2022-06-06,10.33
2022-06-07,10.8
2022-06-08,10.77
2022-06-09,10.14
2022-06-10,10.03
2022-06-13,9.06
2022-06-14,9.43
2022-06-15,9.78
2022-06-16,9.54
2022-06-17,10.3
2022-06-21,10.81
2022-06-22,10.93
2022-06-23,11.57
2022-06-24,11.78
2022-06-27,11.34
2022-06-28,11.15
2022-06-29,11.42
2022-06-30,11.3
2022-07-01,10.87
2022-07-05,11.44
2022-07-06,11.97
2022-07-07,12.42
2022-07-08,12.59
2022-07-11,11.95
2022-07-12,12.32
2022-07-13,12.36
2022-07-14,12.39
2022-07-15,12.45
2022-07-18,12.12
2022-07-19,12.38
2022-07-20,13.49
2022-07-21,13.63
2022-07-22,12.74
2022-07-25,12.98
2022-07-26,12.63
2022-07-27,12.9
2022-07-28,13.13
2022-07-29,12.04
2022-08-01,12.51
2022-08-02,13.21
2022-08-03,13.56
2022-08-04,14.11
2022-08-05,14.05
2022-08-08,13.93
2022-08-09,12.91
2022-08-10,14.07
2022-08-11,15.04
2022-08-12,15.32
2022-08-15,15.52
2022-08-16,16.25
2022-08-17,15.39
2022-08-18,14.69
2022-08-19,14.43
2022-08-22,13.83
2022-08-23,14.14
2022-08-24,14.74
2022-08-25,14.81
2022-08-26,14.07
2022-08-29,13.27
2022-08-30,13.11
2022-08-31,13.31
2022-09-01,12.87
2022-09-02,13.19
2022-09-06,12.2
2022-09-07,11.96
2022-09-08,11.64
2022-09-09,12.13
2022-09-12,12.46
2022-09-13,11.8
2022-09-14,12.52
2022-09-15,12.63
2022-09-16,12.45
2022-09-19,12.13
2022-09-20,11.75
2022-09-21,11.4
2022-09-22,10.97
2022-09-23,10.31
2022-09-26,10.17
2022-09-27,10.17
2022-09-28,12.33
2022-09-29,11.43
2022-09-30,11.47
2022-10-03,11.42
2022-10-04,12.04
2022-10-05,12.03
2022-10-06,12.51
2022-10-07,11.43
2022-10-10,11.28
2022-10-11,11.82
2022-10-12,11.91
2022-10-13,12.9
2022-10-14,11.44
2022-10-17,11.67
2022-10-18,11.59
2022-10-19,11.04
2022-10-20,11.25
2022-10-21,11.78
2022-10-24,11.85
2022-10-25,12.51
2022-10-26,12.48
2022-10-27,12.62
2022-10-28,13.41
2022-10-31,14.2
2022-11-01,13.81
2022-11-02,13.4
2022-11-03,13.75
2022-11-04,13.25
2022-11-07,13.51
2022-11-08,12.92
2022-11-09,11.72
2022-11-10,12.66
2022-11-11,13.79
2022-11-14,13.68
2022-11-15,14.34
2022-11-16,12.27
2022-11-17,11.71
2022-11-18,11.3
2022-11-21,10.84
2022-11-22,10.81
2022-11-23,10.94
2022-11-25,10.7
2022-11-28,10.16
2022-11-29,10.22
2022-11-30,10.65
2022-12-01,10.72
2022-12-02,10.67
2022-12-05,10.08
2022-12-06,9.9
2022-12-07,9.24
2022-12-08,9.37
2022-12-09,9.45
2022-12-12,9.83
2022-12-13,9.94
2022-12-14,9.78
2022-12-15,9.7
2022-12-16,9.53
2022-12-19,8.87
2022-12-20,8.52
2022-12-21,8.61
2022-12-22,8.35
2022-12-23,8.02
2022-12-27,6.8
2022-12-28,6.57
2022-12-29,7.03
2022-12-30,7.38
2023-01-03,7.13
2023-01-04,7.34
2023-01-05,7.42
2023-01-06,7.44
2023-01-09,7.69
2023-01-10,8.1
2023-01-11,8.48
2023-01-12,8.79
2023-01-13,8.63
2023-01-17,8.92
2023-01-18,8.76
2023-01-19,8.75
2023-01-20,8.89
2023-01-23,9.26
2023-01-24,8.82
2023-01-25,8.9
2023-01-26,8.97
2023-01-27,9.24
2023-01-30,8.88
2023-01-31,9.22
2023-02-01,9.06
2023-02-02,9.76
2023-02-03,9.89
2023-02-06,9.44
2023-02-07,9.11
2023-02-08,8.77
2023-02-09,8.12
2023-02-10,7.9
2023-02-13,8.07
2023-02-14,7.88
2023-02-15,8.15
2023-02-16,7.99
2023-02-17,7.98
2023-02-21,7.205
2023-02-22,7.54
2023-02-23,7.35
2023-02-24,7.07
2023-02-27,7.1
2023-02-28,7.29
2023-03-01,7.07
2023-03-02,6.9
2023-03-03,7.06
2023-03-06,6.91
2023-03-07,6.8
2023-03-08,6.96
2023-03-09,6.53
2023-03-10,6.58
2023-03-13,7.11
2023-03-14,6.84
2023-03-15,6.79
2023-03-16,7.0
2023-03-17,6.69
2023-03-20,6.45
2023-03-21,6.58
2023-03-22,5.995
2023-03-23,5.95
2023-03-24,5.7
2023-03-27,5.95
2023-03-28,5.7
2023-03-29,5.64
2023-03-30,5.68
2023-03-31,5.77
2023-04-03,5.64
2023-04-04,5.51
2023-04-05,5.43
2023-04-06,5.8
2023-04-10,5.76
2023-04-11,6.08
2023-04-12,6.1
2023-04-13,6.82
2023-04-14,6.74
2023-04-17,6.4
2023-04-18,6.17
2023-04-19,6.17
2023-04-20,6.16
2023-04-21,6.15
2023-04-24,6.33
2023-04-25,5.82
2023-04-26,5.97
2023-04-27,6.13
2023-04-28,6.11
2023-05-01,10.29
2023-05-02,11.22
2023-05-03,10.67
2023-05-04,14.4
2023-05-05,15.23
2023-05-08,16.36
2023-05-09,16.36
2023-05-10,16.43
2023-05-11,19.89
2023-05-12,19.27
2023-05-15,18.47
2023-05-16,17.51
2023-05-17,17.32
2023-05-18,17.47
2023-05-19,17.87
2023-05-22,19.71
2023-05-23,18.39
2023-05-24,18.94
2023-05-25,17.98
2023-05-26,17.5
2023-05-30,17.06
2023-05-31,17.79
2023-06-01,18.11
2023-06-02,21.27
2023-06-05,20.02
2023-06-06,21.51
2023-06-07,19.83
2023-06-08,19.0
2023-06-09,18.56
2023-06-12,19.2
2023-06-13,18.7
2023-06-14,18.54
2023-06-15,19.15
2023-06-16,19.23
2023-06-20,18.34
2023-06-21,17.59
2023-06-22,17.03
2023-06-23,15.83
2023-06-26,15.22
2023-06-27,14.74
2023-06-28,15.38
2023-06-29,15.51
