date,close
2019-06-21,38.05
2019-06-24,37.65
2019-06-25,37.04
2019-06-26,36.37
2019-06-27,36.51
2019-06-28,36.75
2019-07-01,36.67
2019-07-02,37.46
2019-07-03,37.94
2019-07-05,37.77
2019-07-08,37.97
2019-07-09,38.0
2019-07-10,38.09
2019-07-11,37.01
2019-07-12,36.96
2019-07-15,36.63
2019-07-16,36.78
2019-07-17,37.07
2019-07-18,37.36
2019-07-19,36.4
2019-07-22,36.49
2019-07-23,36.87
2019-07-24,36.84
2019-07-25,36.65
2019-07-26,36.99
2019-07-29,37.14
2019-07-30,36.5
2019-07-31,36.3
2019-08-01,36.29
2019-08-02,36.58
2019-08-05,35.88
2019-08-06,36.0
2019-08-07,36.43
2019-08-08,38.41
2019-08-09,38.68
2019-08-12,38.26
2019-08-13,38.55
2019-08-14,38.18
2019-08-15,38.3
2019-08-16,39.22
2019-08-19,39.32
2019-08-20,39.19
2019-08-21,39.51
2019-08-22,40.18
2019-08-23,40.39
2019-08-26,40.38
2019-08-27,40.06
2019-08-28,40.18
2019-08-29,40.65
2019-08-30,40.68
2019-09-03,41.24
2019-09-04,41.55
2019-09-05,41.39
2019-09-06,41.5
2019-09-09,41.36
2019-09-10,40.18
2019-09-11,40.66
2019-09-12,41.16
2019-09-13,40.52
2019-09-16,41.02
2019-09-17,41.42
2019-09-18,41.13
2019-09-19,41.18
2019-09-20,40.95
2019-09-23,41.27
2019-09-24,41.75
2019-09-25,41.88
2019-09-26,42.01
2019-09-27,41.62
2019-09-30,41.79
2019-10-01,41.28
2019-10-02,41.4
2019-10-03,42.0
2019-10-04,42.41
2019-10-07,42.36
2019-10-08,42.64
2019-10-09,42.25
2019-10-10,42.25
2019-10-11,42.42
2019-10-14,43.02
2019-10-15,43.41
2019-10-16,43.29
2019-10-17,44.2
2019-10-18,44.96
2019-10-21,44.4
2019-10-22,44.41
2019-10-23,44.4
2019-10-24,44.39
2019-10-25,43.92
2019-10-28,43.69
2019-10-29,44.16
2019-10-30,43.82
2019-10-31,44.04
2019-11-01,43.95
2019-11-04,43.41
2019-11-05,42.39
2019-11-06,42.47
2019-11-07,41.23
2019-11-08,41.07
2019-11-11,41.07
2019-11-12,41.16
2019-11-13,41.29
2019-11-14,41.75
2019-11-15,41.18
2019-11-18,41.59
2019-11-19,41.78
2019-11-20,41.62
2019-11-21,41.0
2019-11-22,40.87
2019-11-25,41.64
2019-11-26,42.07
2019-11-27,42.47
2019-11-29,42.03
2019-12-02,41.58
2019-12-03,41.92
2019-12-04,41.92
2019-12-05,42.29
2019-12-06,42.48
2019-12-09,42.72
2019-12-10,42.89
2019-12-11,42.12
2019-12-12,41.42
2019-12-13,41.03
2019-12-16,41.15
2019-12-17,40.67
2019-12-18,40.71
2019-12-19,41.36
2019-12-20,42.53
2019-12-23,41.62
2019-12-24,41.38
2019-12-26,41.56
2019-12-27,41.75
2019-12-30,41.75
2019-12-31,42.35
2020-01-02,41.67
2020-01-03,42.09
2020-01-06,42.12
2020-01-07,41.69
2020-01-08,41.74
2020-01-09,41.81
2020-01-10,42.36
2020-01-13,43.17
2020-01-14,42.85
2020-01-15,43.24
2020-01-16,43.47
2020-01-17,43.26
2020-01-21,44.02
2020-01-22,43.25
2020-01-23,43.23
2020-01-24,43.29
2020-01-27,43.26
2020-01-28,43.4
2020-01-29,43.3
2020-01-30,42.0
2020-01-31,41.95
2020-02-03,42.04
2020-02-04,42.56
2020-02-05,42.5
2020-02-06,42.55
2020-02-07,42.56
2020-02-10,43.16
2020-02-11,43.04
2020-02-12,43.26
