date,close
2019-06-21,32.77
2019-06-24,32.03
2019-06-25,31.63
2019-06-26,32.5
2019-06-27,33.2
2019-06-28,33.81
2019-07-01,34.17
2019-07-02,33.92
2019-07-03,34.72
2019-07-05,34.7
2019-07-08,34.17
2019-07-09,34.18
2019-07-10,34.08
2019-07-11,34.14
2019-07-12,34.59
2019-07-15,33.92
2019-07-16,34.8
2019-07-17,34.01
2019-07-18,34.58
2019-07-19,34.49
2019-07-22,34.38
2019-07-23,34.87
2019-07-24,36.6
2019-07-25,35.26
2019-07-26,35.98
2019-07-29,35.77
2019-07-30,42.07
2019-07-31,41.45
2019-08-01,41.43
2019-08-02,41.01
2019-08-05,39.81
2019-08-06,39.67
2019-08-07,39.49
2019-08-08,40.44
2019-08-09,39.68
2019-08-12,38.68
2019-08-13,39.06
2019-08-14,37.59
2019-08-15,36.94
2019-08-16,37.8
2019-08-19,38.62
2019-08-20,39.02
2019-08-21,39.41
2019-08-22,39.74
2019-08-23,38.13
2019-08-26,36.43
2019-08-27,35.36
2019-08-28,35.41
2019-08-29,36.06
2019-08-30,35.85
2019-09-03,35.31
2019-09-04,36.07
2019-09-05,37.49
2019-09-06,37.27
2019-09-09,38.31
2019-09-10,38.41
2019-09-11,38.46
2019-09-12,38.39
2019-09-13,38.81
2019-09-16,38.04
2019-09-17,37.88
2019-09-18,37.49
2019-09-19,37.9
2019-09-20,37.52
2019-09-23,38.23
2019-09-24,37.5
2019-09-25,38.15
2019-09-26,37.15
2019-09-27,36.52
2019-09-30,36.68
2019-10-01,35.4
2019-10-02,35.23
2019-10-03,34.71
2019-10-04,35.41
2019-10-07,34.97
2019-10-08,34.01
2019-10-09,34.55
2019-10-10,35.0
2019-10-11,35.78
2019-10-14,35.37
2019-10-15,36.42
2019-10-16,36.23
2019-10-17,36.41
2019-10-18,36.55
2019-10-21,37.0
2019-10-22,37.18
2019-10-23,36.77
2019-10-24,36.65
2019-10-25,37.03
2019-10-28,38.5
2019-10-29,39.33
2019-10-30,40.49
2019-10-31,40.0
2019-11-01,41.29
2019-11-04,41.96
2019-11-05,41.77
2019-11-06,41.63
2019-11-07,41.81
2019-11-08,41.66
2019-11-11,41.65
2019-11-12,41.5
2019-11-13,41.06
2019-11-14,41.36
2019-11-15,41.28
2019-11-18,40.74
2019-11-19,40.75
2019-11-20,43.11
2019-11-21,43.48
2019-11-22,42.98
2019-11-25,43.27
2019-11-26,43.31
2019-11-27,43.25
2019-11-29,43.09
2019-12-02,42.54
2019-12-03,42.36
2019-12-04,42.97
