date,close
2023-06-21,0.9486
2023-06-22,0.9492
2023-06-23,1.01
2023-06-26,0.9136
2023-06-27,0.8768
2023-06-28,0.8486
2023-06-29,0.8301
2023-06-30,0.8604
2023-07-03,0.9045
2023-07-05,0.9684
2023-07-06,0.88
2023-07-07,1.03
2023-07-10,1.15
2023-07-11,1.32
2023-07-12,1.22
2023-07-13,1.39
2023-07-14,1.18
2023-07-17,1.19
2023-07-18,1.2
2023-07-19,1.52
2023-07-20,1.62
2023-07-21,2.0
2023-07-24,2.01
2023-07-25,1.685
2023-07-26,1.65
2023-07-27,1.47
2023-07-28,1.5
2023-07-31,1.63
2023-08-01,1.7
2023-08-02,1.635
2023-08-03,1.59
2023-08-04,1.47
2023-08-07,1.32
2023-08-08,1.32
2023-08-09,1.31
2023-08-10,1.105
2023-08-11,1.14
2023-08-14,1.07
2023-08-15,1.13
2023-08-16,1.06
2023-08-17,1.0
2023-08-18,1.01
2023-08-21,0.9719
2023-08-22,0.9856
2023-08-23,0.9724
2023-08-24,0.9202
2023-08-25,0.895
2023-08-28,0.905
2023-08-29,0.9148
2023-08-30,0.99
2023-08-31,1.0
2023-09-01,0.9558
2023-09-05,0.9226
2023-09-06,0.9098
2023-09-07,0.94
2023-09-08,0.9119
2023-09-11,0.8962
2023-09-12,0.8316
2023-09-13,0.8155
2023-09-14,0.83
2023-09-15,0.8155
2023-09-18,0.7511
2023-09-19,0.7154
2023-09-20,0.6705
2023-09-21,0.6239
2023-09-22,0.7
2023-09-25,0.71
2023-09-26,0.64
2023-09-27,0.5756
2023-09-28,0.611
2023-09-29,0.6095
2023-10-02,0.608
2023-10-03,0.569
2023-10-04,0.57
2023-10-05,0.555
2023-10-06,0.5771
2023-10-09,0.558
2023-10-10,0.4775
2023-10-11,0.4695
2023-10-12,0.43
2023-10-13,0.389
2023-10-16,0.4922
2023-10-17,0.474
2023-10-18,0.428
2023-10-19,0.4216
2023-10-20,0.39
2023-10-23,0.3622
2023-10-24,0.359
2023-10-25,0.336
2023-10-26,0.35
2023-10-27,0.374
2023-10-30,0.3799
2023-10-31,0.3792
2023-11-01,0.41
2023-11-02,0.4743
2023-11-03,0.5453
2023-11-06,0.571
2023-11-07,0.5798
2023-11-08,0.5661
2023-11-09,0.493
2023-11-10,0.6045
2023-11-13,0.6488
2023-11-14,0.6218
2023-11-15,0.7864
2023-11-16,0.785
2023-11-17,0.9089
2023-11-20,1.13
2023-11-21,1.13
2023-11-22,1.26
2023-11-24,1.34
2023-11-27,1.38
2023-11-28,1.36
2023-11-29,1.24
2023-11-30,1.095
2023-12-01,1.1
2023-12-04,1.27
2023-12-05,1.24
2023-12-06,1.2
2023-12-07,1.28
2023-12-08,1.39
2023-12-11,1.4
2023-12-12,1.31
2023-12-13,1.35
2023-12-14,1.39
2023-12-15,1.37
2023-12-18,1.2
2023-12-19,1.27
2023-12-20,1.19
2023-12-21,1.32
2023-12-22,1.31
2023-12-26,1.41
2023-12-27,1.51
2023-12-28,1.5
2023-12-29,1.53
2024-01-02,1.82
2024-01-03,1.87
2024-01-04,1.79
2024-01-05,1.82
2024-01-08,1.76
2024-01-09,1.64
2024-01-10,1.655
2024-01-11,1.61
2024-01-12,1.6
2024-01-16,1.42
2024-01-17,1.325
2024-01-18,1.245
2024-01-19,1.31
2024-01-22,1.27
2024-01-23,1.36
2024-01-24,1.355
2024-01-25,1.38
2024-01-26,1.41
2024-01-29,1.51
2024-01-30,1.39
2024-01-31,1.37
2024-02-01,1.38
2024-02-02,1.37
2024-02-05,1.27
2024-02-06,1.23
2024-02-07,1.22
2024-02-08,1.31
2024-02-09,1.42
2024-02-12,1.44
2024-02-13,1.4
2024-02-14,1.59
2024-02-15,1.59
2024-02-16,1.4
2024-02-20,1.29
2024-02-21,1.25
2024-02-22,1.29
2024-02-23,1.26
2024-02-26,1.4
2024-02-27,1.3
2024-02-28,1.23
2024-02-29,1.27
2024-03-01,1.27
2024-03-04,1.33
2024-03-05,1.25
2024-03-06,1.25
2024-03-07,1.22
2024-03-08,1.17
2024-03-11,1.1
2024-03-12,1.08
2024-03-13,1.04
2024-03-14,0.95
2024-03-15,0.9394
2024-03-18,0.93
2024-03-19,0.963
2024-03-20,1.02
2024-03-21,0.975
2024-03-22,0.9712
2024-03-25,0.96
2024-03-26,0.97
2024-03-27,0.9701
2024-03-28,0.9702
2024-04-01,1.25
2024-04-02,1.09
2024-04-03,1.01
2024-04-04,1.06
2024-04-05,1.07
2024-04-08,1.0
2024-04-09,1.02
2024-04-10,0.9681
2024-04-11,0.9249
2024-04-12,0.9605
2024-04-15,0.9444
2024-04-16,0.9147
2024-04-17,0.9
2024-04-18,0.93
2024-04-19,0.8375
2024-04-22,0.8276
2024-04-23,0.84
2024-04-24,0.8325
2024-04-25,0.802
2024-04-26,0.7947
2024-04-29,0.8481
2024-04-30,0.8365
2024-05-01,0.8325
2024-05-02,0.8337
2024-05-03,0.8027
2024-05-06,0.831
2024-05-07,0.821
2024-05-08,0.81
2024-05-09,0.8181
2024-05-10,0.7997
2024-05-13,0.8443
2024-05-14,0.87
2024-05-15,0.8243
2024-05-16,0.7625
2024-05-17,0.77
2024-05-20,0.7195
2024-05-21,0.711
2024-05-22,0.77
2024-05-23,0.72
2024-05-24,0.747
2024-05-28,0.73
2024-05-29,0.717
2024-05-30,0.74
2024-05-31,0.7244
2024-06-03,0.683
2024-06-04,0.65
2024-06-05,0.65
2024-06-06,0.62
2024-06-07,0.6339
2024-06-10,0.69
2024-06-11,0.864
2024-06-12,0.8645
2024-06-13,0.8004
2024-06-14,0.7863
2024-06-17,0.7443
2024-06-18,0.7299
2024-06-20,0.6603
2024-06-21,0.6901
2024-06-24,0.6247
2024-06-25,0.5906
2024-06-26,0.616
2024-06-27,0.6163
2024-06-28,0.58
2024-07-01,0.57
2024-07-02,0.55
2024-07-03,0.5704
2024-07-05,0.6079
2024-07-08,0.78
2024-07-09,0.714
2024-07-10,0.6946
2024-07-11,0.7313
2024-07-12,0.8568
2024-07-15,0.7726
2024-07-16,0.8378
2024-07-17,0.8674
2024-07-18,0.8347
2024-07-19,0.8427
2024-07-22,1.13
2024-07-23,1.13
2024-07-24,0.99
2024-07-25,1.0
2024-07-26,1.06
2024-07-29,1.01
2024-07-30,0.91
2024-07-31,0.99
2024-08-01,1.12
2024-08-02,1.06
2024-08-05,1.02
2024-08-06,0.962
2024-08-07,0.89
2024-08-08,0.8184
2024-08-09,0.7899
2024-08-12,0.77
2024-08-13,0.691
2024-08-14,0.588
2024-08-15,0.661
2024-08-16,0.71
2024-08-19,0.7393
2024-08-20,0.7825
2024-08-21,0.8519
2024-08-22,0.8902
2024-08-23,0.835
2024-08-26,0.8641
2024-08-27,0.8654
2024-08-28,0.8073
2024-08-29,0.8225
2024-08-30,0.872
2024-09-03,0.8606
2024-09-04,0.81
2024-09-05,0.7962
2024-09-06,0.75
2024-09-09,0.889
2024-09-10,0.939
2024-09-11,0.8853
2024-09-12,0.8239
2024-09-13,0.796
2024-09-16,0.738
2024-09-17,0.7407
2024-09-18,0.77
2024-09-19,0.7711
2024-09-20,0.7717
2024-09-23,0.7359
2024-09-24,0.6977
2024-09-25,0.7
2024-09-26,0.7
2024-09-27,0.6995
2024-09-30,0.771
2024-10-01,0.7798
2024-10-02,0.7628
2024-10-03,0.74
2024-10-04,0.741
2024-10-07,0.8248
2024-10-08,0.9234
2024-10-09,0.9014
2024-10-10,0.9293
2024-10-11,0.9003
2024-10-14,0.9766
2024-10-15,0.9016
2024-10-16,0.9233
2024-10-17,0.94
2024-10-18,0.9157
2024-10-21,0.915
2024-10-22,0.901
2024-10-23,0.8555
2024-10-24,0.9136
2024-10-25,0.8577
2024-10-28,0.87
2024-10-29,0.823
2024-10-30,0.78
2024-10-31,0.766
2024-11-01,0.7376
2024-11-04,0.74
2024-11-05,0.742
2024-11-06,0.7833
2024-11-07,0.7461
2024-11-08,0.754
2024-11-11,0.801
2024-11-12,0.785
2024-11-13,0.7574
2024-11-14,0.7398
2024-11-15,0.7131
2024-11-18,0.6748
2024-11-19,0.671
2024-11-20,0.711
2024-11-21,0.8113
2024-11-22,0.887
2024-11-25,0.864
2024-11-26,0.835
2024-11-27,0.8667
2024-11-29,0.9841
2024-12-02,0.8201
2024-12-03,0.797
2024-12-04,0.7947
2024-12-05,0.7599
2024-12-06,0.8039
2024-12-09,0.8132
2024-12-10,0.8668
2024-12-11,1.05
