date,close
2023-06-21,36.78
2023-06-22,35.42
2023-06-23,34.97
2023-06-26,35.85
2023-06-27,36.11
2023-06-28,36.33
2023-06-29,37.55
2023-06-30,38.07
2023-07-03,37.55
2023-07-05,37.92
2023-07-06,37.28
2023-07-07,37.93
2023-07-10,37.97
2023-07-11,39.87
2023-07-12,39.13
2023-07-13,39.8
2023-07-14,38.25
2023-07-17,39.32
2023-07-18,40.86
2023-07-19,41.46
2023-07-20,42.03
2023-07-21,42.2
2023-07-24,42.25
2023-07-25,42.57
2023-07-26,43.1
2023-07-27,42.92
2023-07-28,45.12
2023-07-31,46.09
2023-08-01,46.86
2023-08-02,46.66
2023-08-03,48.31
2023-08-04,47.91
2023-08-07,48.6
2023-08-08,48.73
2023-08-09,48.96
2023-08-10,48.13
2023-08-11,48.63
2023-08-14,48.02
2023-08-15,47.49
2023-08-16,47.36
2023-08-17,47.99
2023-08-18,48.28
2023-08-21,48.19
2023-08-22,47.64
2023-08-23,46.98
2023-08-24,46.26
2023-08-25,46.66
2023-08-28,46.79
2023-08-29,47.25
2023-08-30,47.34
2023-08-31,46.96
2023-09-01,48.28
2023-09-05,47.39
2023-09-06,47.12
2023-09-07,46.68
2023-09-08,47.32
2023-09-11,45.65
2023-09-12,48.31
2023-09-13,48.04
2023-09-14,48.18
2023-09-15,47.32
2023-09-18,47.26
2023-09-19,47.12
2023-09-20,46.08
2023-09-21,45.19
2023-09-22,45.2
2023-09-25,46.47
2023-09-26,46.55
2023-09-27,48.91
2023-09-28,49.2
2023-09-29,47.57
2023-10-02,45.78
2023-10-03,45.81
2023-10-04,43.85
2023-10-05,43.89
2023-10-06,45.54
2023-10-09,48.43
2023-10-10,48.21
2023-10-11,48.62
2023-10-12,48.52
2023-10-13,49.84
2023-10-16,50.64
2023-10-17,51.17
2023-10-18,51.28
2023-10-19,50.87
2023-10-20,49.9
2023-10-23,49.1
2023-10-24,48.56
2023-10-25,48.73
2023-10-26,48.12
2023-10-27,47.8
2023-10-30,47.51
2023-10-31,48.0
2023-11-01,47.64
2023-11-02,49.11
2023-11-03,48.81
2023-11-06,47.4
2023-11-07,45.61
2023-11-08,44.92
2023-11-09,43.98
2023-11-10,44.59
2023-11-13,44.71
2023-11-14,44.9
2023-11-15,45.41
2023-11-16,43.85
2023-11-17,45.0
2023-11-20,44.9
2023-11-21,44.67
2023-11-22,44.66
2023-11-24,45.08
2023-11-27,44.28
2023-11-28,44.09
2023-11-29,43.92
2023-11-30,44.34
2023-12-01,44.2
2023-12-04,43.69
2023-12-05,42.41
2023-12-06,41.31
2023-12-07,41.22
2023-12-08,41.63
2023-12-11,41.73
2023-12-12,40.83
2023-12-13,41.88
2023-12-14,43.58
2023-12-15,43.26
2023-12-18,43.76
2023-12-19,44.14
2023-12-20,43.33
2023-12-21,43.65
2023-12-22,43.82
2023-12-26,45.23
2023-12-27,45.0
2023-12-28,44.28
2023-12-29,43.92
2024-01-02,44.15
2024-01-03,44.56
2024-01-04,43.16
2024-01-05,43.67
2024-01-08,42.47
2024-01-09,41.93
2024-01-10,41.34
2024-01-11,41.13
2024-01-12,41.58
2024-01-16,40.5
2024-01-17,40.27
2024-01-18,40.3
2024-01-19,40.91
2024-01-22,41.29
2024-01-23,41.75
2024-01-24,42.2
2024-01-25,42.88
2024-01-26,42.86
