date,close
2023-06-21,14.94
2023-06-22,14.68
2023-06-23,14.09
2023-06-26,14.42
2023-06-27,14.24
2023-06-28,14.18
2023-06-29,14.33
2023-06-30,13.83
2023-07-03,13.97
2023-07-05,13.91
2023-07-06,13.51
2023-07-07,13.61
2023-07-10,13.6
2023-07-11,13.56
2023-07-12,13.61
2023-07-13,13.82
2023-07-14,13.53
2023-07-17,13.5
2023-07-18,13.39
2023-07-19,13.53
2023-07-20,13.6
2023-07-21,13.93
2023-07-24,14.32
2023-07-25,14.56
2023-07-26,14.54
2023-07-27,13.69
2023-07-28,13.93
2023-07-31,14.68
2023-08-01,14.19
2023-08-02,14.05
2023-08-03,14.03
2023-08-04,13.52
2023-08-07,13.47
2023-08-08,13.49
2023-08-09,13.6
2023-08-10,13.68
2023-08-11,13.63
2023-08-14,13.5
2023-08-15,13.43
2023-08-16,13.84
2023-08-17,13.74
2023-08-18,13.89
2023-08-21,13.68
2023-08-22,13.52
2023-08-23,14.54
2023-08-24,14.49
2023-08-25,14.31
2023-08-28,14.5
2023-08-29,14.58
2023-08-30,14.54
2023-08-31,14.05
2023-09-01,14.49
2023-09-05,14.8
2023-09-06,14.93
2023-09-07,14.56
2023-09-08,14.68
2023-09-11,14.74
2023-09-12,14.82
2023-09-13,14.81
2023-09-14,15.37
2023-09-15,15.2
2023-09-18,15.39
2023-09-19,15.28
2023-09-20,15.33
2023-09-21,14.98
2023-09-22,15.08
2023-09-25,15.04
2023-09-26,14.66
2023-09-27,14.94
2023-09-28,14.84
2023-09-29,14.99
2023-10-02,14.68
2023-10-03,14.3
2023-10-04,13.86
2023-10-05,13.78
2023-10-06,14.09
2023-10-09,14.71
2023-10-10,15.08
2023-10-11,15.07
2023-10-12,15.02
2023-10-13,15.44
2023-10-16,15.79
2023-10-17,16.16
2023-10-18,16.52
2023-10-19,16.36
2023-10-20,16.21
2023-10-23,15.35
2023-10-24,15.55
2023-10-25,15.6
2023-10-26,15.46
2023-10-27,15.33
2023-10-30,15.11
2023-10-31,15.0
2023-11-01,15.33
2023-11-02,15.68
2023-11-03,15.68
2023-11-06,15.71
2023-11-07,15.43
2023-11-08,14.96
2023-11-09,15.2
2023-11-10,15.23
2023-11-13,15.52
2023-11-14,15.83
2023-11-15,15.78
2023-11-16,15.55
2023-11-17,16.04
2023-11-20,16.1
2023-11-21,15.85
2023-11-22,15.3
2023-11-24,15.33
2023-11-27,15.24
2023-11-28,15.49
2023-11-29,15.22
2023-11-30,15.27
2023-12-01,15.21
2023-12-04,14.76
2023-12-05,14.65
2023-12-06,14.42
2023-12-07,14.4
2023-12-08,14.88
2023-12-11,14.75
2023-12-12,14.5
2023-12-13,14.75
2023-12-14,15.18
2023-12-15,14.95
2023-12-18,15.35
2023-12-19,15.63
2023-12-20,15.48
2023-12-21,15.56
2023-12-22,15.78
2023-12-26,16.19
2023-12-27,16.18
2023-12-28,16.03
2023-12-29,15.97
2024-01-02,16.0
2024-01-03,16.58
2024-01-04,16.35
2024-01-05,16.54
2024-01-08,16.28
2024-01-09,15.99
2024-01-10,15.94
2024-01-11,16.25
2024-01-12,16.34
2024-01-16,16.08
2024-01-17,15.9
2024-01-18,15.82
2024-01-19,15.74
2024-01-22,15.66
2024-01-23,15.94
2024-01-24,15.89
2024-01-25,16.67
2024-01-26,17.05
2024-01-29,17.16
2024-01-30,17.04
2024-01-31,17.07
2024-02-01,17.49
2024-02-02,17.01
2024-02-05,16.92
