date,close
2019-06-21,18.85
2019-06-24,18.46
2019-06-25,17.92
2019-06-26,18.28
2019-06-27,19.24
2019-06-28,19.26
2019-07-01,19.38
2019-07-02,19.5
2019-07-03,19.51
2019-07-05,19.64
2019-07-08,19.41
2019-07-09,19.17
2019-07-10,18.65
2019-07-11,17.86
2019-07-12,18.29
2019-07-15,18.34
2019-07-16,18.81
2019-07-17,18.45
2019-07-18,18.43
2019-07-19,17.91
2019-07-22,17.65
2019-07-23,18.26
2019-07-24,19.07
2019-07-25,18.87
2019-07-26,19.49
2019-07-29,19.67
2019-07-30,19.74
2019-07-31,19.52
2019-08-01,19.1
2019-08-02,18.93
2019-08-05,18.81
2019-08-06,18.38
2019-08-07,17.7
2019-08-08,18.51
2019-08-09,18.47
2019-08-12,18.39
2019-08-13,18.2
2019-08-14,17.04
2019-08-15,16.78
2019-08-16,17.47
2019-08-19,18.28
2019-08-20,18.5
2019-08-21,18.24
2019-08-22,18.47
2019-08-23,18.02
2019-08-26,18.42
2019-08-27,17.92
2019-08-28,18.31
2019-08-29,18.82
2019-08-30,19.17
2019-09-03,18.48
2019-09-04,19.08
2019-09-05,19.6
2019-09-06,19.74
2019-09-09,19.99
2019-09-10,20.2
2019-09-11,20.64
2019-09-12,20.57
2019-09-13,20.92
2019-09-16,20.87
2019-09-17,20.44
2019-09-18,20.06
2019-09-19,19.76
2019-09-20,19.76
2019-09-23,19.67
2019-09-24,19.19
2019-09-25,19.13
2019-09-26,19.0
2019-09-27,18.25
2019-09-30,18.625
2019-10-01,18.28
2019-10-02,18.605
2019-10-03,18.62
2019-10-04,18.81
2019-10-07,18.81
2019-10-08,18.535
2019-10-09,18.51
2019-10-10,18.52
2019-10-11,19.1
2019-10-14,19.145
2019-10-15,19.54
2019-10-16,19.85
2019-10-17,20.57
2019-10-18,20.435
2019-10-21,20.68
2019-10-22,20.77
2019-10-23,21.3
2019-10-24,21.03
2019-10-25,21.15
2019-10-28,21.78
2019-10-29,22.06
2019-10-30,21.85
2019-10-31,21.315
2019-11-01,21.445
2019-11-04,21.8
2019-11-05,22.04
2019-11-06,21.73
2019-11-07,21.885
2019-11-08,22.43
2019-11-11,22.47
2019-11-12,22.165
2019-11-13,21.97
2019-11-14,21.72
2019-11-15,21.95
2019-11-18,22.23
2019-11-19,22.17
2019-11-20,21.92
2019-11-21,22.04
2019-11-22,22.2
2019-11-25,22.83
2019-11-26,22.84
2019-11-27,23.38
2019-11-29,23.03
2019-12-02,23.35
2019-12-03,23.4
2019-12-04,22.97
2019-12-05,22.24
2019-12-06,23.13
2019-12-09,22.99
2019-12-10,24.1
2019-12-11,24.25
2019-12-12,24.93
2019-12-13,24.97
2019-12-16,25.18
2019-12-17,25.73
2019-12-18,26.065
2019-12-19,25.82
2019-12-20,25.15
2019-12-23,25.67
2019-12-24,25.53
2019-12-26,25.88
2019-12-27,25.69
2019-12-30,25.5
2019-12-31,25.56
2020-01-02,26.14
2020-01-03,25.93
2020-01-06,26.21
2020-01-07,26.455
2020-01-08,26.845
2020-01-09,26.86
