date,close
2019-06-21,11.52
2019-06-24,11.52
2019-06-25,11.46
2019-06-26,11.44
2019-06-27,11.46
2019-06-28,11.56
2019-07-01,11.61
2019-07-02,11.53
2019-07-03,11.63
2019-07-05,11.65
2019-07-08,11.62
2019-07-09,11.61
2019-07-10,11.63
2019-07-11,11.66
2019-07-12,11.71
2019-07-15,11.72
2019-07-16,11.74
2019-07-17,11.63
2019-07-18,11.6
2019-07-19,11.64
2019-07-22,11.65
2019-07-23,11.68
2019-07-24,11.7
2019-07-25,11.66
2019-07-26,11.73
2019-07-29,11.71
2019-07-30,11.79
2019-07-31,11.72
2019-08-01,11.68
2019-08-02,11.61
2019-08-05,11.26
2019-08-06,11.33
2019-08-07,11.22
2019-08-08,11.55
2019-08-09,11.64
2019-08-12,11.58
2019-08-13,11.72
2019-08-14,11.56
2019-08-15,11.47
2019-08-16,11.5
2019-08-19,11.63
2019-08-20,11.6
2019-08-21,11.6
2019-08-22,11.57
2019-08-23,11.455
2019-08-26,11.46
2019-08-27,11.35
2019-08-28,11.38
2019-08-29,11.42
2019-08-30,11.4
2019-09-03,11.33
2019-09-04,11.37
2019-09-05,11.58
2019-09-06,11.61
2019-09-09,11.67
2019-09-10,11.62
2019-09-11,11.63
2019-09-12,11.68
2019-09-13,11.74
2019-09-16,11.63
2019-09-17,11.63
2019-09-18,11.64
2019-09-19,11.6
2019-09-20,11.72
2019-09-23,11.7
2019-09-24,11.66
2019-09-25,11.62
2019-09-26,11.63
2019-09-27,11.61
2019-09-30,11.6
2019-10-01,11.49
2019-10-02,11.35
2019-10-03,11.33
2019-10-04,11.39
2019-10-07,11.45
2019-10-08,11.44
2019-10-09,11.41
2019-10-10,11.46
2019-10-11,11.52
2019-10-14,11.48
2019-10-15,11.53
2019-10-16,11.44
2019-10-17,11.49
2019-10-18,11.46
2019-10-21,11.47
2019-10-22,11.51
2019-10-23,11.54
2019-10-24,11.53
2019-10-25,11.48
2019-10-28,11.51
2019-10-29,11.48
2019-10-30,11.49
2019-10-31,11.48
2019-11-01,11.56
2019-11-04,11.65
2019-11-05,11.68
2019-11-06,11.71
2019-11-07,11.68
2019-11-08,11.69
2019-11-11,11.67
2019-11-12,11.72
2019-11-13,11.65
