date,close
2023-06-21,8.78
2023-06-22,8.77
2023-06-23,8.36
2023-06-26,7.97
2023-06-27,7.95
2023-06-28,7.79
2023-06-29,7.92
2023-06-30,8.19
2023-07-03,8.27
2023-07-05,8.12
2023-07-06,7.95
2023-07-07,7.68
2023-07-10,7.95
2023-07-11,8.13
2023-07-12,8.06
2023-07-13,8.07
2023-07-14,8.26
2023-07-17,8.17
2023-07-18,8.25
2023-07-19,8.46
2023-07-20,8.57
2023-07-21,8.88
2023-07-24,8.87
2023-07-25,8.78
2023-07-26,8.93
2023-07-27,8.74
2023-07-28,9.58
2023-07-31,9.73
2023-08-01,9.45
2023-08-02,9.28
2023-08-03,9.35
2023-08-04,9.31
2023-08-07,9.31
2023-08-08,9.82
2023-08-09,9.61
2023-08-10,9.56
2023-08-11,9.6
2023-08-14,9.53
2023-08-15,9.49
2023-08-16,9.11
2023-08-17,9.0
2023-08-18,9.12
2023-08-21,9.21
2023-08-22,9.26
2023-08-23,9.4
2023-08-24,9.15
2023-08-25,9.28
2023-08-28,9.46
2023-08-29,9.74
2023-08-30,9.75
2023-08-31,9.61
2023-09-01,9.82
2023-09-05,9.25
2023-09-06,9.06
2023-09-07,9.05
2023-09-08,9.11
2023-09-11,9.2
2023-09-12,9.23
2023-09-13,8.97
2023-09-14,9.01
2023-09-15,8.74
2023-09-18,8.51
2023-09-19,8.24
2023-09-20,8.15
2023-09-21,7.71
2023-09-22,7.56
2023-09-25,7.53
2023-09-26,7.49
2023-09-27,7.33
2023-09-28,7.37
2023-09-29,7.17
2023-10-02,6.85
2023-10-03,6.51
2023-10-04,6.43
2023-10-05,6.59
2023-10-06,6.74
2023-10-09,6.75
2023-10-10,6.85
2023-10-11,6.77
2023-10-12,6.22
2023-10-13,6.05
2023-10-16,6.36
2023-10-17,6.34
2023-10-18,5.89
2023-10-19,5.58
2023-10-20,5.52
2023-10-23,5.32
2023-10-24,5.52
2023-10-25,5.36
2023-10-26,5.22
2023-10-27,4.95
2023-10-30,4.99
2023-10-31,5.13
2023-11-01,5.18
2023-11-02,5.34
2023-11-03,5.77
2023-11-06,5.61
2023-11-07,5.54
2023-11-08,5.4
2023-11-09,4.83
2023-11-10,4.83
2023-11-13,4.8
