date,close
2023-06-21,74.24
2023-06-22,76.34
2023-06-23,74.61
2023-06-26,76.54
2023-06-27,77.7
2023-06-28,74.6
2023-06-29,73.74
2023-06-30,73.95
2023-07-03,76.89
2023-07-05,76.44
2023-07-06,74.61
2023-07-07,77.28
2023-07-10,77.05
2023-07-11,77.04
2023-07-12,81.98
2023-07-13,84.53
2023-07-14,86.5
2023-07-17,93.55
2023-07-18,97.18
2023-07-19,98.2
2023-07-20,96.87
2023-07-21,105.69
2023-07-24,118.19
2023-07-25,131.86
2023-07-26,127.75
2023-07-27,115.02
2023-07-28,120.9
2023-07-31,125.49
2023-08-01,118.89
2023-08-02,112.3
2023-08-03,113.14
2023-08-04,113.19
2023-08-07,108.25
2023-08-08,112.97
2023-08-09,112.13
2023-08-10,111.9
2023-08-11,108.56
2023-08-14,108.35
2023-08-15,106.81
2023-08-16,102.44
2023-08-17,103.16
2023-08-18,102.56
2023-08-21,103.8
2023-08-22,104.27
2023-08-23,104.38
2023-08-24,107.99
2023-08-25,109.98
2023-08-28,112.34
2023-08-29,112.08
2023-08-30,110.46
2023-08-31,109.76
2023-09-01,107.28
2023-09-05,112.25
2023-09-06,108.48
2023-09-07,106.31
2023-09-08,108.88
2023-09-11,108.19
2023-09-12,103.38
2023-09-13,100.9
2023-09-14,104.83
2023-09-15,108.64
2023-09-18,113.66
2023-09-19,111.17
2023-09-20,110.79
2023-09-21,107.38
2023-09-22,106.48
2023-09-25,101.84
2023-09-26,99.4
2023-09-27,100.31
2023-09-28,102.01
2023-09-29,102.5
2023-10-02,100.51
2023-10-03,98.34
2023-10-04,95.5
2023-10-05,96.12
2023-10-06,96.77
2023-10-09,96.82
2023-10-10,92.61
2023-10-11,95.32
2023-10-12,94.96
2023-10-13,94.1
2023-10-16,94.16
2023-10-17,93.52
2023-10-18,91.51
2023-10-19,89.1
2023-10-20,83.34
2023-10-23,84.57
2023-10-24,88.56
2023-10-25,81.32
2023-10-26,78.1
2023-10-27,77.97
2023-10-30,80.37
2023-10-31,76.51
2023-11-01,76.47
2023-11-02,80.64
2023-11-03,83.44
2023-11-06,97.0
2023-11-07,89.38
2023-11-08,87.63
