date,close
2023-06-21,3.17
2023-06-22,3.16
2023-06-23,3.07
2023-06-26,3.04
2023-06-27,3.02
2023-06-28,3.03
2023-06-29,3.08
2023-06-30,3.22
2023-07-03,3.24
2023-07-05,3.26
2023-07-06,3.18
2023-07-07,3.24
2023-07-10,3.33
2023-07-11,3.43
2023-07-12,3.41
2023-07-13,3.48
2023-07-14,3.28
2023-07-17,3.43
2023-07-18,3.54
2023-07-19,3.47
2023-07-20,3.34
2023-07-21,3.34
2023-07-24,3.34
2023-07-25,3.35
2023-07-26,3.42
2023-07-27,3.29
2023-07-28,3.45
2023-07-31,3.72
2023-08-01,3.77
2023-08-02,3.4
2023-08-03,3.44
2023-08-04,3.41
2023-08-07,3.38
2023-08-08,3.45
2023-08-09,3.41
2023-08-10,3.42
2023-08-11,3.5
2023-08-14,3.51
2023-08-15,3.39
2023-08-16,3.31
2023-08-17,3.24
2023-08-18,3.27
2023-08-21,3.2
2023-08-22,3.21
2023-08-23,3.29
2023-08-24,3.11
2023-08-25,3.12
2023-08-28,3.14
2023-08-29,3.28
2023-08-30,3.32
2023-08-31,3.25
2023-09-01,3.33
2023-09-05,3.3
2023-09-06,3.16
2023-09-07,3.08
2023-09-08,2.74
2023-09-11,2.84
2023-09-12,2.91
2023-09-13,2.73
2023-09-14,2.82
2023-09-15,2.8
2023-09-18,2.69
2023-09-19,2.7
2023-09-20,2.7
2023-09-21,2.68
2023-09-22,2.58
2023-09-25,2.54
2023-09-26,2.48
2023-09-27,2.5
2023-09-28,2.59
2023-09-29,2.6
2023-10-02,2.57
2023-10-03,2.53
2023-10-04,2.58
2023-10-05,2.59
2023-10-06,2.61
2023-10-09,2.59
2023-10-10,2.6
2023-10-11,2.46
2023-10-12,2.3
2023-10-13,2.18
2023-10-16,2.29
2023-10-17,2.42
2023-10-18,2.26
2023-10-19,2.19
2023-10-20,2.14
2023-10-23,2.11
2023-10-24,2.17
2023-10-25,2.09
2023-10-26,2.11
2023-10-27,2.07
2023-10-30,2.11
2023-10-31,2.16
2023-11-01,2.06
2023-11-02,2.26
2023-11-03,2.28
2023-11-06,2.26
2023-11-07,2.29
2023-11-08,2.18
2023-11-09,2.1
2023-11-10,2.17
2023-11-13,2.24
2023-11-14,2.42
2023-11-15,2.38
2023-11-16,2.31
2023-11-17,2.35
2023-11-20,2.43
2023-11-21,2.36
2023-11-22,2.4
2023-11-24,2.47
2023-11-27,2.43
2023-11-28,2.46
2023-11-29,2.47
2023-11-30,2.43
2023-12-01,2.53
2023-12-04,2.57
2023-12-05,2.56
2023-12-06,2.59
2023-12-07,2.57
2023-12-08,2.43
2023-12-11,2.38
2023-12-12,2.27
2023-12-13,2.45
2023-12-14,2.52
2023-12-15,2.45
2023-12-18,2.43
2023-12-19,2.48
2023-12-20,2.35
2023-12-21,2.37
2023-12-22,2.35
2023-12-26,2.45
2023-12-27,2.39
2023-12-28,2.56
2023-12-29,2.47
2024-01-02,2.38
2024-01-03,2.34
2024-01-04,2.32
2024-01-05,2.26
2024-01-08,2.33
2024-01-09,2.25
2024-01-10,2.24
2024-01-11,2.18
2024-01-12,2.2
2024-01-16,2.1
2024-01-17,2.07
2024-01-18,2.07
2024-01-19,2.11
2024-01-22,2.28
2024-01-23,2.28
2024-01-24,2.29
2024-01-25,2.3
2024-01-26,2.29
2024-01-29,2.45
2024-01-30,2.37
2024-01-31,2.26
2024-02-01,2.31
2024-02-02,2.25
2024-02-05,2.15
2024-02-06,2.19
2024-02-07,2.17
2024-02-08,2.21
2024-02-09,2.32
2024-02-12,2.4
2024-02-13,2.17
2024-02-14,2.26
2024-02-15,2.29
2024-02-16,2.26
2024-02-20,2.22
2024-02-21,2.16
