date,close
2023-06-21,9.88
2023-06-22,9.68
2023-06-23,9.2
2023-06-26,9.13
2023-06-27,9.26
2023-06-28,9.44
2023-06-29,10.0
2023-06-30,10.39
2023-07-03,10.3
2023-07-05,10.64
2023-07-06,9.95
2023-07-07,10.61
2023-07-10,10.95
2023-07-11,11.18
2023-07-12,11.5
2023-07-13,12.36
2023-07-14,12.14
2023-07-17,12.76
2023-07-18,12.79
2023-07-19,13.17
2023-07-20,12.62
2023-07-21,12.39
2023-07-24,12.33
2023-07-25,11.83
2023-07-26,12.01
2023-07-27,11.65
2023-07-28,11.86
2023-07-31,13.12
2023-08-01,12.76
2023-08-02,11.65
2023-08-03,11.715
2023-08-04,11.56
2023-08-07,11.05
2023-08-08,10.91
2023-08-09,10.75
2023-08-10,9.05
2023-08-11,9.11
2023-08-14,9.29
2023-08-15,8.89
2023-08-16,8.58
2023-08-17,8.59
2023-08-18,8.64
2023-08-21,8.84
2023-08-22,8.43
2023-08-23,8.2
2023-08-24,7.99
2023-08-25,8.13
2023-08-28,8.33
2023-08-29,8.88
2023-08-30,8.57
2023-08-31,8.46
2023-09-01,8.51
2023-09-05,8.56
2023-09-06,8.45
2023-09-07,8.27
2023-09-08,7.96
2023-09-11,7.99
2023-09-12,8.3
2023-09-13,8.21
2023-09-14,8.73
2023-09-15,8.52
2023-09-18,8.15
2023-09-19,8.24
2023-09-20,8.09
2023-09-21,7.6
2023-09-22,7.43
2023-09-25,7.47
2023-09-26,7.55
2023-09-27,7.73
2023-09-28,7.57
2023-09-29,7.6
2023-10-02,6.825
2023-10-03,6.53
2023-10-04,6.53
2023-10-05,6.4
2023-10-06,6.61
2023-10-09,6.41
2023-10-10,7.16
2023-10-11,7.54
2023-10-12,7.41
2023-10-13,7.34
2023-10-16,7.51
2023-10-17,7.72
2023-10-18,7.0
2023-10-19,6.56
2023-10-20,6.1
2023-10-23,5.88
2023-10-24,6.3
2023-10-25,6.22
2023-10-26,6.26
2023-10-27,5.9
2023-10-30,5.7
2023-10-31,5.89
2023-11-01,5.75
2023-11-02,6.27
2023-11-03,6.62
2023-11-06,6.26
2023-11-07,6.23
2023-11-08,6.02
2023-11-09,5.93
2023-11-10,3.53
2023-11-13,3.47
2023-11-14,4.23
2023-11-15,4.35
2023-11-16,4.18
2023-11-17,4.0
2023-11-20,3.87
2023-11-21,3.565
2023-11-22,3.48
2023-11-24,3.47
2023-11-27,3.42
2023-11-28,3.84
2023-11-29,3.93
2023-11-30,4.04
2023-12-01,4.54
2023-12-04,4.8
2023-12-05,4.24
2023-12-06,3.99
2023-12-07,4.09
2023-12-08,4.01
2023-12-11,4.09
2023-12-12,3.93
2023-12-13,4.31
2023-12-14,4.79
2023-12-15,4.71
2023-12-18,4.43
2023-12-19,4.41
2023-12-20,4.16
2023-12-21,4.41
2023-12-22,4.52
2023-12-26,4.78
2023-12-27,4.71
2023-12-28,4.71
2023-12-29,4.5
2024-01-02,4.59
2024-01-03,4.38
2024-01-04,4.29
2024-01-05,4.25
2024-01-08,4.35
2024-01-09,4.2
2024-01-10,4.04
2024-01-11,3.72
2024-01-12,3.44
2024-01-16,3.04
2024-01-17,2.735
2024-01-18,2.42
2024-01-19,2.68
2024-01-22,2.84
2024-01-23,3.72
2024-01-24,3.475
2024-01-25,3.4
2024-01-26,3.4
2024-01-29,3.79
2024-01-30,3.73
2024-01-31,4.45
2024-02-01,4.7
2024-02-02,4.66
2024-02-05,4.345
2024-02-06,4.49
2024-02-07,4.22
2024-02-08,4.19
2024-02-09,4.33
2024-02-12,4.57
2024-02-13,4.17
2024-02-14,4.23
2024-02-15,4.02
2024-02-16,3.96
2024-02-20,3.73
2024-02-21,3.405
2024-02-22,3.13
2024-02-23,3.01
2024-02-26,3.04
2024-02-27,3.55
2024-02-28,3.43
2024-02-29,3.53
2024-03-01,3.89
2024-03-04,3.86
2024-03-05,3.63
2024-03-06,4.02
2024-03-07,3.9
2024-03-08,4.02
2024-03-11,3.66
2024-03-12,3.54
2024-03-13,3.36
2024-03-14,3.34
2024-03-15,3.33
2024-03-18,3.25
2024-03-19,3.25
2024-03-20,3.52
2024-03-21,3.59
2024-03-22,3.41
2024-03-25,3.33
2024-03-26,3.22
2024-03-27,3.43
2024-03-28,3.44
2024-04-01,3.44
2024-04-02,3.14
2024-04-03,3.23
2024-04-04,3.15
2024-04-05,3.14
2024-04-08,3.12
2024-04-09,3.25
2024-04-10,3.07
2024-04-11,2.96
2024-04-12,2.89
2024-04-15,2.85
2024-04-16,2.7
2024-04-17,2.73
2024-04-18,2.71
2024-04-19,2.57
2024-04-22,2.49
2024-04-23,2.59
2024-04-24,2.41
2024-04-25,2.38
2024-04-26,2.41
2024-04-29,2.4
2024-04-30,2.31
2024-05-01,2.3
2024-05-02,2.45
2024-05-03,2.74
2024-05-06,2.71
2024-05-07,2.64
2024-05-08,2.52
2024-05-09,2.77
2024-05-10,2.56
2024-05-13,2.89
