date,close
2019-06-21,6.29
2019-06-24,6.25
2019-06-25,6.23
2019-06-26,6.24
2019-06-27,6.26
2019-06-28,6.32
2019-07-01,6.32
2019-07-02,6.34
2019-07-03,6.36
2019-07-05,6.36
2019-07-08,6.34
2019-07-09,6.31
2019-07-10,6.28
2019-07-11,6.27
2019-07-12,6.29
2019-07-15,6.31
2019-07-16,6.63
2019-07-17,6.59
2019-07-18,6.57
2019-07-19,6.55
2019-07-22,6.63
2019-07-23,6.7
2019-07-24,6.71
2019-07-25,6.69
2019-07-26,6.68
2019-07-29,6.64
2019-07-30,6.66
2019-07-31,6.64
2019-08-01,6.57
2019-08-02,6.54
2019-08-05,6.44
2019-08-06,6.45
2019-08-07,6.36
2019-08-08,6.49
2019-08-09,6.33
2019-08-12,6.34
2019-08-13,6.41
2019-08-14,6.31
2019-08-15,6.3
2019-08-16,6.39
2019-08-19,6.48
2019-08-20,6.45
2019-08-21,6.4
2019-08-22,6.4
2019-08-23,6.32
2019-08-26,6.34
2019-08-27,6.26
2019-08-28,6.25
2019-08-29,6.35
2019-08-30,6.31
2019-09-03,6.24
2019-09-04,6.18
2019-09-05,6.24
2019-09-06,6.21
2019-09-09,6.31
2019-09-10,6.36
2019-09-11,6.35
2019-09-12,6.32
2019-09-13,6.4
2019-09-16,6.28
2019-09-17,6.25
2019-09-18,6.25
2019-09-19,6.22
2019-09-20,6.29
2019-09-23,6.28
2019-09-24,6.29
2019-09-25,6.3
2019-09-26,6.285
2019-09-27,6.29
2019-09-30,6.27
2019-10-01,6.19
2019-10-02,6.07
2019-10-03,6.08
2019-10-04,6.12
2019-10-07,6.13
2019-10-08,6.09
2019-10-09,6.1
2019-10-10,6.08
2019-10-11,6.11
2019-10-14,6.06
2019-10-15,6.11
2019-10-16,6.07
2019-10-17,6.1
2019-10-18,6.13
2019-10-21,6.13
2019-10-22,6.16
2019-10-23,6.18
2019-10-24,6.17
2019-10-25,6.18
2019-10-28,6.22
2019-10-29,6.07
2019-10-30,6.055
2019-10-31,6.05
2019-11-01,6.05
2019-11-04,6.09
2019-11-05,6.1
2019-11-06,6.07
2019-11-07,6.045
2019-11-08,6.04
2019-11-11,5.97
2019-11-12,6.05
2019-11-13,5.98
2019-11-14,5.96
2019-11-15,5.96
2019-11-18,5.94
2019-11-19,5.945
2019-11-20,5.92
2019-11-21,5.94
