date,close
2024-01-30,49.8356
2024-01-31,49.1389
2024-02-01,49.5436
2024-02-02,50.1578
2024-02-05,50.1405
2024-02-06,50.01
2024-02-07,50.6
2024-02-08,50.5222
2024-02-09,50.96
2024-02-12,51.06
2024-02-13,51.13
2024-02-14,50.64
2024-02-15,50.67
2024-02-16,50.42
2024-02-20,50.12
2024-02-21,49.4
2024-02-22,50.55
2024-02-23,50.54
2024-02-26,50.51
2024-02-27,50.62
2024-02-28,50.42
2024-02-29,50.8
2024-03-01,51.28
2024-03-04,51.16
2024-03-05,50.49
2024-03-06,50.76
2024-03-07,51.3
2024-03-08,50.8
2024-03-11,50.63
2024-03-12,51.24
2024-03-13,50.97
2024-03-14,50.82
2024-03-15,50.4
2024-03-18,50.84
2024-03-19,50.95
2024-03-20,50.75
2024-03-21,51.01
2024-03-22,51.07
2024-03-25,50.98
2024-03-26,50.92
2024-03-27,51.03
2024-03-28,51.01
2024-04-01,51.09
2024-04-02,50.77
2024-04-03,50.84
2024-04-04,50.24
2024-04-05,50.72
2024-04-08,50.76
2024-04-09,50.86
2024-04-10,50.59
2024-04-11,51.27
2024-04-12,50.53
2024-04-15,49.88
2024-04-16,49.89
2024-04-17,49.36
2024-04-18,49.08
2024-04-19,48.1
2024-04-22,48.55
2024-04-23,49.28
2024-04-24,48.88
2024-04-25,48.6
2024-04-26,49.35
2024-04-29,49.53
2024-04-30,48.68
2024-05-01,48.46
2024-05-02,48.88
2024-05-03,49.62
2024-05-06,50.0
2024-05-07,50.06
2024-05-08,50.06
2024-05-09,50.12
2024-05-10,50.23
2024-05-13,50.3
2024-05-14,50.53
2024-05-15,50.95
2024-05-16,50.94
2024-05-17,50.92
2024-05-20,51.09
2024-05-21,51.17
2024-05-22,50.52
2024-05-23,50.42
2024-05-24,50.69
2024-05-28,50.76
2024-05-29,50.57
2024-05-30,50.36
2024-05-31,50.42
2024-06-03,50.5
2024-06-04,50.65
2024-06-05,51.19
2024-06-06,51.25
2024-06-07,51.27
2024-06-10,51.36
2024-06-11,51.54
2024-06-12,51.91
2024-06-13,52.04
2024-06-14,52.08
2024-06-17,52.36
2024-06-18,52.34
2024-06-20,52.21
2024-06-21,52.2
2024-06-24,52.02
2024-06-25,52.23
2024-06-26,51.65
2024-06-27,51.73
2024-06-28,51.61
2024-07-01,51.83
2024-07-02,52.21
2024-07-03,52.49
2024-07-05,52.81
2024-07-08,52.9
2024-07-09,52.91
2024-07-10,53.25
2024-07-11,52.61
2024-07-12,52.79
2024-07-15,52.89
2024-07-16,52.95
2024-07-17,51.95
2024-07-18,51.71
2024-07-19,51.34
2024-07-22,52.0
2024-07-23,51.85
2024-07-24,49.66
2024-07-25,49.11
2024-07-26,49.61
2024-07-29,49.77
2024-07-30,49.13
2024-07-31,50.47
2024-08-01,49.44
2024-08-02,48.4
2024-08-05,47.0
2024-08-06,47.55
2024-08-07,47.04
2024-08-08,48.36
2024-08-09,48.69
2024-08-12,48.75
2024-08-13,49.84
2024-08-14,49.94
