date,close
2019-06-21,91.96
2019-06-24,91.68
2019-06-25,90.9
2019-06-26,90.71
2019-06-27,91.01
2019-06-28,91.47
2019-07-01,92.23
2019-07-02,92.46
2019-07-03,93.35
2019-07-05,93.15
2019-07-08,92.6
2019-07-09,92.75
2019-07-10,93.14
2019-07-11,93.35
2019-07-12,93.68
2019-07-15,93.78
2019-07-16,93.47
2019-07-17,92.83
2019-07-18,93.22
2019-07-19,92.53
2019-07-22,92.82
2019-07-23,93.47
2019-07-24,93.95
2019-07-25,93.51
2019-07-26,94.1
2019-07-29,94.07
2019-07-30,93.7
2019-07-31,92.73
2019-08-01,91.88
2019-08-02,91.03
2019-08-05,88.14
2019-08-06,89.45
2019-08-07,89.52
2019-08-08,91.43
2019-08-09,90.65
2019-08-12,89.64
2019-08-13,91.12
2019-08-14,88.31
2019-08-15,88.61
2019-08-16,89.92
2019-08-19,91.0
2019-08-20,90.3
2019-08-21,91.05
2019-08-22,91.06
2019-08-23,88.51
2019-08-26,89.52
2019-08-27,89.48
2019-08-28,90.06
2019-08-29,91.14
2019-08-30,91.08
2019-09-03,90.41
2019-09-04,91.43
2019-09-05,92.9
2019-09-06,93.02
2019-09-09,92.83
2019-09-10,92.74
2019-09-11,93.24
2019-09-12,93.54
2019-09-13,93.39
2019-09-16,92.97
2019-09-17,93.33
2019-09-18,93.38
2019-09-19,93.24
2019-09-20,92.72
2019-09-23,92.92
2019-09-24,91.91
2019-09-25,92.46
2019-09-26,92.23
2019-09-27,91.82
2019-09-30,92.4
2019-10-01,91.23
2019-10-02,89.66
2019-10-03,90.46
2019-10-04,91.8
2019-10-07,91.34
2019-10-08,89.8372
2019-10-09,90.67
2019-10-10,91.28
2019-10-11,92.63
2019-10-14,92.64
2019-10-15,93.44
2019-10-16,93.22
2019-10-17,93.52
2019-10-18,93.02
2019-10-21,93.64
2019-10-22,93.35
2019-10-23,93.4
2019-10-24,93.86
2019-10-25,94.34
2019-10-28,94.81
2019-10-29,94.66
2019-10-30,94.81
2019-10-31,94.44
2019-11-01,95.4
2019-11-04,95.76
2019-11-05,95.67
2019-11-06,95.69
2019-11-07,96.01
2019-11-08,96.21
2019-11-11,96.06
2019-11-12,96.25
2019-11-13,96.52
2019-11-14,96.72
2019-11-15,97.46
2019-11-18,97.48
2019-11-19,97.59
2019-11-20,97.14
2019-11-21,97.01
2019-11-22,97.25
2019-11-25,98.1
2019-11-26,98.43
2019-11-27,98.94
2019-11-29,98.65
2019-12-02,97.85
2019-12-03,97.19
2019-12-04,97.9
2019-12-05,98.18
2019-12-06,99.0
2019-12-09,98.83
2019-12-10,98.7
2019-12-11,99.06
2019-12-12,99.8
2019-12-13,99.71
2019-12-16,99.93
2019-12-17,99.85
2019-12-18,99.95
2019-12-19,100.36
2019-12-20,100.93
2019-12-23,100.94
2019-12-24,100.91
2019-12-26,101.28
2019-12-27,101.3
2019-12-30,100.81
2019-12-31,101.0
2020-01-02,101.88
2020-01-03,101.22
2020-01-06,101.46
2020-01-07,101.32
2020-01-08,101.73
2020-01-09,102.56
2020-01-10,102.42
2020-01-13,103.27
2020-01-14,103.12
2020-01-15,103.43
2020-01-16,104.27
2020-01-17,104.56
2020-01-21,104.28
2020-01-22,104.34
2020-01-23,104.24
2020-01-24,103.16
2020-01-27,101.45
2020-01-28,102.36
2020-01-29,102.5
2020-01-30,102.64
2020-01-31,100.31
2020-02-03,101.31
2020-02-04,102.8
2020-02-05,104.05
2020-02-06,104.42
2020-02-07,103.73
2020-02-10,104.23
2020-02-11,104.42
2020-02-12,105.05
2020-02-13,104.8
2020-02-14,105.0
2020-02-18,104.71
2020-02-19,105.06
2020-02-20,104.74
2020-02-21,103.73
2020-02-24,100.15
2020-02-25,97.09
2020-02-26,96.875
2020-02-27,92.755
2020-02-28,91.95
2020-03-02,96.02
2020-03-03,93.14
2020-03-04,96.77
2020-03-05,93.72
2020-03-06,92.35
2020-03-09,85.85
2020-03-10,90.29
2020-03-11,85.85
2020-03-12,77.81
2020-03-13,84.86
2020-03-16,76.22
2020-03-17,79.54
2020-03-18,76.12
2020-03-19,76.14
2020-03-20,72.06
2020-03-23,69.28
2020-03-24,76.46
2020-03-25,77.67
2020-03-26,82.03
2020-03-27,79.48
2020-03-30,82.45
2020-03-31,81.04
2020-04-01,77.66
2020-04-02,79.49
2020-04-03,78.26
2020-04-06,83.5
2020-04-07,83.75
2020-04-08,86.55
2020-04-09,87.44
2020-04-13,86.04
2020-04-14,88.75
2020-04-15,86.7
2020-04-16,86.88
2020-04-17,89.39
2020-04-20,87.76
2020-04-21,85.16
2020-04-22,87.12
2020-04-23,87.03
2020-04-24,88.41
2020-04-27,89.93
2020-04-28,89.94
2020-04-29,92.3
2020-04-30,90.99
2020-05-01,88.81
2020-05-04,89.09
2020-05-05,89.94
2020-05-06,89.48
2020-05-07,90.49
2020-05-08,92.0
2020-05-11,92.15
2020-05-12,90.12
2020-05-13,88.72
2020-05-14,89.79
2020-05-15,90.47
2020-05-18,93.27
2020-05-19,92.18
2020-05-20,93.65
2020-05-21,93.09
2020-05-22,93.27
2020-05-26,94.77
2020-05-27,95.85
2020-05-28,95.57
2020-05-29,96.1
2020-06-01,96.42
2020-06-02,97.17
2020-06-03,98.62
2020-06-04,98.06
2020-06-05,100.52
2020-06-08,101.43
2020-06-09,100.42
2020-06-10,99.82
2020-06-11,93.9
2020-06-12,94.91
2020-06-15,95.39
2020-06-16,97.17
2020-06-17,96.74
2020-06-18,96.67
2020-06-19,96.11
2020-06-22,96.76
2020-06-23,97.29
2020-06-24,94.67
2020-06-25,95.53
2020-06-26,93.07
2020-06-29,94.46
2020-06-30,95.92
2020-07-01,96.43
2020-07-02,97.02
2020-07-06,98.42
2020-07-07,97.22
2020-07-08,97.76
2020-07-09,97.09
2020-07-10,98.08
2020-07-13,97.25
2020-07-14,98.63
2020-07-15,99.92
2020-07-16,99.44
2020-07-17,99.88
2020-07-20,100.34
2020-07-21,100.75
2020-07-22,101.56
2020-07-23,100.44
2020-07-24,99.41
2020-07-27,100.12
2020-07-28,99.36
2020-07-29,100.41
2020-07-30,99.95
2020-07-31,100.67
2020-08-03,101.02
2020-08-04,101.39
2020-08-05,102.38
2020-08-06,102.99
2020-08-07,103.27
2020-08-10,103.52
2020-08-11,103.0
2020-08-12,104.29
2020-08-13,104.04
2020-08-14,103.99
2020-08-17,104.31
2020-08-18,104.36
2020-08-19,104.04
2020-08-20,104.28
2020-08-21,104.59
2020-08-24,105.74
2020-08-25,106.1
2020-08-26,107.07
2020-08-27,107.16
2020-08-28,108.22
2020-08-31,107.58
2020-09-01,108.34
2020-09-02,110.16
2020-09-03,106.49
2020-09-04,105.53
2020-09-08,103.01
2020-09-09,104.66
2020-09-10,102.94
2020-09-11,103.02
2020-09-14,104.37
2020-09-15,104.94
2020-09-16,104.78
2020-09-17,103.85
2020-09-18,102.88
2020-09-21,101.23
2020-09-22,102.31
2020-09-23,100.14
2020-09-24,100.28
2020-09-25,101.69
2020-09-28,103.36
2020-09-29,103.06
2020-09-30,103.74
2020-10-01,104.31
2020-10-02,103.48
2020-10-05,105.19
2020-10-06,103.96
2020-10-07,105.59
2020-10-08,106.56
2020-10-09,107.59
2020-10-12,108.96
2020-10-13,108.22
2020-10-14,107.58
2020-10-15,107.44
2020-10-16,107.42
2020-10-19,105.71
2020-10-20,106.23
2020-10-21,106.4
2020-10-22,106.99
2020-10-23,107.54
2020-10-26,105.24
2020-10-27,104.77
2020-10-28,100.86
2020-10-29,101.98
2020-10-30,101.05
2020-11-02,102.32
2020-11-03,104.24
2020-11-04,106.77
2020-11-05,108.61
2020-11-06,108.42
2020-11-09,110.97
2020-11-10,110.78
2020-11-11,111.12
2020-11-12,109.8
2020-11-13,111.54
2020-11-16,112.93
2020-11-17,112.47
2020-11-18,111.14
2020-11-19,111.29
2020-11-20,110.46
2020-11-23,111.23
2020-11-24,113.02
2020-11-25,112.62
2020-11-27,112.88
2020-11-30,112.46
2020-12-01,114.01
2020-12-02,113.78
2020-12-03,113.9
2020-12-04,114.84
2020-12-07,114.68
2020-12-08,115.13
2020-12-09,114.28
2020-12-10,113.92
2020-12-11,113.94
2020-12-14,112.9
2020-12-15,114.32
2020-12-16,114.32
2020-12-17,115.18
2020-12-18,114.76
2020-12-21,114.19
2020-12-22,113.94
2020-12-23,113.87
2020-12-24,114.46
2020-12-28,115.31
2020-12-29,115.2
2020-12-30,115.47
2020-12-31,116.21
2021-01-04,114.36
2021-01-05,114.82
2021-01-06,115.35
2021-01-07,116.65
2021-01-08,117.22
2021-01-11,116.68
2021-01-12,116.43
2021-01-13,116.47
2021-01-14,115.81
2021-01-15,115.22
2021-01-19,116.13
2021-01-20,117.32
2021-01-21,117.41
2021-01-22,116.7
2021-01-25,117.02
2021-01-26,116.78
2021-01-27,114.1
2021-01-28,115.37
2021-01-29,112.92
2021-02-01,114.46
2021-02-02,116.19
2021-02-03,115.97
2021-02-04,117.37
2021-02-05,118.01
2021-02-08,118.84
2021-02-09,118.76
2021-02-10,118.86
2021-02-11,119.49
2021-02-12,119.8
2021-02-16,119.47
2021-02-17,119.66
2021-02-18,119.39
2021-02-19,119.01
2021-02-22,118.26
2021-02-23,118.62
2021-02-24,119.97
2021-02-25,117.04
2021-02-26,116.53
2021-03-01,119.21
2021-03-02,118.32
2021-03-03,116.63
2021-03-04,114.99
2021-03-05,117.71
2021-03-08,117.54
2021-03-09,118.98
2021-03-10,119.8
2021-03-11,120.8
2021-03-12,120.67
2021-03-15,121.88
2021-03-16,121.9
2021-03-17,121.91
2021-03-18,120.13
2021-03-19,119.71
2021-03-22,120.78
2021-03-23,119.97
2021-03-24,119.5
2021-03-25,119.47
2021-03-26,122.01
2021-03-29,122.16
2021-03-30,121.46
2021-03-31,121.78
2021-04-01,123.09
2021-04-05,124.61
2021-04-06,124.59
2021-04-07,124.55
2021-04-08,125.05
2021-04-09,126.04
2021-04-12,125.88
2021-04-13,125.91
2021-04-14,125.61
2021-04-15,126.99
2021-04-16,127.585
2021-04-19,127.03
2021-04-20,126.21
2021-04-21,127.4
2021-04-22,126.46
2021-04-23,127.56
2021-04-26,127.54
2021-04-27,127.44
2021-04-28,127.38
2021-04-29,128.57
2021-04-30,127.63
2021-05-03,128.24
2021-05-04,127.66
2021-05-05,127.58
2021-05-06,128.54
2021-05-07,129.53
2021-05-10,128.36
2021-05-11,127.26
2021-05-12,124.45
2021-05-13,126.2
2021-05-14,127.97
2021-05-17,127.4
2021-05-18,126.35
2021-05-19,126.17
2021-05-20,127.62
2021-05-21,127.43
2021-05-24,128.64
2021-05-25,128.47
2021-05-26,128.71
2021-05-27,128.77
2021-05-28,128.92
2021-06-01,128.66
2021-06-02,129.24
2021-06-03,128.87
2021-06-04,130.19
2021-06-07,130.26
2021-06-08,130.14
2021-06-09,129.89
2021-06-10,130.26
2021-06-11,130.52
2021-06-14,130.79
2021-06-15,130.45
2021-06-16,129.4
2021-06-17,129.62
2021-06-18,127.94
2021-06-21,129.74
2021-06-22,130.55
2021-06-23,130.15
2021-06-24,130.98
2021-06-25,132.21
2021-06-28,132.8
2021-06-29,133.01
2021-06-30,132.87
2021-07-01,133.67
2021-07-02,134.86
2021-07-06,134.53
2021-07-07,135.2
2021-07-08,134.09
2021-07-09,135.27
2021-07-12,135.68
2021-07-13,135.43
2021-07-14,135.56
2021-07-15,135.05
2021-07-16,134.29
2021-07-19,132.58
2021-07-20,134.31
2021-07-21,135.31
2021-07-22,135.61
2021-07-23,137.53
2021-07-26,137.6
2021-07-27,137.05
2021-07-28,137.09
2021-07-29,137.73
2021-07-30,137.36
2021-08-02,137.14
2021-08-03,138.16
2021-08-04,137.95
2021-08-05,138.85
2021-08-06,138.86
2021-08-09,138.72
2021-08-10,138.76
2021-08-11,138.93
2021-08-12,139.06
2021-08-13,139.61
2021-08-16,140.44
2021-08-17,139.26
2021-08-18,137.6
2021-08-19,138.19
2021-08-20,139.55
2021-08-23,140.42
2021-08-24,140.51
2021-08-25,140.74
2021-08-26,139.79
2021-08-27,141.2
2021-08-30,141.78
2021-08-31,141.25
2021-09-01,141.33
2021-09-02,141.4
2021-09-03,141.39
2021-09-07,140.28
2021-09-08,140.07
2021-09-09,139.54
2021-09-10,138.82
2021-09-13,138.68
2021-09-14,138.05
2021-09-15,138.92
2021-09-16,138.705
2021-09-17,137.23
2021-09-20,135.03
2021-09-21,134.92
2021-09-22,135.81
2021-09-23,137.21
2021-09-24,136.77
2021-09-27,135.92
2021-09-28,133.02
2021-09-29,133.2
2021-09-30,131.73
2021-10-01,133.07
2021-10-04,130.89
2021-10-05,132.43
2021-10-06,132.83
2021-10-07,134.11
2021-10-08,133.98
2021-10-11,133.18
2021-10-12,132.89
2021-10-13,133.88
2021-10-14,136.3
2021-10-15,137.06
2021-10-18,137.82
2021-10-19,139.0
2021-10-20,139.46
2021-10-21,140.19
2021-10-22,140.14
2021-10-25,140.9
2021-10-26,140.52
2021-10-27,139.49
2021-10-28,140.8
2021-10-29,141.89
2021-11-01,141.61
2021-11-02,142.42
2021-11-03,143.1
2021-11-04,144.71
2021-11-05,144.8
2021-11-08,144.98
2021-11-09,145.09
2021-11-10,143.69
2021-11-11,143.91
2021-11-12,145.44
2021-11-15,145.5
2021-11-16,146.09
2021-11-17,144.92
2021-11-18,145.1
2021-11-19,145.43
2021-11-22,144.32
2021-11-23,144.53
2021-11-24,145.09
2021-11-26,142.07
2021-11-29,143.84
2021-11-30,141.03
2021-12-01,139.06
2021-12-02,140.975
2021-12-03,139.69
2021-12-06,140.76
2021-12-07,144.08
2021-12-08,144.26
2021-12-09,143.09
2021-12-10,144.25
2021-12-13,142.78
2021-12-14,141.62
2021-12-15,144.46
2021-12-16,142.65
2021-12-17,141.02
2021-12-20,139.1
2021-12-21,141.72
2021-12-22,142.91
2021-12-23,143.88
2021-12-27,146.28
2021-12-28,145.91
2021-12-29,146.3
2021-12-30,145.91
2021-12-31,145.56
2022-01-03,145.17
2022-01-04,145.0
2022-01-05,141.51
2022-01-06,141.64
2022-01-07,140.31
2022-01-10,139.68
2022-01-11,140.975
2022-01-12,141.18
2022-01-13,139.16
2022-01-14,138.91
2022-01-18,136.43
2022-01-19,135.18
2022-01-20,133.42
2022-01-21,131.22
2022-01-24,132.1
2022-01-25,130.2
2022-01-26,129.89
2022-01-27,129.32
2022-01-28,132.81
2022-01-31,135.44
2022-02-01,136.21
2022-02-02,138.07
2022-02-03,133.85
2022-02-04,133.39
2022-02-07,132.84
2022-02-08,133.42
2022-02-09,135.98
2022-02-10,133.0
2022-02-11,130.24
2022-02-14,129.53
2022-02-15,131.84
2022-02-16,132.1
2022-02-17,129.17
2022-02-18,128.36
2022-02-22,126.7
2022-02-23,124.64
2022-02-24,127.0
2022-02-25,130.13
2022-02-28,129.88
2022-03-01,128.16
2022-03-02,130.59
2022-03-03,130.06
2022-03-04,128.86
2022-03-07,125.05
2022-03-08,124.13
2022-03-09,127.45
2022-03-10,126.62
2022-03-11,124.77
2022-03-14,123.55
2022-03-15,126.22
2022-03-16,128.95
2022-03-17,130.74
2022-03-18,132.71
2022-03-21,132.42
2022-03-22,133.76
2022-03-23,131.85
2022-03-24,133.56
2022-03-25,133.98
2022-03-28,134.93
2022-03-29,137.39
2022-03-30,136.44
2022-03-31,134.63
2022-04-01,134.81
2022-04-04,135.98
2022-04-05,134.18
2022-04-06,132.94
2022-04-07,133.6
2022-04-08,133.05
2022-04-11,130.78
2022-04-12,130.22
2022-04-13,131.72
2022-04-14,130.25
2022-04-18,129.9
2022-04-19,132.57
2022-04-20,132.51
2022-04-21,130.26
2022-04-22,126.8
2022-04-25,127.85
2022-04-26,124.61
2022-04-27,124.49
2022-04-28,128.01
2022-04-29,123.48
2022-05-02,124.57
