date,close
2021-03-10,69.5
2021-03-11,73.9
2021-03-12,69.7
2021-03-15,72.15
2021-03-16,77.0
2021-03-17,76.79
2021-03-18,67.3
2021-03-19,70.5
2021-03-22,70.0
2021-03-23,68.0
2021-03-24,64.5
2021-03-25,67.85
2021-03-26,70.97
2021-03-29,67.03
2021-03-30,65.17
2021-03-31,64.83
2021-04-01,67.34
2021-04-05,70.76
2021-04-06,71.32
2021-04-07,68.73
2021-04-08,70.76
2021-04-09,71.83
2021-04-12,75.0
2021-04-13,82.05
2021-04-14,75.35
2021-04-15,79.66
2021-04-16,75.85
2021-04-19,72.0
2021-04-20,69.24
2021-04-21,71.76
2021-04-22,69.85
2021-04-23,71.78
2021-04-26,74.9
2021-04-27,74.35
2021-04-28,75.64
2021-04-29,76.12
2021-04-30,74.55
2021-05-03,71.08
2021-05-04,69.62
2021-05-05,66.59
2021-05-06,65.06
2021-05-07,67.9
2021-05-10,64.0
2021-05-11,77.65
2021-05-12,75.53
2021-05-13,69.68
2021-05-14,70.95
2021-05-17,76.93
2021-05-18,74.99
2021-05-19,75.22
2021-05-20,76.33
2021-05-21,82.5
2021-05-24,89.23
2021-05-25,89.32
2021-05-26,89.71
2021-05-27,97.47
2021-05-28,93.77
2021-06-01,96.89
2021-06-02,99.86
2021-06-03,96.5
2021-06-04,99.57
2021-06-07,93.44
2021-06-08,91.41
2021-06-09,91.04
2021-06-10,91.0
2021-06-11,92.82
2021-06-14,87.8
2021-06-15,89.8
2021-06-16,82.59
2021-06-17,82.98
2021-06-18,81.14
2021-06-21,82.51
2021-06-22,82.44
2021-06-23,84.86
2021-06-24,87.34
2021-06-25,87.0
2021-06-28,93.04
2021-06-29,92.6
2021-06-30,89.98
2021-07-01,85.82
2021-07-02,86.2
2021-07-06,86.98
2021-07-07,86.4
2021-07-08,86.88
2021-07-09,86.26
2021-07-12,86.54
2021-07-13,84.02
2021-07-14,79.17
2021-07-15,77.28
2021-07-16,77.56
2021-07-19,79.24
2021-07-20,79.86
2021-07-21,79.91
2021-07-22,82.03
2021-07-23,81.83
2021-07-26,77.63
2021-07-27,76.19
2021-07-28,79.13
2021-07-29,76.85
2021-07-30,76.98
2021-08-02,78.31
2021-08-03,77.49
2021-08-04,81.65
2021-08-05,80.57
2021-08-06,77.92
2021-08-09,85.51
2021-08-10,85.08
2021-08-11,84.69
2021-08-12,82.65
2021-08-13,83.96
2021-08-16,79.57
2021-08-17,78.68
2021-08-18,83.46
2021-08-19,81.35
2021-08-20,82.77
2021-08-23,85.06
2021-08-24,89.26
2021-08-25,90.34
2021-08-26,85.81
2021-08-27,85.4
2021-08-30,81.87
2021-08-31,82.05
2021-09-01,84.45
2021-09-02,84.6
2021-09-03,82.87
2021-09-07,84.97
2021-09-08,83.51
2021-09-09,86.35
2021-09-10,87.88
2021-09-13,84.65
2021-09-14,82.33
2021-09-15,82.15
2021-09-16,81.42
2021-09-17,80.81
2021-09-20,77.77
2021-09-21,78.85
2021-09-22,81.18
2021-09-23,82.28
2021-09-24,83.22
2021-09-27,79.99
2021-09-28,77.05
2021-09-29,76.31
2021-09-30,75.55
2021-10-01,75.59
2021-10-04,77.8
2021-10-05,72.57
2021-10-06,73.7
2021-10-07,74.8
2021-10-08,70.44
2021-10-11,70.22
2021-10-12,71.9
2021-10-13,74.78
2021-10-14,74.35
2021-10-15,76.58
2021-10-18,77.8
2021-10-19,79.17
2021-10-20,78.58
2021-10-21,83.19
2021-10-22,83.98
2021-10-25,83.21
2021-10-26,80.89
2021-10-27,80.68
2021-10-28,82.75
2021-10-29,84.02
2021-11-01,81.14
2021-11-02,79.59
2021-11-03,78.36
2021-11-04,82.53
2021-11-05,77.99
2021-11-08,77.0
2021-11-09,109.52
2021-11-10,95.26
2021-11-11,98.12
2021-11-12,107.58
2021-11-15,108.06
2021-11-16,116.18
2021-11-17,124.7
2021-11-18,126.12
2021-11-19,134.72
2021-11-22,120.22
2021-11-23,114.87
2021-11-24,124.23
2021-11-26,122.65
2021-11-29,129.36
2021-11-30,126.1
2021-12-01,113.41
2021-12-02,116.92
2021-12-03,113.79
2021-12-06,113.25
2021-12-07,115.99
2021-12-08,124.78
2021-12-09,116.3
2021-12-10,115.89
2021-12-13,111.77
2021-12-14,107.67
2021-12-15,97.95
2021-12-16,95.21
2021-12-17,102.4
2021-12-20,98.69
2021-12-21,102.59
2021-12-22,102.77
2021-12-23,101.82
2021-12-27,105.01
2021-12-28,98.74
2021-12-29,97.34
2021-12-30,100.53
2021-12-31,103.16
2022-01-03,98.81
2022-01-04,95.15
2022-01-05,88.54
2022-01-06,89.2
2022-01-07,84.37
2022-01-10,85.52
2022-01-11,89.04
2022-01-12,89.06
2022-01-13,80.18
2022-01-14,79.05
2022-01-18,77.21
2022-01-19,76.16
2022-01-20,75.39
2022-01-21,68.93
2022-01-24,70.74
2022-01-25,65.29
2022-01-26,63.02
2022-01-27,57.06
2022-01-28,58.18
2022-01-31,65.86
2022-02-01,67.75
2022-02-02,66.17
2022-02-03,60.67
2022-02-04,63.74
2022-02-07,63.06
2022-02-08,64.43
2022-02-09,70.48
2022-02-10,69.92
2022-02-11,66.81
2022-02-14,68.32
2022-02-15,73.3
2022-02-16,53.87
2022-02-17,54.49
2022-02-18,49.72
2022-02-22,48.21
2022-02-23,45.68
2022-02-24,50.1
2022-02-25,50.05
2022-02-28,51.57
2022-03-01,50.22
2022-03-02,48.45
2022-03-03,45.24
2022-03-04,42.29
2022-03-07,41.3
2022-03-08,41.91
2022-03-09,44.38
2022-03-10,41.47
2022-03-11,39.24
2022-03-14,36.68
2022-03-15,37.87
2022-03-16,41.51
2022-03-17,46.35
2022-03-18,49.62
2022-03-21,46.62
2022-03-22,50.51
2022-03-23,50.71
2022-03-24,50.79
2022-03-25,47.07
2022-03-28,48.4
2022-03-29,50.92
2022-03-30,48.12
2022-03-31,46.24
2022-04-01,46.02
2022-04-04,50.02
2022-04-05,49.03
2022-04-06,45.89
2022-04-07,44.73
2022-04-08,43.1
2022-04-11,44.02
2022-04-12,43.0
2022-04-13,44.97
2022-04-14,42.36
2022-04-18,40.85
2022-04-19,42.0
2022-04-20,36.75
2022-04-21,34.61
2022-04-22,34.35
2022-04-25,34.61
2022-04-26,31.76
2022-04-27,30.36
2022-04-28,32.11
2022-04-29,30.65
2022-05-02,32.68
2022-05-03,33.1
2022-05-04,34.88
2022-05-05,30.44
2022-05-06,27.81
2022-05-09,24.61
2022-05-10,23.19
2022-05-11,23.97
2022-05-12,28.58
2022-05-13,32.97
2022-05-16,32.14
2022-05-17,31.94
2022-05-18,32.55
2022-05-19,34.35
2022-05-20,31.6
2022-05-23,30.06
2022-05-24,27.07
2022-05-25,28.93
2022-05-26,30.59
2022-05-27,31.81
2022-05-31,29.94
2022-06-01,28.94
2022-06-02,33.48
2022-06-03,30.0
2022-06-06,31.16
2022-06-07,31.44
2022-06-08,32.83
2022-06-09,30.5
2022-06-10,27.76
2022-06-13,26.46
2022-06-14,26.12
2022-06-15,28.9
2022-06-16,24.69
2022-06-17,26.87
2022-06-21,29.64
2022-06-22,31.12
2022-06-23,34.48
2022-06-24,36.42
2022-06-27,35.93
2022-06-28,34.49
2022-06-29,34.02
2022-06-30,32.86
2022-07-01,35.07
2022-07-05,39.99
2022-07-06,37.95
2022-07-07,39.52
2022-07-08,41.25
2022-07-11,38.41
2022-07-12,38.22
2022-07-13,37.08
2022-07-14,37.49
2022-07-15,39.77
2022-07-18,39.75
2022-07-19,39.85
2022-07-20,40.76
2022-07-21,41.92
2022-07-22,39.4
2022-07-25,39.84
2022-07-26,39.0
2022-07-27,41.95
2022-07-28,42.98
2022-07-29,42.93
2022-08-01,45.24
2022-08-02,45.29
2022-08-03,47.0
2022-08-04,47.96
2022-08-05,49.24
2022-08-08,48.9
2022-08-09,47.35
2022-08-10,48.01
2022-08-11,49.56
2022-08-12,51.15
2022-08-15,48.96
2022-08-16,47.76
2022-08-17,46.1
2022-08-18,45.09
2022-08-19,42.68
2022-08-22,41.5
2022-08-23,41.07
2022-08-24,41.18
2022-08-25,41.47
2022-08-26,39.56
2022-08-29,39.22
2022-08-30,39.03
2022-08-31,39.11
2022-09-01,38.51
2022-09-02,37.94
2022-09-06,37.91
2022-09-07,39.94
2022-09-08,41.86
2022-09-09,45.53
2022-09-12,46.57
2022-09-13,43.87
2022-09-14,45.07
2022-09-15,43.5
2022-09-16,39.5
2022-09-19,37.11
2022-09-20,36.41
2022-09-21,35.81
2022-09-22,35.26
2022-09-23,35.54
2022-09-26,35.55
2022-09-27,36.59
2022-09-28,38.04
2022-09-29,35.38
2022-09-30,35.84
2022-10-03,36.41
2022-10-04,38.68
2022-10-05,38.0
2022-10-06,39.15
2022-10-07,34.82
2022-10-10,35.4
2022-10-11,34.56
2022-10-12,37.19
2022-10-13,37.92
2022-10-14,35.56
2022-10-17,42.61
2022-10-18,43.38
2022-10-19,41.44
2022-10-20,42.57
2022-10-21,42.81
2022-10-24,41.85
2022-10-25,45.71
2022-10-26,45.5
2022-10-27,46.5
2022-10-28,45.78
2022-10-31,44.74
2022-11-01,44.31
2022-11-02,42.87
2022-11-03,43.3
