date,close
2021-11-11,122.99
2021-11-12,129.95
2021-11-15,149.36
2021-11-16,172.01
2021-11-17,146.07
2021-11-18,123.38
2021-11-19,128.6
2021-11-22,118.11
2021-11-23,119.85
2021-11-24,114.85
2021-11-26,112.13
2021-11-29,119.77
2021-11-30,119.76
2021-12-01,115.69
2021-12-02,110.77
2021-12-03,104.67
2021-12-06,116.78
2021-12-07,116.18
2021-12-08,122.12
2021-12-09,115.4
2021-12-10,114.66
2021-12-13,118.9
2021-12-14,117.14
2021-12-15,115.0
2021-12-16,108.87
2021-12-17,97.7
2021-12-20,89.98
2021-12-21,96.82
2021-12-22,96.34
2021-12-23,96.84
2021-12-27,107.09
2021-12-28,102.87
2021-12-29,99.34
2021-12-30,103.42
2021-12-31,103.69
2022-01-03,102.72
2022-01-04,101.39
2022-01-05,90.01
2022-01-06,87.33
2022-01-07,86.28
2022-01-10,81.44
2022-01-11,83.55
2022-01-12,86.48
2022-01-13,80.31
2022-01-14,79.95
2022-01-18,73.16
2022-01-19,69.4
2022-01-20,65.02
2022-01-21,64.51
2022-01-24,63.9
2022-01-25,59.61
2022-01-26,60.27
2022-01-27,53.94
2022-01-28,57.12
2022-01-31,65.74
2022-02-01,69.62
2022-02-02,64.32
2022-02-03,60.36
2022-02-04,60.87
2022-02-07,58.36
2022-02-08,60.95
2022-02-09,64.53
2022-02-10,64.72
2022-02-11,58.85
2022-02-14,62.65
2022-02-15,66.29
2022-02-16,66.25
2022-02-17,64.74
2022-02-18,66.37
2022-02-22,62.39
2022-02-23,57.53
2022-02-24,63.71
2022-02-25,63.43
2022-02-28,67.56
2022-03-01,61.91
2022-03-02,53.56
2022-03-03,50.91
2022-03-04,47.39
2022-03-07,42.43
2022-03-08,42.21
2022-03-09,43.95
2022-03-10,41.16
2022-03-11,38.05
2022-03-14,35.83
2022-03-15,37.0
2022-03-16,41.58
2022-03-17,42.13
2022-03-18,45.6
2022-03-21,43.56
2022-03-22,46.93
2022-03-23,45.87
2022-03-24,48.66
2022-03-25,46.16
2022-03-28,45.98
2022-03-29,53.88
2022-03-30,52.01
2022-03-31,50.24
2022-04-01,46.44
2022-04-04,46.53
2022-04-05,42.19
2022-04-06,40.1
2022-04-07,39.98
2022-04-08,38.8
2022-04-11,39.5
2022-04-12,38.15
2022-04-13,41.15
2022-04-14,40.59
2022-04-18,38.23
2022-04-19,39.15
2022-04-20,36.23
2022-04-21,33.76
2022-04-22,33.61
2022-04-25,33.9
2022-04-26,30.68
2022-04-27,31.22
2022-04-28,32.18
2022-04-29,30.24
2022-05-02,31.74
2022-05-03,31.99
2022-05-04,33.92
2022-05-05,30.71
2022-05-06,28.79
2022-05-09,22.78
2022-05-10,22.79
2022-05-11,20.6
2022-05-12,24.3
2022-05-13,26.7
2022-05-16,24.86
2022-05-17,27.49
2022-05-18,27.29
2022-05-19,29.61
2022-05-20,28.92
2022-05-23,27.99
2022-05-24,26.53
2022-05-25,27.25
2022-05-26,29.23
2022-05-27,30.96
2022-05-31,31.4
2022-06-01,30.25
2022-06-02,31.94
2022-06-03,30.19
2022-06-06,28.98
2022-06-07,29.72
2022-06-08,29.8
2022-06-09,28.87
2022-06-10,28.36
2022-06-13,26.81
2022-06-14,27.3
2022-06-15,29.08
2022-06-16,26.42
2022-06-17,26.24
2022-06-21,29.07
2022-06-22,28.56
2022-06-23,29.47
2022-06-24,29.5
2022-06-27,28.44
2022-06-28,26.99
2022-06-29,26.27
2022-06-30,25.74
2022-07-01,25.7
2022-07-05,26.86
2022-07-06,29.66
2022-07-07,31.63
2022-07-08,31.99
2022-07-11,29.93
2022-07-12,30.15
2022-07-13,30.76
2022-07-14,30.83
2022-07-15,31.6
2022-07-18,31.8
2022-07-19,31.71
2022-07-20,32.74
2022-07-21,34.13
2022-07-22,32.48
2022-07-25,32.17
2022-07-26,31.69
2022-07-27,32.01
2022-07-28,33.845
2022-07-29,34.3
2022-08-01,34.81
2022-08-02,35.01
2022-08-03,36.59
2022-08-04,36.18
2022-08-05,35.67
2022-08-08,38.09
2022-08-09,36.7
2022-08-10,37.4
2022-08-11,38.95
2022-08-12,38.9
2022-08-15,37.28
2022-08-16,38.23
2022-08-17,36.42
2022-08-18,35.9
2022-08-19,34.45
2022-08-22,33.06
2022-08-23,32.21
2022-08-24,32.56
2022-08-25,32.9
2022-08-26,32.11
2022-08-29,32.31
2022-08-30,31.89
2022-08-31,32.71
2022-09-01,31.95
2022-09-02,32.07
2022-09-06,33.22
2022-09-07,33.25
2022-09-08,36.88
2022-09-09,37.55
2022-09-12,38.74
2022-09-13,38.76
2022-09-14,40.1
2022-09-15,39.69
2022-09-16,39.26
2022-09-19,37.94
2022-09-20,35.75
2022-09-21,35.1
2022-09-22,33.33
2022-09-23,33.56
2022-09-26,33.85
2022-09-27,33.79
2022-09-28,35.08
2022-09-29,32.31
2022-09-30,32.91
2022-10-03,31.89
2022-10-04,36.3
2022-10-05,36.13
2022-10-06,36.76
2022-10-07,33.95
2022-10-10,31.48
2022-10-11,32.33
2022-10-12,32.35
2022-10-13,32.5
2022-10-14,28.71
2022-10-17,30.7
2022-10-18,31.64
2022-10-19,31.5
2022-10-20,30.73
2022-10-21,31.92
2022-10-24,31.34
2022-10-25,34.49
2022-10-26,34.44
2022-10-27,34.5
2022-10-28,34.48
2022-10-31,34.97
2022-11-01,33.48
2022-11-02,31.52
2022-11-03,32.24
2022-11-04,31.99
2022-11-07,31.32
2022-11-08,31.85
2022-11-09,28.07
2022-11-10,32.96
2022-11-11,34.9
2022-11-14,34.38
2022-11-15,35.15
2022-11-16,33.32
2022-11-17,32.07
2022-11-18,30.34
2022-11-21,28.42
2022-11-22,28.94
2022-11-23,29.71
2022-11-25,29.53
2022-11-28,28.64
2022-11-29,28.85
