date,close
2019-06-21,38.86
2019-06-24,34.22
2019-06-25,35.1
2019-06-26,33.55
2019-06-27,34.3
2019-06-28,34.5
2019-07-01,32.79
2019-07-02,34.81
2019-07-03,34.9
2019-07-05,38.6
2019-07-08,37.3
2019-07-09,38.31
2019-07-10,37.05
2019-07-11,38.53
2019-07-12,37.74
2019-07-15,37.85
2019-07-16,37.15
2019-07-17,35.69
2019-07-18,33.94
2019-07-19,34.14
2019-07-22,34.39
2019-07-23,34.09
2019-07-24,34.14
2019-07-25,33.52
2019-07-26,34.29
2019-07-29,35.11
2019-07-30,33.98
2019-07-31,34.47
2019-08-01,33.4
2019-08-02,33.57
2019-08-05,31.56
2019-08-06,32.32
2019-08-07,29.99
2019-08-08,30.96
2019-08-09,26.12
2019-08-12,26.43
2019-08-13,25.75
2019-08-14,22.1
2019-08-15,24.47
2019-08-16,23.69
2019-08-19,24.41
2019-08-20,23.77
2019-08-21,25.38
2019-08-22,25.41
2019-08-23,23.01
2019-08-26,22.93
2019-08-27,21.61
2019-08-28,22.19
2019-08-29,23.3
2019-08-30,22.67
2019-09-03,21.51
2019-09-04,22.15
2019-09-05,23.35
2019-09-06,22.23
2019-09-09,21.81
2019-09-10,24.41
2019-09-11,25.06
2019-09-12,24.61
2019-09-13,25.58
2019-09-16,26.55
2019-09-17,25.6
2019-09-18,23.81
2019-09-19,24.11
2019-09-20,23.83
2019-09-23,23.94
2019-09-24,21.83
2019-09-25,22.25
2019-09-26,22.09
2019-09-27,22.84
2019-09-30,23.37
2019-10-01,23.43
2019-10-02,22.88
2019-10-03,24.19
2019-10-04,24.16
2019-10-07,23.86
2019-10-08,22.56
2019-10-09,21.91
2019-10-10,21.01
2019-10-11,21.73
2019-10-14,22.6
2019-10-15,21.07
2019-10-16,22.0
2019-10-17,21.8
2019-10-18,22.02
2019-10-21,22.66
2019-10-22,21.16
2019-10-23,21.41
2019-10-24,21.14
2019-10-25,20.97
2019-10-28,21.38
2019-10-29,20.51
2019-10-30,21.08
2019-10-31,20.76
2019-11-01,21.24
2019-11-04,20.8
2019-11-05,19.45
2019-11-06,19.66
2019-11-07,19.33
2019-11-08,16.33
2019-11-11,15.3
2019-11-12,15.52
2019-11-13,16.15
2019-11-14,15.65
2019-11-15,15.46
2019-11-18,15.14
2019-11-19,14.81
2019-11-20,14.66
2019-11-21,15.02
2019-11-22,15.32
2019-11-25,16.53
2019-11-26,17.19
2019-11-27,16.74
2019-11-29,16.12
2019-12-02,16.22
2019-12-03,16.66
2019-12-04,17.59
2019-12-05,17.2
2019-12-06,16.74
2019-12-09,17.17
2019-12-10,17.04
2019-12-11,16.81
2019-12-12,17.14
2019-12-13,17.05
2019-12-16,17.13
2019-12-17,16.81
2019-12-18,17.0
2019-12-19,17.66
2019-12-20,19.02
2019-12-23,18.33
2019-12-24,18.73
2019-12-26,19.3
2019-12-27,18.99
2019-12-30,18.35
2019-12-31,18.36
2020-01-02,18.39
2020-01-03,18.89
2020-01-06,19.09
2020-01-07,19.41
2020-01-08,19.24
2020-01-09,20.0
2020-01-10,19.09
2020-01-13,19.32
2020-01-14,20.64
2020-01-15,20.41
2020-01-16,20.69
2020-01-17,20.88
2020-01-21,20.35
2020-01-22,18.98
2020-01-23,17.95
2020-01-24,17.64
2020-01-27,17.65
2020-01-28,18.12
2020-01-29,18.18
2020-01-30,17.99
2020-01-31,17.79
2020-02-03,17.42
2020-02-04,17.17
2020-02-05,17.87
2020-02-06,18.51
2020-02-07,18.11
2020-02-10,18.35
2020-02-11,18.9
2020-02-12,19.53
2020-02-13,18.97
2020-02-14,19.49
2020-02-18,19.7
2020-02-19,20.52
2020-02-20,20.56
2020-02-21,20.99
2020-02-24,18.86
2020-02-25,19.31
2020-02-26,16.78
2020-02-27,15.58
2020-02-28,16.3
2020-03-02,15.76
2020-03-03,14.5
2020-03-04,15.14
2020-03-05,14.3
2020-03-06,13.99
2020-03-09,12.32
2020-03-10,12.4
2020-03-11,11.1
2020-03-12,9.04
2020-03-13,9.49
2020-03-16,8.77
2020-03-17,9.22
2020-03-18,7.85
2020-03-19,8.81
2020-03-20,7.66
2020-03-23,7.3
2020-03-24,8.56
2020-03-25,8.98
2020-03-26,9.19
2020-03-27,8.3
2020-03-30,8.41
2020-03-31,8.64
2020-04-01,8.13
2020-04-02,8.63
2020-04-03,8.38
2020-04-06,8.6
2020-04-07,8.61
2020-04-08,9.52
2020-04-09,10.14
2020-04-13,10.32
2020-04-14,11.05
2020-04-15,10.95
2020-04-16,10.95
2020-04-17,11.75
2020-04-20,11.94
2020-04-21,11.15
2020-04-22,10.66
2020-04-23,10.47
2020-04-24,10.56
2020-04-27,11.1
2020-04-28,10.91
2020-04-29,11.04
2020-04-30,10.99
2020-05-01,10.25
2020-05-04,9.98
2020-05-05,10.35
2020-05-06,10.1
2020-05-07,10.37
2020-05-08,13.03
2020-05-11,13.95
2020-05-12,14.49
2020-05-13,14.64
2020-05-14,14.93
2020-05-15,13.41
2020-05-18,13.5
