date,close
2020-02-06,28.64
2020-02-07,31.92
2020-02-10,28.94
2020-02-11,26.79
2020-02-12,27.13
2020-02-13,26.6
2020-02-14,26.9
2020-02-18,31.9
2020-02-19,35.72
2020-02-20,47.62
2020-02-21,50.0
2020-02-24,52.99
2020-02-25,43.59
2020-02-26,42.39
2020-02-27,43.43
2020-02-28,46.38
2020-03-02,44.75
2020-03-03,39.51
2020-03-04,43.0
2020-03-05,41.17
2020-03-06,43.32
2020-03-09,37.25
2020-03-10,35.03
2020-03-11,35.52
2020-03-12,37.31
2020-03-13,35.58
2020-03-16,30.38
2020-03-17,30.37
2020-03-18,28.96
2020-03-19,33.44
2020-03-20,38.55
2020-03-23,42.78
2020-03-24,41.29
2020-03-25,38.9
2020-03-26,41.25
2020-03-27,40.23
2020-03-30,42.18
2020-03-31,43.12
2020-04-01,39.39
2020-04-02,37.95
2020-04-03,40.12
2020-04-06,39.79
2020-04-07,39.07
2020-04-08,40.4
2020-04-09,41.3
2020-04-13,41.03
2020-04-14,39.19
2020-04-15,36.12
2020-04-16,40.84
2020-04-17,40.51
2020-04-20,48.48
2020-04-21,44.5
2020-04-22,46.27
2020-04-23,45.32
2020-04-24,51.62
2020-04-27,49.68
2020-04-28,49.43
2020-04-29,49.69
2020-04-30,46.4
2020-05-01,46.72
2020-05-04,48.36
2020-05-05,48.25
2020-05-06,47.89
2020-05-07,50.0
2020-05-08,48.82
2020-05-11,54.9
2020-05-12,58.73
2020-05-13,55.47
2020-05-14,54.0
2020-05-15,57.0
2020-05-18,59.05
2020-05-19,66.48
2020-05-20,64.71
2020-05-21,65.33
2020-05-22,69.17
2020-05-26,69.06
2020-05-27,65.25
2020-05-28,62.24
2020-05-29,68.45
2020-06-01,69.6
2020-06-02,69.57
2020-06-03,68.74
2020-06-04,63.81
2020-06-05,63.59
2020-06-08,65.06
2020-06-09,68.59
2020-06-10,67.17
2020-06-11,59.84
2020-06-12,60.51
2020-06-15,67.41
2020-06-16,67.41
2020-06-17,71.63
2020-06-18,75.42
2020-06-19,75.06
2020-06-22,75.65
2020-06-23,80.22
2020-06-24,81.29
2020-06-25,87.49
2020-06-26,84.64
2020-06-29,86.0
2020-06-30,91.57
2020-07-01,93.0
2020-07-02,92.82
2020-07-06,93.22
2020-07-07,87.09
2020-07-08,88.88
2020-07-09,93.46
2020-07-10,92.36
2020-07-13,87.77
2020-07-14,82.63
2020-07-15,84.21
2020-07-16,79.0
2020-07-17,84.63
2020-07-20,87.55
2020-07-21,83.61
2020-07-22,87.15
2020-07-23,81.98
2020-07-24,76.27
2020-07-27,77.34
2020-07-28,74.09
2020-07-29,77.21
2020-07-30,75.87
2020-07-31,72.38
2020-08-03,73.77
2020-08-04,72.61
2020-08-05,76.0
2020-08-06,71.98
2020-08-07,71.17
2020-08-10,74.26
2020-08-11,69.39
2020-08-12,66.87
2020-08-13,73.07
2020-08-14,69.45
2020-08-17,67.62
2020-08-18,68.63
2020-08-19,67.39
2020-08-20,67.09
2020-08-21,68.68
2020-08-24,63.76
2020-08-25,64.64
2020-08-26,64.78
2020-08-27,63.43
2020-08-28,61.69
2020-08-31,60.46
2020-09-01,60.79
2020-09-02,62.02
2020-09-03,56.71
2020-09-04,53.7
2020-09-08,52.1
2020-09-09,53.97
2020-09-10,53.71
2020-09-11,53.96
2020-09-14,55.98
2020-09-15,53.01
2020-09-16,52.34
2020-09-17,51.68
2020-09-18,56.05
2020-09-21,54.49
2020-09-22,51.13
2020-09-23,49.57
2020-09-24,46.87
2020-09-25,49.16
2020-09-28,49.0
2020-09-29,47.55
2020-09-30,47.51
2020-10-01,51.71
2020-10-02,51.34
2020-10-05,53.87
2020-10-06,54.57
2020-10-07,53.97
2020-10-08,53.86
2020-10-09,56.72
2020-10-12,62.25
2020-10-13,58.95
2020-10-14,56.57
2020-10-15,55.87
2020-10-16,57.94
2020-10-19,57.21
2020-10-20,55.67
2020-10-21,55.84
2020-10-22,58.49
2020-10-23,60.61
2020-10-26,58.01
2020-10-27,59.63
2020-10-28,54.2
2020-10-29,52.09
2020-10-30,48.78
2020-11-02,48.79
2020-11-03,48.06
2020-11-04,50.29
2020-11-05,54.03
2020-11-06,52.95
2020-11-09,53.38
2020-11-10,50.44
2020-11-11,51.43
2020-11-12,52.69
2020-11-13,57.81
2020-11-16,58.79
2020-11-17,59.54
2020-11-18,57.75
2020-11-19,58.57
2020-11-20,60.6
2020-11-23,67.65
2020-11-24,66.18
2020-11-25,63.6
2020-11-27,69.6
2020-11-30,69.58
2020-12-01,67.79
2020-12-02,65.44
2020-12-03,64.69
2020-12-04,66.19
2020-12-07,67.99
2020-12-08,67.24
2020-12-09,66.21
2020-12-10,67.93
2020-12-11,71.81
2020-12-14,72.03
2020-12-15,74.26
2020-12-16,77.48
2020-12-17,78.35
2020-12-18,79.86
2020-12-21,82.71
2020-12-22,83.41
2020-12-23,84.4
2020-12-24,83.95
2020-12-28,82.06
2020-12-29,79.42
2020-12-30,81.84
2020-12-31,79.18
2021-01-04,79.48
2021-01-05,82.66
2021-01-06,79.67
2021-01-07,85.31
2021-01-08,88.91
2021-01-11,87.49
2021-01-12,89.55
2021-01-13,88.5
2021-01-14,92.85
2021-01-15,90.89
2021-01-19,94.36
2021-01-20,96.57
2021-01-21,94.61
2021-01-22,95.7
