date,close
2022-06-13,33.2
2022-06-14,33.2
2022-06-15,33.2
2022-06-16,33.2
2022-06-17,25.0
2022-06-21,25.0
2022-06-22,25.0
2022-06-23,25.0
2022-06-24,25.0
2022-06-27,25.0
2022-06-28,25.0
2022-06-29,25.0
2022-06-30,25.0
2022-07-01,25.0
2022-07-05,25.0
2022-07-06,25.0
2022-07-07,25.0
2022-07-08,25.0
2022-07-11,25.0
2022-07-12,25.0
2022-07-13,25.0
2022-07-14,25.0
2022-07-15,25.0
2022-07-18,25.0
2022-07-19,25.0
2022-07-20,25.0
2022-07-21,25.0
2022-07-22,25.0
2022-07-25,25.0
2022-07-26,25.0
2022-07-27,25.0
2022-07-28,25.0
2022-07-29,25.0
2022-08-01,25.0
2022-08-02,25.0
2022-08-03,25.0
2022-08-04,25.0
2022-08-05,25.0
2022-08-08,25.0
2022-08-09,25.0
2022-08-10,25.0
2022-08-11,25.0
2022-08-12,25.0
2022-08-15,25.0
2022-08-16,25.0
2022-08-17,25.0
2022-08-18,26.7
2022-08-19,27.5
2022-08-22,28.2
2022-08-23,28.2
2022-08-24,28.2
2022-08-25,28.2
2022-08-26,28.2
2022-08-29,26.0
2022-08-30,28.0
2022-08-31,28.0
2022-09-01,28.0
2022-09-02,28.0
2022-09-06,26.0
2022-09-07,26.0
2022-09-08,26.0
2022-09-09,26.0
2022-09-12,26.0
2022-09-13,26.0
2022-09-14,26.0
2022-09-15,26.0
2022-09-16,26.0
2022-09-19,26.0
2022-09-20,26.0
2022-09-21,26.0
2022-09-22,26.0
2022-09-23,23.1
2022-09-26,23.1
2022-09-27,22.0
2022-09-28,22.0
2022-09-29,22.0
2022-09-30,22.0
2022-10-03,24.5
2022-10-04,25.0
2022-10-05,25.0
2022-10-06,23.35
2022-10-07,23.35
2022-10-10,23.35
2022-10-11,23.35
2022-10-12,23.35
2022-10-13,25.0
2022-10-14,26.5
2022-10-17,27.4
2022-10-18,27.12
2022-10-19,27.55
2022-10-20,27.49
2022-10-21,28.6
2022-10-24,28.83
2022-10-25,28.64
2022-10-26,31.53
2022-10-27,32.8
2022-10-28,32.74
2022-10-31,31.5
2022-11-01,33.37
2022-11-02,33.06
2022-11-03,32.89
2022-11-04,32.43
2022-11-07,32.89
2022-11-08,32.38
2022-11-09,31.48
2022-11-10,31.65
2022-11-11,31.66
2022-11-14,31.94
2022-11-15,31.77
2022-11-16,31.67
2022-11-17,31.8
2022-11-18,31.24
2022-11-21,31.0
2022-11-22,31.45
2022-11-23,31.395
2022-11-25,32.0
2022-11-28,31.7
2022-11-29,31.84
2022-11-30,32.0
2022-12-01,31.81
2022-12-02,31.6
2022-12-05,30.25
2022-12-06,29.8
2022-12-07,29.2
2022-12-08,29.19
2022-12-09,28.73
