date,close
2023-06-21,40.88
2023-06-22,40.57
2023-06-23,40.12
2023-06-26,40.75
2023-06-27,40.97
2023-06-28,40.79
2023-06-29,41.1
2023-06-30,41.35
2023-07-03,41.65
2023-07-05,41.6
2023-07-06,41.3
2023-07-07,41.33
2023-07-10,41.27
2023-07-11,41.87
2023-07-12,42.05
2023-07-13,42.22
2023-07-14,41.85
2023-07-17,41.54
2023-07-18,41.74
2023-07-19,42.19
2023-07-20,42.39
2023-07-21,42.42
2023-07-24,42.47
2023-07-25,42.43
2023-07-26,42.63
2023-07-27,42.31
2023-07-28,42.47
2023-07-31,42.61
2023-08-01,42.25
2023-08-02,42.17
2023-08-03,41.76
2023-08-04,41.6
2023-08-07,41.82
2023-08-08,41.79
2023-08-09,41.86
2023-08-10,41.9
2023-08-11,41.97
2023-08-14,41.72
2023-08-15,41.18
2023-08-16,40.92
2023-08-17,40.88
2023-08-18,41.05
2023-08-21,40.66
2023-08-22,40.58
2023-08-23,40.7
2023-08-24,40.56
2023-08-25,40.77
2023-08-28,40.99
2023-08-29,41.37
2023-08-30,41.35
2023-08-31,41.15
2023-09-01,41.14
2023-09-05,40.53
2023-09-06,40.33
2023-09-07,40.32
2023-09-08,40.55
2023-09-11,40.61
2023-09-12,40.73
2023-09-13,40.6
2023-09-14,41.31
2023-09-15,41.01
2023-09-18,40.72
2023-09-19,40.6
2023-09-20,40.63
2023-09-21,40.03
2023-09-22,39.76
2023-09-25,39.81
2023-09-26,39.21
2023-09-27,39.08
2023-09-28,39.21
2023-09-29,39.19
2023-10-02,38.44
2023-10-03,38.2
2023-10-04,38.18
2023-10-05,38.1
2023-10-06,38.2
2023-10-09,38.72
2023-10-10,39.0
2023-10-11,39.22
2023-10-12,38.77
2023-10-13,38.85
2023-10-16,39.21
2023-10-17,39.37
2023-10-18,38.84
2023-10-19,38.47
2023-10-20,38.19
2023-10-23,37.61
2023-10-24,38.2
2023-10-25,37.93
2023-10-26,37.94
2023-10-27,37.32
2023-10-30,37.7
2023-10-31,38.01
2023-11-01,38.2
2023-11-02,38.96
2023-11-03,39.39
2023-11-06,39.17
2023-11-07,38.89
2023-11-08,38.72
2023-11-09,38.31
2023-11-10,38.59
2023-11-13,38.32
2023-11-14,39.41
2023-11-15,39.71
2023-11-16,39.55
2023-11-17,39.76
2023-11-20,39.58
2023-11-21,39.5
2023-11-22,39.71
2023-11-24,39.85
2023-11-27,39.89
2023-11-28,40.02
2023-11-29,40.21
2023-11-30,40.7
2023-12-01,41.24
2023-12-04,41.34
2023-12-05,41.1
