date,close
2023-06-21,5.4768
2023-06-22,5.7016
2023-06-23,3.6904
2023-06-26,3.3384
2023-06-27,3.592
2023-06-28,3.6
2023-06-29,4.3984
2023-06-30,4.12
2023-07-03,4.4312
2023-07-05,4.24
2023-07-06,4.2272
2023-07-07,4.408
2023-07-10,4.7648
2023-07-11,4.9112
2023-07-12,5.5256
2023-07-13,5.7792
2023-07-14,5.2456
2023-07-17,5.6
2023-07-18,5.644
2023-07-19,5.704
2023-07-20,5.6
2023-07-21,5.192
2023-07-24,5.032
2023-07-25,5.408
2023-07-26,5.264
2023-07-27,5.0248
2023-07-28,5.3344
2023-07-31,5.6984
2023-08-01,5.52
2023-08-02,5.248
2023-08-03,5.4408
2023-08-04,5.44
2023-08-07,5.4568
2023-08-08,5.6456
2023-08-09,5.3416
2023-08-10,4.808
2023-08-11,5.12
2023-08-14,5.44
2023-08-15,5.3232
2023-08-16,5.2664
2023-08-17,5.28
2023-08-18,5.0688
2023-08-21,5.16
2023-08-22,4.76
2023-08-23,4.9248
2023-08-24,4.72
2023-08-25,4.7528
2023-08-28,4.772
2023-08-29,4.56
2023-08-30,4.52
2023-08-31,5.26
2023-09-01,5.48
2023-09-05,5.54
2023-09-06,5.52
2023-09-07,5.47
2023-09-08,5.4
2023-09-11,5.55
2023-09-12,5.74
2023-09-13,5.76
2023-09-14,5.66
2023-09-15,5.53
2023-09-18,5.32
2023-09-19,5.26
2023-09-20,5.12
2023-09-21,5.14
2023-09-22,5.01
2023-09-25,4.98
2023-09-26,4.95
2023-09-27,5.06
2023-09-28,4.91
2023-09-29,4.89
2023-10-02,4.69
2023-10-03,4.23
2023-10-04,4.41
2023-10-05,4.28
2023-10-06,4.12
2023-10-09,4.07
2023-10-10,4.14
2023-10-11,4.09
2023-10-12,3.87
2023-10-13,3.75
2023-10-16,3.76
2023-10-17,3.71
2023-10-18,3.72
2023-10-19,3.72
2023-10-20,3.59
2023-10-23,3.43
2023-10-24,3.72
2023-10-25,3.53
2023-10-26,3.4
2023-10-27,3.42
2023-10-30,3.48
2023-10-31,3.63
2023-11-01,3.59
2023-11-02,3.82
2023-11-03,4.14
2023-11-06,4.06
2023-11-07,4.09
2023-11-08,4.68
2023-11-09,4.67
2023-11-10,4.6
2023-11-13,4.69
2023-11-14,4.88
2023-11-15,4.94
2023-11-16,4.88
2023-11-17,5.04
2023-11-20,5.02
2023-11-21,4.64
2023-11-22,4.98
2023-11-24,5.05
2023-11-27,4.98
2023-11-28,4.96
2023-11-29,5.11
2023-11-30,5.08
2023-12-01,5.45
2023-12-04,5.72
2023-12-05,5.46
