date,close
2019-06-21,34.66
2019-06-24,34.57
2019-06-25,34.2
2019-06-26,34.18
2019-06-27,34.33
2019-06-28,34.54
2019-07-01,34.81
2019-07-02,34.89
2019-07-03,35.17
2019-07-05,35.13
2019-07-08,34.96
2019-07-09,35.02
2019-07-10,35.18
2019-07-11,35.25
2019-07-12,35.39
2019-07-15,35.4
2019-07-16,35.28
2019-07-17,35.09
2019-07-18,35.22
2019-07-19,35.01
2019-07-22,35.12
2019-07-23,35.36
2019-07-24,35.54
2019-07-25,35.36
2019-07-26,35.57
2019-07-29,35.51
2019-07-30,35.44
2019-07-31,35.06
2019-08-01,34.73
2019-08-02,34.48
2019-08-05,33.44
2019-08-06,33.88
2019-08-07,33.93
2019-08-08,34.58
2019-08-09,34.36
2019-08-12,33.92
2019-08-13,34.42
2019-08-14,33.42
2019-08-15,33.48
2019-08-16,34.0
2019-08-19,34.39
2019-08-20,34.14
2019-08-21,34.43
2019-08-22,34.39
2019-08-23,33.54
2019-08-26,33.88
2019-08-27,33.72
2019-08-28,33.96
2019-08-29,34.38
2019-08-30,34.4
2019-09-03,34.19
2019-09-04,34.56
2019-09-05,35.01
2019-09-06,35.03
2019-09-09,35.03
2019-09-10,35.01
2019-09-11,35.25
2019-09-12,35.35
2019-09-13,35.32
2019-09-16,35.26
2019-09-17,35.36
2019-09-18,35.37
2019-09-19,35.37
2019-09-20,35.02
2019-09-23,35.03
2019-09-24,34.74
2019-09-25,34.95
2019-09-26,34.87
2019-09-27,34.66
2019-09-30,34.85
2019-10-01,34.4
2019-10-02,33.81
2019-10-03,34.09
2019-10-04,34.57
2019-10-07,34.41
2019-10-08,33.89
2019-10-09,34.21
2019-10-10,34.44
2019-10-11,34.8
2019-10-14,34.77
2019-10-15,35.09
2019-10-16,35.02
2019-10-17,35.11
2019-10-18,34.98
2019-10-21,35.22
2019-10-22,35.1
2019-10-23,35.19
2019-10-24,35.29
2019-10-25,35.43
2019-10-28,35.63
2019-10-29,35.6
2019-10-30,35.72
2019-10-31,35.6
2019-11-01,35.96
2019-11-04,36.06
2019-11-05,36.01
2019-11-06,36.02
2019-11-07,36.15
2019-11-08,36.24
2019-11-11,36.18
2019-11-12,36.24
2019-11-13,36.29
2019-11-14,36.32
2019-11-15,36.61
2019-11-18,36.63
2019-11-19,36.65
2019-11-20,36.53
2019-11-21,36.48
2019-11-22,36.56
2019-11-25,36.86
2019-11-26,36.94
2019-11-27,37.09
2019-11-29,36.95
2019-12-02,36.62
2019-12-03,36.4
2019-12-04,36.6
2019-12-05,36.66
2019-12-06,36.98
2019-12-09,36.85
2019-12-10,36.82
2019-12-11,36.93
2019-12-12,37.2
2019-12-13,37.22
2019-12-16,37.5
2019-12-17,37.52
2019-12-18,37.51
2019-12-19,37.69
2019-12-20,37.7
2019-12-23,37.74
2019-12-24,37.72
2019-12-26,37.94
2019-12-27,37.91
2019-12-30,37.73
2019-12-31,37.82
2020-01-02,38.14
2020-01-03,37.9
2020-01-06,38.02
2020-01-07,37.92
2020-01-08,38.12
2020-01-09,38.4
2020-01-10,38.29
2020-01-13,38.58
2020-01-14,38.51
2020-01-15,38.59
2020-01-16,38.93
2020-01-17,39.03
2020-01-21,38.96
2020-01-22,38.96
2020-01-23,39.03
2020-01-24,38.66
2020-01-27,38.05
2020-01-28,38.44
2020-01-29,38.41
2020-01-30,38.54
2020-01-31,37.86
2020-02-03,38.13
2020-02-04,38.7
2020-02-05,39.15
2020-02-06,39.28
2020-02-07,39.08
2020-02-10,39.37
2020-02-11,39.43
2020-02-12,39.69
