date,close
2023-06-21,45.79
2023-06-22,42.0
2023-06-23,39.51
2023-06-26,37.08
2023-06-27,39.0
2023-06-28,41.84
2023-06-29,41.45
2023-06-30,42.81
2023-07-03,43.58
2023-07-05,41.31
2023-07-06,40.01
2023-07-07,41.17
2023-07-10,45.71
2023-07-11,46.95
2023-07-12,43.37
2023-07-13,46.26
2023-07-14,44.11
2023-07-17,49.49
2023-07-18,52.08
2023-07-19,48.7
2023-07-20,45.67
2023-07-21,43.68
2023-07-24,40.97
2023-07-25,38.17
2023-07-26,41.28
2023-07-27,39.46
2023-07-28,42.18
2023-07-31,63.54
2023-08-01,57.61
2023-08-02,58.98
2023-08-03,57.98
2023-08-04,53.61
2023-08-07,52.48
2023-08-08,49.99
2023-08-09,44.88
2023-08-10,45.95
2023-08-11,43.53
2023-08-14,44.45
2023-08-15,40.11
2023-08-16,39.32
2023-08-17,38.4
2023-08-18,37.64
2023-08-21,36.41
2023-08-22,37.64
2023-08-23,40.22
2023-08-24,39.16
2023-08-25,37.26
2023-08-28,39.785
2023-08-29,39.33
2023-08-30,39.53
2023-08-31,41.79
2023-09-01,41.92
2023-09-05,40.07
2023-09-06,39.6
2023-09-07,36.69
2023-09-08,35.61
2023-09-11,34.93
2023-09-12,33.09
2023-09-13,32.4
2023-09-14,32.63
2023-09-15,31.85
2023-09-18,32.48
2023-09-19,32.76
2023-09-20,32.23
2023-09-21,31.08
2023-09-22,31.06
2023-09-25,30.27
2023-09-26,30.73
2023-09-27,32.5
2023-09-28,32.62
2023-09-29,33.43
2023-10-02,34.52
2023-10-03,31.19
2023-10-04,31.84
2023-10-05,31.84
2023-10-06,34.87
2023-10-09,36.81
2023-10-10,39.53
2023-10-11,41.84
2023-10-12,40.68
2023-10-13,39.24
2023-10-16,43.6
2023-10-17,46.29
2023-10-18,42.14
2023-10-19,42.72
2023-10-20,41.37
2023-10-23,38.64
2023-10-24,41.11
2023-10-25,37.79
2023-10-26,37.38
2023-10-27,35.35
2023-10-30,35.64
2023-10-31,34.03
2023-11-01,33.03
2023-11-02,37.58
2023-11-03,36.91
2023-11-06,35.47
2023-11-07,35.15
2023-11-08,33.09
2023-11-09,31.73
2023-11-10,31.38
2023-11-13,33.17
2023-11-14,35.89
2023-11-15,37.68
2023-11-16,35.99
2023-11-17,37.2
2023-11-20,37.16
2023-11-21,52.08
2023-11-22,53.86
2023-11-24,51.43
2023-11-27,58.19
2023-11-28,53.8
2023-11-29,55.32
2023-11-30,52.88
2023-12-01,56.73
2023-12-04,55.68
2023-12-05,54.08
2023-12-06,49.64
2023-12-07,48.05
2023-12-08,50.33
2023-12-11,50.27
2023-12-12,48.97
2023-12-13,50.44
2023-12-14,50.2
2023-12-15,53.47
2023-12-18,57.0
2023-12-19,56.36
2023-12-20,51.11
2023-12-21,53.43
2023-12-22,54.19
2023-12-26,55.95
2023-12-27,53.92
2023-12-28,53.2
2023-12-29,51.33
2024-01-02,49.69
2024-01-03,46.48
2024-01-04,45.16
2024-01-05,43.39
2024-01-08,45.21
2024-01-09,43.1
2024-01-10,42.88
2024-01-11,42.74
2024-01-12,42.215
2024-01-16,41.27
2024-01-17,40.43
2024-01-18,41.78
2024-01-19,44.1
2024-01-22,45.3
2024-01-23,45.24
2024-01-24,41.01
2024-01-25,40.49
2024-01-26,41.0
2024-01-29,44.07
2024-01-30,44.1
2024-01-31,43.03
2024-02-01,46.82
2024-02-02,50.45
2024-02-05,49.6
2024-02-06,37.91
2024-02-07,39.28
2024-02-08,42.99
2024-02-09,46.71
2024-02-12,46.71
2024-02-13,43.72
2024-02-14,46.19
2024-02-15,45.2
2024-02-16,43.03
2024-02-20,41.67
2024-02-21,40.89
2024-02-22,39.68
2024-02-23,40.4
2024-02-26,40.96
2024-02-27,40.74
2024-02-28,39.51
2024-02-29,39.4
2024-03-01,40.93
2024-03-04,41.47
2024-03-05,40.13
2024-03-06,41.71
2024-03-07,42.6
2024-03-08,44.62
2024-03-11,45.01
2024-03-12,46.43
2024-03-13,45.18
2024-03-14,45.0
2024-03-15,45.36
2024-03-18,45.13
2024-03-19,44.82
2024-03-20,46.9
2024-03-21,48.38
2024-03-22,47.08
2024-03-25,49.27
2024-03-26,47.89
2024-03-27,45.23
2024-03-28,45.0
2024-04-01,45.44
2024-04-02,44.39
2024-04-03,44.63
2024-04-04,42.29
2024-04-05,44.0
2024-04-08,45.23
2024-04-09,46.0
2024-04-10,44.5
2024-04-11,44.85
2024-04-12,42.51
2024-04-15,40.61
2024-04-16,40.88
2024-04-17,41.96
2024-04-18,40.09
2024-04-19,39.73
2024-04-22,39.66
2024-04-23,40.25
2024-04-24,40.43
2024-04-25,39.55
2024-04-26,40.19
2024-04-29,40.26
2024-04-30,38.57
2024-05-01,38.42
2024-05-02,39.98
2024-05-03,41.13
2024-05-06,41.94
2024-05-07,46.5
2024-05-08,48.36
2024-05-09,44.75
2024-05-10,41.79
2024-05-13,42.74
2024-05-14,45.06
2024-05-15,46.68
2024-05-16,46.16
2024-05-17,43.99
2024-05-20,43.12
2024-05-21,43.55
2024-05-22,42.78
2024-05-23,41.48
2024-05-24,40.91
2024-05-28,41.31
2024-05-29,40.93
2024-05-30,41.43
2024-05-31,39.57
2024-06-03,39.42
2024-06-04,38.58
2024-06-05,39.85
2024-06-06,39.35
2024-06-07,36.79
2024-06-10,37.72
2024-06-11,36.35
2024-06-12,37.83
2024-06-13,37.13
2024-06-14,35.27
2024-06-17,34.12
2024-06-18,34.48
2024-06-20,34.01
2024-06-21,32.53
2024-06-24,32.05
2024-06-25,31.77
2024-06-26,32.56
2024-06-27,35.2
2024-06-28,35.16
2024-07-01,35.48
2024-07-02,36.19
2024-07-03,35.34
2024-07-05,35.81
2024-07-08,37.17
2024-07-09,38.04
2024-07-10,36.5
2024-07-11,37.87
2024-07-12,38.4
2024-07-15,39.63
2024-07-16,41.44
2024-07-17,39.64
2024-07-18,38.49
2024-07-19,39.19
2024-07-22,38.66
2024-07-23,39.75
2024-07-24,36.19
2024-07-25,37.84
2024-07-26,38.8
2024-07-29,35.63
2024-07-30,27.25
2024-07-31,26.81
2024-08-01,24.61
2024-08-02,23.7
2024-08-05,22.96
2024-08-06,22.92
2024-08-07,21.77
2024-08-08,22.24
2024-08-09,21.9
2024-08-12,21.23
2024-08-13,21.72
2024-08-14,21.4
2024-08-15,21.39
2024-08-16,22.24
2024-08-19,25.17
2024-08-20,23.87
2024-08-21,24.87
2024-08-22,22.27
2024-08-23,23.36
2024-08-26,22.77
2024-08-27,21.4
2024-08-28,20.01
2024-08-29,19.34
2024-08-30,19.2
2024-09-03,17.97
2024-09-04,18.12
2024-09-05,18.0
2024-09-06,17.99
2024-09-09,18.41
2024-09-10,17.86
2024-09-11,19.38
2024-09-12,20.49
2024-09-13,21.14
2024-09-16,22.41
2024-09-17,24.96
2024-09-18,24.98
2024-09-19,25.0
2024-09-20,25.17
2024-09-23,23.52
2024-09-24,23.65
2024-09-25,23.12
2024-09-26,25.13
2024-09-27,25.52
2024-09-30,24.39
2024-10-01,23.83
2024-10-02,24.175
2024-10-03,23.06
2024-10-04,23.84
2024-10-07,23.72
2024-10-08,23.38
2024-10-09,23.24
2024-10-10,27.51
2024-10-11,29.93
2024-10-14,28.66
2024-10-15,28.83
2024-10-16,28.84
2024-10-17,29.38
2024-10-18,30.05
2024-10-21,30.14
2024-10-22,29.47
2024-10-23,28.31
2024-10-24,28.58
2024-10-25,27.42
2024-10-28,28.41
2024-10-29,29.52
