date,close
2023-06-21,15.61
2023-06-22,15.58
2023-06-23,15.45
2023-06-26,15.63
2023-06-27,15.84
2023-06-28,15.78
2023-06-29,15.98
2023-06-30,15.95
2023-07-03,16.12
2023-07-05,16.07
2023-07-06,15.87
2023-07-07,15.61
2023-07-10,15.27
2023-07-11,15.23
2023-07-12,15.12
2023-07-13,15.12
2023-07-14,14.5
2023-07-17,13.53
2023-07-18,13.45
2023-07-19,14.59
2023-07-20,14.66
2023-07-21,14.76
2023-07-24,14.95
2023-07-25,14.8
2023-07-26,14.89
2023-07-27,14.51
2023-07-28,14.45
2023-07-31,14.52
2023-08-01,14.3
2023-08-02,14.35
2023-08-03,14.09
2023-08-04,14.0
2023-08-07,14.01
2023-08-08,14.18
2023-08-09,14.27
2023-08-10,14.17
2023-08-11,14.37
2023-08-14,14.26
2023-08-15,14.14
2023-08-16,14.1
2023-08-17,14.01
2023-08-18,14.05
2023-08-21,14.1
2023-08-22,14.26
2023-08-23,14.16
2023-08-24,14.15
2023-08-25,14.11
2023-08-28,14.21
2023-08-29,14.77
2023-08-30,14.73
2023-08-31,14.79
2023-09-01,14.65
2023-09-05,14.48
2023-09-06,14.61
2023-09-07,14.61
2023-09-08,14.4
2023-09-11,14.52
2023-09-12,14.46
2023-09-13,14.62
2023-09-14,15.06
2023-09-15,15.23
2023-09-18,15.09
2023-09-19,15.21
2023-09-20,15.55
2023-09-21,15.31
2023-09-22,15.12
2023-09-25,15.06
2023-09-26,15.02
2023-09-27,14.87
2023-09-28,15.01
2023-09-29,15.02
2023-10-02,14.67
2023-10-03,14.78
2023-10-04,14.65
2023-10-05,14.83
2023-10-06,14.45
2023-10-09,14.73
2023-10-10,14.96
2023-10-11,14.77
2023-10-12,14.45
2023-10-13,14.36
2023-10-16,14.41
2023-10-17,14.58
2023-10-18,14.32
2023-10-19,15.26
2023-10-20,15.38
2023-10-23,14.95
2023-10-24,15.53
2023-10-25,15.19
2023-10-26,15.12
2023-10-27,14.82
2023-10-30,15.26
2023-10-31,15.4
2023-11-01,15.58
2023-11-02,15.73
2023-11-03,15.88
2023-11-06,15.75
2023-11-07,15.84
2023-11-08,15.65
2023-11-09,15.63
2023-11-10,15.64
2023-11-13,15.58
2023-11-14,15.63
2023-11-15,15.76
2023-11-16,15.88
2023-11-17,15.9
2023-11-20,16.1
2023-11-21,16.19
2023-11-22,16.17
2023-11-24,16.21
2023-11-27,16.21
2023-11-28,16.18
2023-11-29,16.3
2023-11-30,16.57
2023-12-01,16.76
2023-12-04,16.66
2023-12-05,17.22
2023-12-06,16.94
2023-12-07,17.09
2023-12-08,16.92
2023-12-11,16.62
2023-12-12,16.41
2023-12-13,16.45
2023-12-14,16.65
2023-12-15,16.52
2023-12-18,16.46
2023-12-19,16.61
2023-12-20,16.4
2023-12-21,16.49
2023-12-22,16.55
2023-12-26,16.57
2023-12-27,16.58
2023-12-28,16.74
2023-12-29,16.78
2024-01-02,17.25
2024-01-03,17.23
2024-01-04,17.15
2024-01-05,17.47
2024-01-08,17.32
2024-01-09,16.95
2024-01-10,16.87
2024-01-11,16.23
2024-01-12,16.48
2024-01-16,16.44
2024-01-17,16.41
2024-01-18,16.4
2024-01-19,16.67
2024-01-22,16.8
2024-01-23,17.19
2024-01-24,16.68
2024-01-25,17.18
2024-01-26,17.29
2024-01-29,17.25
2024-01-30,17.53
2024-01-31,17.69
2024-02-01,18.04
2024-02-02,17.83
2024-02-05,17.73
2024-02-06,17.61
2024-02-07,17.33
2024-02-08,16.82
2024-02-09,16.84
2024-02-12,17.02
2024-02-13,16.9
2024-02-14,16.91
2024-02-15,17.09
2024-02-16,16.97
2024-02-20,16.91
2024-02-21,17.0
2024-02-22,16.59
2024-02-23,16.8
2024-02-26,16.6
2024-02-27,16.83
2024-02-28,16.96
2024-02-29,16.93
2024-03-01,16.98
2024-03-04,16.8
2024-03-05,17.17
2024-03-06,17.18
2024-03-07,17.05
2024-03-08,17.2
2024-03-11,17.33
2024-03-12,17.2
2024-03-13,17.19
2024-03-14,17.01
2024-03-15,17.05
2024-03-18,17.3
2024-03-19,17.17
2024-03-20,17.21
2024-03-21,17.16
2024-03-22,16.98
2024-03-25,17.12
2024-03-26,17.18
2024-03-27,17.55
2024-03-28,17.6
2024-04-01,17.5
2024-04-02,17.52
2024-04-03,17.61
2024-04-04,17.57
2024-04-05,17.42
2024-04-08,17.25
2024-04-09,16.9
2024-04-10,16.73
2024-04-11,16.42
2024-04-12,16.31
2024-04-15,16.24
2024-04-16,16.09
2024-04-17,16.12
2024-04-18,16.33
2024-04-19,16.51
2024-04-22,16.31
2024-04-23,16.5
2024-04-24,16.81
2024-04-25,16.58
2024-04-26,16.75
2024-04-29,17.02
2024-04-30,16.89
2024-05-01,16.92
2024-05-02,16.82
2024-05-03,16.85
2024-05-06,16.99
2024-05-07,17.08
2024-05-08,17.11
2024-05-09,17.18
2024-05-10,17.17
2024-05-13,17.26
2024-05-14,17.3
2024-05-15,17.33
2024-05-16,17.3
2024-05-17,17.4
2024-05-20,17.52
2024-05-21,17.27
2024-05-22,17.5
2024-05-23,17.47
2024-05-24,17.5
2024-05-28,17.27
2024-05-29,17.12
2024-05-30,17.62
2024-05-31,18.22
2024-06-03,18.01
2024-06-04,18.35
2024-06-05,18.3
2024-06-06,18.28
2024-06-07,18.1
2024-06-10,17.86
2024-06-11,17.86
2024-06-12,17.61
2024-06-13,17.67
2024-06-14,17.64
2024-06-17,17.67
2024-06-18,18.05
2024-06-20,18.11
2024-06-21,18.4
2024-06-24,18.65
2024-06-25,18.69
2024-06-26,18.76
2024-06-27,18.75
2024-06-28,19.11
2024-07-01,18.98
2024-07-02,18.82
2024-07-03,18.68
2024-07-05,18.77
2024-07-08,18.81
2024-07-09,18.8
2024-07-10,18.74
2024-07-11,18.86
2024-07-12,18.81
2024-07-15,18.58
2024-07-16,18.85
2024-07-17,19.16
2024-07-18,19.15
2024-07-19,19.12
2024-07-22,18.55
2024-07-23,18.21
2024-07-24,19.16
2024-07-25,19.19
2024-07-26,19.01
2024-07-29,18.9
2024-07-30,18.98
2024-07-31,19.25
2024-08-01,19.47
2024-08-02,19.37
2024-08-05,18.91
2024-08-06,19.19
2024-08-07,19.25
2024-08-08,19.4
2024-08-09,19.49
2024-08-12,19.43
2024-08-13,19.52
2024-08-14,19.63
2024-08-15,19.09
2024-08-16,19.34
2024-08-19,19.49
2024-08-20,19.49
2024-08-21,19.54
2024-08-22,19.51
2024-08-23,19.73
2024-08-26,19.76
2024-08-27,19.65
2024-08-28,19.82
2024-08-29,19.76
2024-08-30,19.9
2024-09-03,20.43
2024-09-04,20.57
2024-09-05,20.65
2024-09-06,20.97
2024-09-09,21.5
2024-09-10,21.71
2024-09-11,21.45
2024-09-12,21.59
2024-09-13,21.64
2024-09-16,22.27
2024-09-17,21.78
2024-09-18,21.73
2024-09-19,21.36
2024-09-20,21.54
2024-09-23,21.49
2024-09-24,21.59
2024-09-25,21.56
2024-09-26,21.65
2024-09-27,21.9
2024-09-30,22.0
2024-10-01,22.13
2024-10-02,22.19
2024-10-03,22.05
2024-10-04,21.91
2024-10-07,21.78
2024-10-08,21.86
2024-10-09,21.93
2024-10-10,21.22
2024-10-11,21.37
2024-10-14,21.26
2024-10-15,21.51
2024-10-16,21.71
2024-10-17,21.73
2024-10-18,21.85
2024-10-21,21.66
2024-10-22,21.5
2024-10-23,22.49
2024-10-24,22.2
2024-10-25,21.83
2024-10-28,22.11
2024-10-29,22.18
2024-10-30,22.02
2024-10-31,22.54
2024-11-01,22.12
2024-11-04,21.92
2024-11-05,22.05
2024-11-06,22.32
2024-11-07,22.04
2024-11-08,22.34
2024-11-11,22.31
2024-11-12,22.15
2024-11-13,22.3
2024-11-14,22.25
2024-11-15,22.68
2024-11-18,22.99
2024-11-19,22.73
2024-11-20,22.83
2024-11-21,22.98
2024-11-22,23.18
2024-11-25,23.1
2024-11-26,23.09
2024-11-27,23.27
2024-11-29,23.16
2024-12-02,22.7
2024-12-03,23.74
2024-12-04,23.53
2024-12-05,23.83
2024-12-06,23.88
2024-12-09,23.37
2024-12-10,23.51
2024-12-11,23.48
2024-12-12,23.36
2024-12-13,23.63
2024-12-16,22.84
2024-12-17,22.83
2024-12-18,22.48
2024-12-19,22.57
2024-12-20,22.75
2024-12-23,22.84
2024-12-24,22.95
2024-12-26,22.96
2024-12-27,22.86
2024-12-30,22.61
2024-12-31,22.77
2025-01-02,22.83
2025-01-03,22.67
2025-01-06,22.6
2025-01-07,22.2
2025-01-08,22.18
2025-01-10,21.69
2025-01-13,21.56
2025-01-14,21.8
2025-01-15,21.91
2025-01-16,22.02
2025-01-17,22.29
2025-01-21,22.49
2025-01-22,22.32
2025-01-23,22.53
2025-01-24,22.72
2025-01-27,24.14
2025-01-28,24.4
2025-01-29,24.23
2025-01-30,24.02
2025-01-31,23.73
2025-02-03,24.25
2025-02-04,24.25
2025-02-05,24.47
2025-02-06,24.45
2025-02-07,24.54
2025-02-10,24.86
2025-02-11,25.15
2025-02-12,25.36
2025-02-13,25.63
2025-02-14,25.87
2025-02-18,26.07
2025-02-19,26.24
2025-02-20,26.15
2025-02-21,26.62
2025-02-24,26.74
2025-02-25,26.65
2025-02-26,26.57
2025-02-27,26.9
2025-02-28,27.41
2025-03-03,27.72
2025-03-04,26.22
2025-03-05,26.18
2025-03-06,26.73
2025-03-07,27.12
2025-03-10,27.28
2025-03-11,26.01
2025-03-12,25.72
2025-03-13,26.09
2025-03-14,26.58
2025-03-17,26.83
2025-03-18,26.61
2025-03-19,26.84
2025-03-20,26.79
2025-03-21,27.02
2025-03-24,26.96
2025-03-25,27.31
2025-03-26,27.65
2025-03-27,28.2
2025-03-28,28.18
2025-03-31,28.28
2025-04-01,28.48
2025-04-02,28.14
2025-04-03,28.6
2025-04-04,26.64
2025-04-07,26.83
2025-04-08,26.39
2025-04-09,26.47
2025-04-10,26.39
2025-04-11,26.79
2025-04-14,27.2
2025-04-15,27.5
2025-04-16,27.02
2025-04-17,27.15
2025-04-21,26.33
2025-04-22,26.96
2025-04-23,27.19
2025-04-24,27.53
2025-04-25,26.81
2025-04-28,27.26
2025-04-29,27.3
2025-04-30,27.7
2025-05-01,27.64
2025-05-02,27.61
2025-05-05,27.51
2025-05-06,28.16
2025-05-07,28.1
2025-05-08,27.47
2025-05-09,27.84
2025-05-12,27.01
2025-05-13,26.45
2025-05-14,26.44
2025-05-15,27.33
2025-05-16,27.72
2025-05-19,28.02
2025-05-20,27.78
2025-05-21,27.47
2025-05-22,27.23
2025-05-23,27.42
2025-05-27,27.39
2025-05-28,27.5
2025-05-29,27.38
2025-05-30,27.8
2025-06-02,27.93
2025-06-03,27.96
2025-06-04,27.36
2025-06-05,27.76
2025-06-06,28.08
2025-06-09,27.86
2025-06-10,28.42
2025-06-11,28.34
2025-06-12,28.27
2025-06-13,28.19
2025-06-16,27.97
2025-06-17,27.65
2025-06-18,27.66
2025-06-20,27.77
2025-06-23,28.2
2025-06-24,28.28
2025-06-25,27.92
2025-06-26,28.0
2025-06-27,28.08
2025-06-30,28.94
2025-07-01,28.88
2025-07-02,28.31
2025-07-03,28.36
2025-07-07,28.41
2025-07-08,28.29
2025-07-09,28.1
2025-07-10,27.62
2025-07-11,26.97
2025-07-14,27.16
2025-07-15,27.02
2025-07-16,26.95
2025-07-17,26.99
2025-07-18,26.94
2025-07-21,27.38
2025-07-22,27.42
