date,close
2022-08-22,39.5069
2022-08-23,39.36
2022-08-24,39.1193
2022-08-25,39.61
2022-08-26,39.8589
2022-08-29,39.5759
2022-08-30,39.7316
2022-08-31,39.3439
2022-09-01,38.767
2022-09-02,38.4197
2022-09-06,37.5149
2022-09-07,38.1036
2022-09-08,37.76
2022-09-09,37.83
2022-09-12,37.4834
2022-09-13,37.55
2022-09-14,37.7035
2022-09-15,37.6502
2022-09-16,37.47
2022-09-19,37.5197
2022-09-20,37.2386
2022-09-21,37.71
2022-09-22,37.0
2022-09-23,37.083
2022-09-26,36.55
2022-09-27,35.69
2022-09-28,36.72
2022-09-29,36.66
2022-09-30,36.22
2022-10-03,36.6799
2022-10-04,36.112
2022-10-05,35.74
2022-10-06,35.5623
2022-10-07,35.2451
2022-10-10,34.71
2022-10-11,34.88
2022-10-12,35.04
2022-10-13,34.71
2022-10-14,34.44
2022-10-17,34.24
2022-10-18,34.3091
2022-10-19,33.72
2022-10-20,33.13
2022-10-21,32.68
2022-10-24,32.55
2022-10-25,33.26
2022-10-26,33.6
2022-10-27,33.8051
2022-10-28,33.7
2022-10-31,33.5212
2022-11-01,33.8105
2022-11-02,33.1964
2022-11-03,33.15
2022-11-04,32.7901
2022-11-07,32.52
2022-11-08,32.79
2022-11-09,32.91
2022-11-10,33.82
2022-11-11,33.86
2022-11-14,33.82
2022-11-15,34.03
2022-11-16,34.15
2022-11-17,34.16
2022-11-18,34.05
2022-11-21,34.12
2022-11-22,34.48
2022-11-23,34.76
2022-11-25,34.79
2022-11-28,34.89
2022-11-29,34.66
2022-11-30,34.82
2022-12-01,35.31
2022-12-02,34.97
2022-12-05,34.84
2022-12-06,34.94
2022-12-07,35.03
2022-12-08,35.03
2022-12-09,34.96
2022-12-12,35.01
2022-12-13,35.11
2022-12-14,35.1
2022-12-15,35.16
2022-12-16,34.93
2022-12-19,34.54
2022-12-20,34.03
2022-12-21,34.09
2022-12-22,34.08
2022-12-23,33.18
2022-12-27,32.54
2022-12-28,32.38
2022-12-29,32.76
2022-12-30,32.43
2023-01-03,32.9955
2023-01-04,33.47
2023-01-05,33.563
2023-01-06,34.17
2023-01-09,34.34
2023-01-10,33.814
2023-01-11,34.35
2023-01-12,34.988
2023-01-13,34.786
2023-01-17,34.56
2023-01-18,35.28
2023-01-19,35.2
2023-01-20,34.77
2023-01-23,34.67
2023-01-24,35.06
2023-01-25,35.1
2023-01-26,35.05
