date,close
2019-06-21,36.45
2019-06-24,36.49
2019-06-25,35.79
2019-06-26,35.76
2019-06-27,36.52
2019-06-28,36.62
2019-07-01,36.96
2019-07-02,36.93
2019-07-03,37.27
2019-07-05,36.79
2019-07-08,37.05
2019-07-09,36.25
2019-07-10,36.77
2019-07-11,36.29
2019-07-12,36.8
2019-07-15,36.42
2019-07-16,37.18
2019-07-17,36.46
2019-07-18,36.27
2019-07-19,36.1
2019-07-22,35.46
2019-07-23,34.98
2019-07-24,35.28
2019-07-25,35.74
2019-07-26,35.52
2019-07-29,35.52
2019-07-30,36.26
2019-07-31,35.97
2019-08-01,36.51
2019-08-02,36.02
2019-08-05,35.04
2019-08-06,35.62
2019-08-07,36.13
2019-08-08,36.47
2019-08-09,35.96
2019-08-12,35.47
2019-08-13,35.86
2019-08-14,35.03
2019-08-15,34.77
2019-08-16,35.22
2019-08-19,36.41
2019-08-20,36.91
2019-08-21,35.26
2019-08-22,36.0
2019-08-23,34.94
2019-08-26,35.67
2019-08-27,35.61
2019-08-28,35.71
2019-08-29,36.13
2019-08-30,36.19
2019-09-03,36.21
2019-09-04,36.62
2019-09-05,36.43
2019-09-06,36.7
2019-09-09,36.37
2019-09-10,37.19
2019-09-11,38.39
2019-09-12,38.46
2019-09-13,38.74
2019-09-16,40.76
2019-09-17,40.68
2019-09-18,39.19
2019-09-19,39.13
2019-09-20,39.0
2019-09-23,39.23
2019-09-24,39.71
2019-09-25,40.37
2019-09-26,40.45
2019-09-27,40.1
2019-09-30,41.05
2019-10-01,40.27
2019-10-02,39.68
2019-10-03,39.28
2019-10-04,39.73
2019-10-07,39.54
2019-10-08,39.31
2019-10-09,39.14
2019-10-10,39.28
2019-10-11,39.47
2019-10-14,39.25
2019-10-15,39.58
2019-10-16,40.73
2019-10-17,40.6
2019-10-18,40.59
2019-10-21,40.38
2019-10-22,41.22
2019-10-23,40.89
2019-10-24,41.21
2019-10-25,40.93
2019-10-28,39.86
2019-10-29,39.66
2019-10-30,40.01
2019-10-31,39.77
2019-11-01,40.78
2019-11-04,39.87
2019-11-05,39.49
2019-11-06,39.77
2019-11-07,39.17
2019-11-08,39.72
2019-11-11,40.26
2019-11-12,39.62
2019-11-13,40.07
2019-11-14,40.37
2019-11-15,40.08
2019-11-18,40.52
2019-11-19,39.96
2019-11-20,40.02
2019-11-21,39.47
2019-11-22,39.39
2019-11-25,40.27
2019-11-26,40.71
2019-11-27,40.37
2019-11-29,40.17
2019-12-02,39.73
2019-12-03,39.83
2019-12-04,40.11
2019-12-05,40.91
2019-12-06,40.88
2019-12-09,41.42
2019-12-10,39.4
2019-12-11,40.08
2019-12-12,39.24
2019-12-13,39.73
2019-12-16,39.5
2019-12-17,39.58
2019-12-18,39.51
2019-12-19,39.01
2019-12-20,39.98
2019-12-23,39.57
2019-12-24,39.81
2019-12-26,39.79
2019-12-27,39.88
2019-12-30,39.44
2019-12-31,39.51
2020-01-02,40.08
2020-01-03,40.78
2020-01-06,40.38
2020-01-07,41.05
2020-01-08,41.34
2020-01-09,41.06
2020-01-10,41.33
2020-01-13,42.03
2020-01-14,42.82
2020-01-15,44.07
2020-01-16,44.64
2020-01-17,44.18
2020-01-21,44.9
2020-01-22,45.19
2020-01-23,46.29
2020-01-24,45.6
2020-01-27,45.33
2020-01-28,45.87
2020-01-29,45.26
2020-01-30,45.16
2020-01-31,44.36
2020-02-03,44.57
2020-02-04,44.52
2020-02-05,47.29
2020-02-06,47.27
2020-02-07,47.96
2020-02-10,48.58
2020-02-11,49.25
2020-02-12,48.46
2020-02-13,48.11
2020-02-14,47.58
2020-02-18,47.05
2020-02-19,47.35
2020-02-20,48.14
2020-02-21,47.84
2020-02-24,46.98
2020-02-25,44.29
2020-02-26,37.82
2020-02-27,38.01
2020-02-28,37.03
2020-03-02,38.7
2020-03-03,38.74
2020-03-04,40.54
2020-03-05,37.97
2020-03-06,36.97
2020-03-09,34.11
2020-03-10,34.42
2020-03-11,30.67
2020-03-12,26.99
2020-03-13,26.85
2020-03-16,18.99
2020-03-17,15.59
2020-03-18,15.0
2020-03-19,17.12
2020-03-20,15.82
2020-03-23,13.8
2020-03-24,19.19
2020-03-25,21.7
2020-03-26,22.12
2020-03-27,21.66
2020-03-30,20.31
2020-03-31,19.25
2020-04-01,17.54
2020-04-02,17.35
2020-04-03,17.85
2020-04-06,21.01
2020-04-07,20.72
2020-04-08,22.97
2020-04-09,23.75
2020-04-13,21.92
2020-04-14,23.01
2020-04-15,21.37
2020-04-16,21.48
2020-04-17,21.83
2020-04-20,20.28
2020-04-21,20.26
2020-04-22,20.3
2020-04-23,21.22
2020-04-24,22.08
2020-04-27,23.61
2020-04-28,24.51
2020-04-29,26.24
2020-04-30,24.02
2020-05-01,23.85
2020-05-04,24.59
2020-05-05,24.97
2020-05-06,25.02
2020-05-07,25.85
2020-05-08,27.35
2020-05-11,26.99
2020-05-12,26.31
2020-05-13,24.67
2020-05-14,24.51
2020-05-15,24.86
2020-05-18,27.8
2020-05-19,27.55
2020-05-20,27.49
2020-05-21,28.35
2020-05-22,28.99
2020-05-26,30.13
2020-05-27,33.0
2020-05-28,32.24
2020-05-29,32.31
2020-06-01,32.14
2020-06-02,32.78
2020-06-03,35.8
2020-06-04,34.44
2020-06-05,36.33
2020-06-08,35.06
2020-06-09,34.82
2020-06-10,34.31
2020-06-11,30.5
2020-06-12,31.78
2020-06-15,33.31
2020-06-16,34.16
2020-06-17,33.36
2020-06-18,32.3
2020-06-19,31.87
2020-06-22,32.39
2020-06-23,32.54
2020-06-24,31.4
2020-06-25,30.52
