date,close
2022-06-01,16.99
2022-06-02,16.19
2022-06-03,16.05
2022-06-06,16.351
2022-06-07,17.85
2022-06-08,17.51
2022-06-09,21.33
2022-06-10,23.9177
2022-06-13,28.7
2022-06-14,22.0
2022-06-15,31.02
2022-06-16,38.7
2022-06-17,43.0
2022-06-21,39.51
2022-06-22,44.26
2022-06-23,40.75
2022-06-24,34.85
2022-06-27,29.29
2022-06-28,24.69
2022-06-29,24.56
2022-06-30,24.69
2022-07-01,29.8
2022-07-05,34.87
2022-07-06,35.5
2022-07-07,36.38
2022-07-08,36.65
2022-07-11,31.54
2022-07-12,31.8
2022-07-13,33.62
2022-07-14,31.71
2022-07-15,29.5
2022-07-18,28.82
2022-07-19,28.89
2022-07-20,28.18
2022-07-21,27.66
2022-07-22,21.84
2022-07-25,18.42
2022-07-26,16.81
2022-07-27,14.93
2022-07-28,14.24
2022-07-29,9.99
2022-08-01,9.99
2022-08-02,10.18
2022-08-03,9.46
2022-08-04,9.41
2022-08-05,10.15
2022-08-08,20.57
2022-08-09,15.21
2022-08-10,12.63
2022-08-11,19.25
2022-08-12,13.84
2022-08-15,13.23
2022-08-16,11.66
2022-08-17,10.1
2022-08-18,10.71
2022-08-19,10.24
2022-08-22,10.01
2022-08-23,10.05
2022-08-24,9.72
2022-08-25,9.33
2022-08-26,9.05
2022-08-29,9.45
2022-08-30,9.42
2022-08-31,9.76
2022-09-01,9.5
2022-09-02,9.49
2022-09-06,9.68
2022-09-07,9.82
2022-09-08,9.88
2022-09-09,10.74
2022-09-12,11.24
2022-09-13,10.94
2022-09-14,10.89
2022-09-15,10.77
2022-09-16,10.22
2022-09-19,11.37
2022-09-20,11.8
2022-09-21,12.29
2022-09-22,11.75
2022-09-23,11.85
2022-09-26,12.45
2022-09-27,12.31
2022-09-28,13.2
2022-09-29,13.25
2022-09-30,12.84
2022-10-03,12.41
2022-10-04,15.56
2022-10-05,16.24
2022-10-06,17.9
2022-10-07,20.05
2022-10-10,21.4
2022-10-11,20.02
2022-10-12,19.76
2022-10-13,20.69
2022-10-14,5.49
2022-10-17,5.02
2022-10-18,4.59
2022-10-19,5.17
2022-10-20,5.12
2022-10-21,5.0
2022-10-24,5.0
2022-10-25,5.05
2022-10-26,4.97
2022-10-27,4.83
2022-10-28,4.74
2022-10-31,4.88
2022-11-01,4.96
2022-11-02,4.64
2022-11-03,4.6
2022-11-04,4.48
2022-11-07,4.64
2022-11-08,4.63
2022-11-09,4.4
2022-11-10,4.62
2022-11-11,5.38
2022-11-14,4.85
2022-11-15,4.86
2022-11-16,4.78
2022-11-17,4.66
2022-11-18,4.71
2022-11-21,4.672
2022-11-22,4.75
2022-11-23,5.07
2022-11-25,5.13
2022-11-28,4.93
2022-11-29,4.58
2022-11-30,4.66
2022-12-01,4.73
2022-12-02,4.87
2022-12-05,4.56
2022-12-06,4.5
2022-12-07,4.35
2022-12-08,4.4
2022-12-09,4.52
2022-12-12,4.56
2022-12-13,4.61
2022-12-14,4.65
2022-12-15,4.57
2022-12-16,4.69
2022-12-19,4.58
2022-12-20,4.42
2022-12-21,4.5
2022-12-22,4.4375
2022-12-23,4.75
2022-12-27,4.97
2022-12-28,4.87
2022-12-29,4.79
2022-12-30,4.88
2023-01-03,5.11
2023-01-04,5.33
2023-01-05,5.26
2023-01-06,5.25
2023-01-09,5.26
2023-01-10,4.81
2023-01-11,5.1
2023-01-12,5.07
2023-01-13,5.0
2023-01-17,5.09
2023-01-18,4.95
2023-01-19,4.88
2023-01-20,4.82
2023-01-23,5.08
2023-01-24,4.94
2023-01-25,4.89
2023-01-26,4.94
2023-01-27,4.9
2023-01-30,4.72
2023-01-31,4.72
2023-02-01,4.61
2023-02-02,4.46
2023-02-03,3.92
2023-02-06,4.09
2023-02-07,3.97
2023-02-08,3.67
2023-02-09,3.95
2023-02-10,3.71
2023-02-13,3.6
2023-02-14,3.81
2023-02-15,3.9
2023-02-16,3.74
2023-02-17,3.68
2023-02-21,3.55
2023-02-22,3.625
2023-02-23,4.28
2023-02-24,4.0
2023-02-27,4.45
2023-02-28,4.34
2023-03-01,4.55
2023-03-02,4.66
2023-03-03,4.98
2023-03-06,4.75
2023-03-07,4.68
2023-03-08,4.84
2023-03-09,4.74
2023-03-10,5.02
2023-03-13,4.96
2023-03-14,5.01
2023-03-15,5.0
2023-03-16,4.97
2023-03-17,4.96
2023-03-20,5.53
2023-03-21,5.68
2023-03-22,5.61
2023-03-23,5.3601
2023-03-24,5.65
2023-03-27,5.5
2023-03-28,5.48
2023-03-29,5.435
2023-03-30,5.5
2023-03-31,5.6
2023-04-03,6.08
2023-04-04,6.61
2023-04-05,5.4301
2023-04-06,5.16
2023-04-10,5.12
2023-04-11,4.94
2023-04-12,4.53
2023-04-13,5.01
2023-04-14,5.15
2023-04-17,5.69
2023-04-18,5.97
2023-04-19,6.24
2023-04-20,6.42
2023-04-21,6.26
2023-04-24,7.04
2023-04-25,6.71
2023-04-26,6.72
2023-04-27,20.0
2023-04-28,108.21
2023-05-01,51.52
2023-05-02,53.01
2023-05-03,84.8
2023-05-04,17.48
2023-05-05,10.99
2023-05-08,11.22
2023-05-09,9.92
2023-05-10,9.52
