date,close
2022-08-09,24.13
2022-08-10,25.45
2022-08-11,24.52
2022-08-12,26.13
2022-08-15,27.35
2022-08-16,27.02
2022-08-17,26.68
2022-08-18,26.5
2022-08-19,25.7
2022-08-22,24.8
2022-08-23,25.65
2022-08-24,25.7
2022-08-25,25.58
2022-08-26,24.54
2022-08-29,24.13
2022-08-30,23.22
2022-08-31,22.92
2022-09-01,23.15
2022-09-02,22.27
2022-09-06,22.77
2022-09-07,23.92
2022-09-08,24.62
2022-09-09,25.93
2022-09-12,26.54
2022-09-13,24.93
2022-09-14,26.25
2022-09-15,26.4
2022-09-16,26.32
2022-09-19,27.07
2022-09-20,27.0
2022-09-21,25.97
2022-09-22,24.38
2022-09-23,22.7
2022-09-26,22.78
2022-09-27,23.64
2022-09-28,24.22
2022-09-29,21.78
2022-09-30,21.39
2022-10-03,18.62
2022-10-04,19.47
2022-10-05,18.38
2022-10-06,18.11
2022-10-07,16.38
2022-10-10,16.34
2022-10-11,15.63
2022-10-12,15.72
2022-10-13,16.2
2022-10-14,14.36
2022-10-17,15.87
2022-10-18,15.96
2022-10-19,16.19
2022-10-20,14.54
2022-10-21,15.28
2022-10-24,14.94
2022-10-25,16.1
2022-10-26,16.35
2022-10-27,16.4
2022-10-28,16.76
2022-10-31,16.65
2022-11-01,16.68
2022-11-02,15.26
2022-11-03,15.29
2022-11-04,14.46
2022-11-07,13.37
2022-11-08,12.78
2022-11-09,11.4
2022-11-10,12.66
2022-11-11,13.15
2022-11-14,12.67
2022-11-15,13.01
2022-11-16,12.26
2022-11-17,11.88
2022-11-18,11.58
2022-11-21,10.4
2022-11-22,10.57
2022-11-23,11.82
2022-11-25,11.78
2022-11-28,11.78
2022-11-29,11.58
2022-11-30,12.88
2022-12-01,12.91
2022-12-02,12.91
2022-12-05,11.68
2022-12-06,11.43
2022-12-07,10.87
2022-12-08,10.78
2022-12-09,11.29
2022-12-12,10.22
2022-12-13,9.6
2022-12-14,9.22
2022-12-15,9.31
2022-12-16,8.63
2022-12-19,8.59
2022-12-20,7.51
2022-12-21,7.49
2022-12-22,6.49
2022-12-23,6.31
2022-12-27,5.23
2022-12-28,5.48
2022-12-29,6.15
2022-12-30,6.25
2023-01-03,5.09
2023-01-04,5.48
2023-01-05,5.25
2023-01-06,5.44
2023-01-09,5.92
2023-01-10,5.86
2023-01-11,6.17
2023-01-12,6.19
2023-01-13,6.1
2023-01-17,6.78
2023-01-18,6.58
2023-01-19,6.44
2023-01-20,6.92
2023-01-23,7.72
2023-01-24,7.74
2023-01-25,7.78
2023-01-26,9.05
2023-01-27,10.55
2023-01-30,9.55
2023-01-31,10.1
2023-02-01,10.82
2023-02-02,11.43
2023-02-03,11.58
2023-02-06,12.03
2023-02-07,12.21
2023-02-08,12.63
2023-02-09,13.19
2023-02-10,12.16
2023-02-13,11.96
2023-02-14,13.32
2023-02-15,13.78
2023-02-16,12.62
2023-02-17,13.2
2023-02-21,12.15
2023-02-22,12.46
2023-02-23,12.56
2023-02-24,12.08
2023-02-27,13.07
2023-02-28,12.9
2023-03-01,12.6
2023-03-02,11.5
2023-03-03,12.13
2023-03-06,11.74
2023-03-07,11.19
2023-03-08,10.69
2023-03-09,9.89
2023-03-10,9.92
