date,close
2023-06-21,38.36
2023-06-22,37.85
2023-06-23,37.47
2023-06-26,36.73
2023-06-27,42.38
2023-06-28,44.12
2023-06-29,43.68
2023-06-30,43.42
2023-07-03,43.46
2023-07-05,41.58
2023-07-06,40.55
2023-07-07,40.46
2023-07-10,39.96
2023-07-11,43.82
2023-07-12,43.69
2023-07-13,46.84
2023-07-14,44.34
2023-07-17,46.08
2023-07-18,47.13
2023-07-19,48.5
2023-07-20,44.44
2023-07-21,44.49
2023-07-24,43.55
2023-07-25,43.2
2023-07-26,43.33
2023-07-27,43.21
2023-07-28,45.39
2023-07-31,45.84
2023-08-01,45.3
2023-08-02,41.45
2023-08-03,41.12
2023-08-04,40.17
2023-08-07,39.95
2023-08-08,38.89
2023-08-09,37.56
2023-08-10,37.09
2023-08-11,36.63
2023-08-14,36.54
2023-08-15,35.32
2023-08-16,34.7
2023-08-17,33.84
2023-08-18,34.41
2023-08-21,34.51
2023-08-22,34.05
2023-08-23,34.63
2023-08-24,33.85
2023-08-25,34.72
2023-08-28,34.69
2023-08-29,36.97
2023-08-30,37.47
2023-08-31,37.07
2023-09-01,37.09
2023-09-05,38.58
2023-09-06,39.29
2023-09-07,38.01
2023-09-08,37.68
2023-09-11,38.02
2023-09-12,38.97
2023-09-13,36.82
2023-09-14,35.71
2023-09-15,36.32
2023-09-18,33.45
2023-09-19,33.96
2023-09-20,33.32
2023-09-21,31.73
2023-09-22,31.61
2023-09-25,31.36
2023-09-26,30.45
2023-09-27,30.56
2023-09-28,30.71
2023-09-29,31.39
2023-10-02,30.54
2023-10-03,29.32
2023-10-04,29.44
2023-10-05,28.74
2023-10-06,30.15
2023-10-09,29.7
2023-10-10,30.02
2023-10-11,30.27
2023-10-12,29.05
2023-10-13,28.03
2023-10-16,28.38
2023-10-17,28.97
2023-10-18,27.5
2023-10-19,27.49
2023-10-20,27.17
2023-10-23,26.36
2023-10-24,27.45
2023-10-25,25.69
2023-10-26,25.9
2023-10-27,25.54
2023-10-30,25.08
