date,close
2019-06-21,44.0
2019-06-24,43.09
2019-06-25,43.09
2019-06-26,42.5
2019-06-27,45.13
2019-06-28,46.38
2019-07-01,44.27
2019-07-02,44.0
2019-07-03,44.23
2019-07-05,43.53
2019-07-08,42.95
2019-07-09,44.2
2019-07-10,43.7
2019-07-11,43.99
2019-07-12,43.99
2019-07-15,44.53
2019-07-16,44.13
2019-07-17,43.62
2019-07-18,43.71
2019-07-19,43.18
2019-07-22,43.69
2019-07-23,43.36
2019-07-24,43.76
2019-07-25,43.4
2019-07-26,44.52
2019-07-29,43.88
2019-07-30,42.59
2019-07-31,42.14
2019-08-01,41.31
2019-08-02,40.4
2019-08-05,39.05
2019-08-06,39.15
2019-08-07,39.7
2019-08-08,42.97
2019-08-09,40.05
2019-08-12,37.0
2019-08-13,36.45
2019-08-14,33.96
2019-08-15,33.22
2019-08-16,35.23
2019-08-19,34.61
2019-08-20,35.29
2019-08-21,34.91
2019-08-22,34.0
2019-08-23,33.43
2019-08-26,33.31
2019-08-27,33.11
2019-08-28,32.59
2019-08-29,32.76
2019-08-30,32.57
2019-09-03,30.7
2019-09-04,31.99
2019-09-05,32.51
2019-09-06,31.86
2019-09-09,32.24
2019-09-10,33.51
2019-09-11,34.0
2019-09-12,34.07
2019-09-13,33.25
2019-09-16,34.43
2019-09-17,34.29
2019-09-18,34.26
2019-09-19,33.82
2019-09-20,32.6
2019-09-23,33.0
2019-09-24,31.3
2019-09-25,31.68
2019-09-26,31.57
2019-09-27,30.29
2019-09-30,30.47
2019-10-01,29.15
2019-10-02,29.0
2019-10-03,29.72
2019-10-04,29.67
2019-10-07,30.37
2019-10-08,29.28
2019-10-09,29.07
2019-10-10,28.87
2019-10-11,30.13
2019-10-14,31.12
2019-10-15,32.0
2019-10-16,31.87
2019-10-17,32.62
2019-10-18,32.06
2019-10-21,31.41
2019-10-22,32.53
2019-10-23,33.05
2019-10-24,33.28
2019-10-25,32.71
2019-10-28,33.22
2019-10-29,32.42
2019-10-30,33.75
2019-10-31,31.5
2019-11-01,31.37
2019-11-04,31.08
2019-11-05,28.02
2019-11-06,26.94
2019-11-07,27.38
2019-11-08,27.01
2019-11-11,27.14
2019-11-12,26.7
2019-11-13,26.71
2019-11-14,25.99
2019-11-15,26.79
2019-11-18,26.75
2019-11-19,27.05
2019-11-20,28.03
2019-11-21,29.46
2019-11-22,29.56
2019-11-25,29.11
2019-11-26,29.53
2019-11-27,29.49
2019-11-29,29.6
2019-12-02,28.98
2019-12-03,29.02
2019-12-04,29.06
2019-12-05,28.65
2019-12-06,27.86
2019-12-09,27.68
2019-12-10,27.89
2019-12-11,28.42
2019-12-12,28.69
2019-12-13,28.49
2019-12-16,30.05
2019-12-17,29.75
2019-12-18,30.13
2019-12-19,29.99
2019-12-20,30.45
2019-12-23,30.33
2019-12-24,30.44
2019-12-26,30.67
2019-12-27,30.17
2019-12-30,29.74
2019-12-31,29.74
2020-01-02,30.99
2020-01-03,31.37
2020-01-06,31.58
2020-01-07,32.81
2020-01-08,33.93
2020-01-09,33.97
2020-01-10,34.01
2020-01-13,34.14
2020-01-14,34.84
2020-01-15,35.01
2020-01-16,34.68
2020-01-17,35.13
2020-01-21,37.6
2020-01-22,37.04
2020-01-23,37.4
2020-01-24,36.8
2020-01-27,36.3
2020-01-28,37.01
2020-01-29,36.99
2020-01-30,36.68
2020-01-31,36.29
2020-02-03,37.59
2020-02-04,38.53
2020-02-05,36.81
2020-02-06,37.09
2020-02-07,40.63
2020-02-10,40.01
2020-02-11,41.27
2020-02-12,41.25
2020-02-13,40.09
2020-02-14,39.66
2020-02-18,40.18
2020-02-19,41.05
2020-02-20,40.92
2020-02-21,40.72
2020-02-24,38.31
2020-02-25,35.89
2020-02-26,34.45
2020-02-27,32.45
2020-02-28,33.87
2020-03-02,32.85
2020-03-03,33.04
2020-03-04,34.53
2020-03-05,32.21
2020-03-06,31.68
2020-03-09,28.17
2020-03-10,28.97
2020-03-11,26.24
2020-03-12,22.61
2020-03-13,22.6
2020-03-16,20.29
2020-03-17,18.91
2020-03-18,14.82
2020-03-19,20.49
2020-03-20,21.33
2020-03-23,22.4
2020-03-24,26.39
2020-03-25,26.19
2020-03-26,28.12
2020-03-27,27.28
2020-03-30,27.83
2020-03-31,27.92
2020-04-01,25.42
2020-04-02,23.68
2020-04-03,22.82
2020-04-06,25.99
2020-04-07,25.74
2020-04-08,26.94
2020-04-09,27.11
2020-04-13,27.99
2020-04-14,27.75
2020-04-15,27.41
2020-04-16,27.03
2020-04-17,28.0
2020-04-20,28.19
2020-04-21,27.19
2020-04-22,28.24
2020-04-23,28.33
2020-04-24,29.49
2020-04-27,30.08
2020-04-28,30.12
2020-04-29,31.37
2020-04-30,30.27
2020-05-01,28.39
2020-05-04,27.42
2020-05-05,28.07
2020-05-06,27.82
2020-05-07,30.93
2020-05-08,32.79
2020-05-11,31.64
2020-05-12,32.4
2020-05-13,33.02
2020-05-14,32.79
2020-05-15,32.47
2020-05-18,33.62
2020-05-19,33.4
2020-05-20,34.48
2020-05-21,34.26
2020-05-22,34.83
2020-05-26,34.56
2020-05-27,34.88
2020-05-28,34.15
2020-05-29,36.32
2020-06-01,35.82
2020-06-02,35.81
2020-06-03,36.75
2020-06-04,36.43
2020-06-05,37.21
2020-06-08,37.08
2020-06-09,36.59
2020-06-10,34.83
2020-06-11,31.1
2020-06-12,32.24
2020-06-15,32.67
2020-06-16,33.49
2020-06-17,33.29
2020-06-18,33.4
2020-06-19,32.3
2020-06-22,32.68
2020-06-23,33.05
2020-06-24,30.46
2020-06-25,30.58
2020-06-26,29.61
2020-06-29,29.63
2020-06-30,31.08
2020-07-01,30.43
2020-07-02,30.68
2020-07-06,32.52
2020-07-07,32.82
2020-07-08,33.93
2020-07-09,33.15
2020-07-10,33.14
2020-07-13,31.72
2020-07-14,30.93
2020-07-15,32.81
2020-07-16,32.35
2020-07-17,32.55
2020-07-20,33.66
2020-07-21,32.55
2020-07-22,32.66
2020-07-23,32.17
2020-07-24,31.18
2020-07-27,30.99
2020-07-28,30.81
2020-07-29,31.02
2020-07-30,30.24
2020-07-31,30.26
2020-08-03,31.19
2020-08-04,32.68
2020-08-05,33.2
2020-08-06,34.71
2020-08-07,32.9
2020-08-10,32.27
2020-08-11,31.21
2020-08-12,30.84
2020-08-13,30.46
2020-08-14,29.99
2020-08-17,29.48
2020-08-18,30.08
2020-08-19,29.42
2020-08-20,31.41
2020-08-21,30.83
2020-08-24,31.04
2020-08-25,31.19
2020-08-26,32.3
2020-08-27,32.8
2020-08-28,33.8
2020-08-31,33.63
2020-09-01,34.3
2020-09-02,34.37
2020-09-03,33.41
2020-09-04,33.24
2020-09-08,34.32
2020-09-09,35.01
2020-09-10,35.98
2020-09-11,36.98
2020-09-14,37.95
2020-09-15,37.47
2020-09-16,37.66
2020-09-17,37.06
2020-09-18,37.12
2020-09-21,36.49
2020-09-22,34.4
2020-09-23,33.55
2020-09-24,33.35
2020-09-25,34.46
2020-09-28,35.56
2020-09-29,35.43
2020-09-30,36.48
2020-10-01,37.14
2020-10-02,37.72
2020-10-05,37.14
2020-10-06,36.26
2020-10-07,36.78
2020-10-08,37.34
2020-10-09,37.27
2020-10-12,36.26
2020-10-13,35.56
2020-10-14,35.11
2020-10-15,34.26
2020-10-16,33.72
2020-10-19,34.22
2020-10-20,36.31
2020-10-21,35.2
2020-10-22,36.7
2020-10-23,36.75
2020-10-26,35.49
2020-10-27,34.16
2020-10-28,33.65
2020-10-29,34.06
2020-10-30,33.41
2020-11-02,34.81
2020-11-03,35.77
2020-11-04,40.99
2020-11-05,41.96
2020-11-06,44.87
2020-11-09,48.18
2020-11-10,47.0
2020-11-11,46.23
2020-11-12,46.4
2020-11-13,47.61
2020-11-16,49.21
2020-11-17,48.89
2020-11-18,49.11
2020-11-19,49.26
2020-11-20,48.43
2020-11-23,50.04
2020-11-24,51.26
2020-11-25,50.8
2020-11-27,50.72
2020-11-30,49.66
2020-12-01,49.63
2020-12-02,53.09
2020-12-03,52.52
2020-12-04,54.86
2020-12-07,53.8
2020-12-08,53.01
2020-12-09,53.79
2020-12-10,54.35
2020-12-11,52.63
2020-12-14,51.46
2020-12-15,51.0
2020-12-16,50.49
2020-12-17,50.63
2020-12-18,50.62
2020-12-21,51.8
2020-12-22,53.78
2020-12-23,53.71
2020-12-24,52.88
2020-12-28,51.97
2020-12-29,52.27
2020-12-30,53.15
2020-12-31,51.0
2021-01-04,51.14
2021-01-05,54.01
2021-01-06,52.48
2021-01-07,56.13
2021-01-08,53.28
2021-01-11,54.59
2021-01-12,58.54
2021-01-13,59.4
2021-01-14,56.91
2021-01-15,55.52
2021-01-19,56.3
2021-01-20,56.38
2021-01-21,55.79
2021-01-22,54.31
2021-01-25,54.29
2021-01-26,51.92
2021-01-27,48.11
2021-01-28,51.58
2021-01-29,50.93
2021-02-01,52.76
2021-02-02,56.46
2021-02-03,57.12
2021-02-04,57.85
2021-02-05,58.58
2021-02-08,59.29
2021-02-09,59.61
2021-02-10,63.18
2021-02-11,60.71
2021-02-12,60.63
2021-02-16,60.52
2021-02-17,60.81
2021-02-18,59.0
2021-02-19,58.39
2021-02-22,55.31
2021-02-23,56.0
2021-02-24,53.91
2021-02-25,51.45
2021-02-26,51.75
2021-03-01,54.4
2021-03-02,54.65
2021-03-03,56.11
2021-03-04,53.07
2021-03-05,55.54
2021-03-08,53.2
2021-03-09,55.25
2021-03-10,57.68
2021-03-11,58.95
2021-03-12,60.35
2021-03-15,60.19
2021-03-16,58.85
2021-03-17,56.36
2021-03-18,55.69
2021-03-19,57.08
2021-03-22,55.69
2021-03-23,53.49
2021-03-24,52.57
2021-03-25,53.89
2021-03-26,54.71
2021-03-29,53.35
2021-03-30,53.46
2021-03-31,54.51
2021-04-01,57.6
2021-04-05,57.4
2021-04-06,58.05
2021-04-07,56.89
2021-04-08,57.83
2021-04-09,57.68
2021-04-12,59.44
2021-04-13,60.64
2021-04-14,59.23
2021-04-15,60.74
2021-04-16,60.35
2021-04-19,57.85
2021-04-20,55.48
2021-04-21,55.77
2021-04-22,56.28
2021-04-23,57.93
2021-04-26,57.61
2021-04-27,57.16
2021-04-28,58.44
2021-04-29,54.93
2021-04-30,54.77
2021-05-03,54.85
2021-05-04,52.99
2021-05-05,51.18
2021-05-06,46.65
