date,close
2023-06-21,22.31
2023-06-22,21.86
2023-06-23,21.31
2023-06-26,21.33
2023-06-27,21.21
2023-06-28,21.36
2023-06-29,21.49
2023-06-30,21.7
2023-07-03,21.6
2023-07-05,21.38
2023-07-06,20.39
2023-07-07,20.86
2023-07-10,21.14
2023-07-11,21.58
2023-07-12,21.78
2023-07-13,22.4
2023-07-14,21.71
2023-07-17,21.88
2023-07-18,22.22
2023-07-19,22.2
2023-07-20,21.99
2023-07-21,21.69
2023-07-24,21.84
2023-07-25,22.35
2023-07-26,22.09
2023-07-27,21.55
2023-07-28,21.98
2023-07-31,22.7
2023-08-01,22.54
2023-08-02,22.02
2023-08-03,22.04
2023-08-04,22.3
2023-08-07,22.47
2023-08-08,22.43
2023-08-09,22.47
2023-08-10,22.47
2023-08-11,22.87
2023-08-14,22.65
2023-08-15,22.05
2023-08-16,21.99
2023-08-17,21.93
2023-08-18,22.38
2023-08-21,23.13
2023-08-22,23.25
2023-08-23,23.5
2023-08-24,23.1
2023-08-25,23.52
2023-08-28,23.78
2023-08-29,23.77
2023-08-30,24.05
2023-08-31,24.01
2023-09-01,24.31
2023-09-05,24.86
2023-09-06,24.49
2023-09-07,24.4
2023-09-08,24.5
2023-09-11,24.91
2023-09-12,24.9
2023-09-13,25.66
2023-09-14,26.45
2023-09-15,26.7
2023-09-18,26.78
2023-09-19,26.35
2023-09-20,26.36
2023-09-21,25.87
2023-09-22,26.79
2023-09-25,28.01
2023-09-26,27.2
2023-09-27,27.15
2023-09-28,28.04
2023-09-29,27.04
2023-10-02,26.07
2023-10-03,25.39
2023-10-04,25.18
2023-10-05,25.8
2023-10-06,26.16
2023-10-09,25.73
2023-10-10,26.2
2023-10-11,25.68
2023-10-12,25.21
2023-10-13,25.3
2023-10-16,24.87
2023-10-17,25.38
2023-10-18,25.41
2023-10-19,25.85
2023-10-20,25.69
2023-10-23,25.66
2023-10-24,26.27
2023-10-25,26.45
2023-10-26,25.82
2023-10-27,25.28
2023-10-30,25.76
2023-10-31,26.84
2023-11-01,27.08
2023-11-02,27.41
2023-11-03,27.0
2023-11-06,26.26
2023-11-07,26.67
2023-11-08,26.06
2023-11-09,26.69
2023-11-10,26.86
2023-11-13,27.67
2023-11-14,28.08
2023-11-15,27.65
2023-11-16,28.05
2023-11-17,28.65
2023-11-20,29.12
2023-11-21,28.71
2023-11-22,28.81
2023-11-24,29.07
2023-11-27,29.03
2023-11-28,28.83
2023-11-29,27.86
2023-11-30,28.96
2023-12-01,28.94
2023-12-04,29.39
2023-12-05,28.76
2023-12-06,28.48
2023-12-07,28.49
2023-12-08,28.78
2023-12-11,28.73
2023-12-12,29.09
2023-12-13,28.78
2023-12-14,29.76
2023-12-15,29.01
2023-12-18,29.65
2023-12-19,28.6
2023-12-20,28.25
2023-12-21,29.28
2023-12-22,29.52
2023-12-26,29.92
2023-12-27,29.46
2023-12-28,27.46
2023-12-29,27.69
2024-01-02,27.13
2024-01-03,26.83
2024-01-04,27.2
2024-01-05,26.96
2024-01-08,27.36
2024-01-09,28.47
2024-01-10,28.79
2024-01-11,29.39
2024-01-12,31.48
2024-01-16,31.23
2024-01-17,30.61
2024-01-18,30.78
2024-01-19,30.43
2024-01-22,29.52
2024-01-23,30.33
2024-01-24,30.01
2024-01-25,29.47
2024-01-26,29.59
2024-01-29,30.03
2024-01-30,30.55
