date,close
2023-06-21,65.04
2023-06-22,62.52
2023-06-23,62.42
2023-06-26,62.73
2023-06-27,61.3
2023-06-28,62.52
2023-06-29,62.96
2023-06-30,63.55
2023-07-03,63.39
2023-07-05,64.63
2023-07-06,64.44
2023-07-07,65.85
2023-07-10,65.54
2023-07-11,67.03
2023-07-12,67.87
2023-07-13,69.09
2023-07-14,67.47
2023-07-17,66.58
2023-07-18,67.96
2023-07-19,67.69
2023-07-20,68.05
2023-07-21,68.99
2023-07-24,70.69
2023-07-25,71.16
2023-07-26,70.66
2023-07-27,71.43
2023-07-28,72.09
2023-07-31,73.17
2023-08-01,72.96
2023-08-02,71.48
2023-08-03,73.14
2023-08-04,73.79
2023-08-07,73.82
2023-08-08,74.06
2023-08-09,75.1
2023-08-10,74.2
2023-08-11,74.25
2023-08-14,73.81
2023-08-15,72.62
2023-08-16,71.37
2023-08-17,71.98
2023-08-18,72.79
2023-08-21,72.58
2023-08-22,72.28
2023-08-23,71.36
2023-08-24,71.41
2023-08-25,72.45
2023-08-28,72.41
2023-08-29,73.32
2023-08-30,73.66
2023-08-31,75.06
2023-09-01,76.92
2023-09-05,77.76
2023-09-06,78.52
2023-09-07,77.95
2023-09-08,78.3
2023-09-11,78.37
2023-09-12,79.7
2023-09-13,79.68
2023-09-14,81.12
2023-09-15,81.29
2023-09-18,81.45
2023-09-19,81.5
2023-09-20,80.14
2023-09-21,80.41
2023-09-22,80.63
2023-09-25,80.39
2023-09-26,80.88
2023-09-27,82.9
2023-09-28,81.57
2023-09-29,80.86
2023-10-02,79.39
2023-10-03,79.93
2023-10-04,75.59
2023-10-05,73.99
2023-10-06,74.16
2023-10-09,77.13
2023-10-10,76.71
2023-10-11,75.67
2023-10-12,75.42
2023-10-13,78.99
2023-10-16,78.39
2023-10-17,78.8
2023-10-18,79.84
2023-10-19,81.68
2023-10-20,80.7
2023-10-23,78.89
2023-10-24,76.93
2023-10-25,78.46
2023-10-26,76.89
2023-10-27,78.36
2023-10-30,76.05
2023-10-31,75.02
2023-11-01,74.75
2023-11-02,76.18
2023-11-03,74.85
2023-11-06,74.91
2023-11-07,71.8
2023-11-08,70.19
2023-11-09,70.25
2023-11-10,71.79
2023-11-13,72.92
2023-11-14,72.69
2023-11-15,71.34
2023-11-16,68.05
2023-11-17,70.75
2023-11-20,72.3
2023-11-21,72.53
2023-11-22,71.61
2023-11-24,70.82
2023-11-27,69.96
2023-11-28,71.26
2023-11-29,72.52
2023-11-30,70.14
2023-12-01,69.24
2023-12-04,68.47
2023-12-05,67.58
2023-12-06,64.76
2023-12-07,65.11
2023-12-08,66.53
2023-12-11,66.8
2023-12-12,64.25
2023-12-13,65.33
2023-12-14,67.16
2023-12-15,67.15
2023-12-18,68.09
2023-12-19,69.36
2023-12-20,68.79
2023-12-21,69.03
2023-12-22,68.69
2023-12-26,70.21
2023-12-27,68.92
2023-12-28,67.18
2023-12-29,66.65
2024-01-02,65.77
2024-01-03,68.19
2024-01-04,67.57
2024-01-05,69.03
2024-01-08,66.4
2024-01-09,67.39
2024-01-10,66.56
2024-01-11,67.65
2024-01-12,68.02
2024-01-16,67.25
2024-01-17,67.94
2024-01-18,69.06
2024-01-19,68.82
2024-01-22,69.69
2024-01-23,69.66
2024-01-24,70.54
2024-01-25,72.23
2024-01-26,73.1
2024-01-29,72.05
2024-01-30,72.81
2024-01-31,70.92
2024-02-01,69.07
2024-02-02,67.51
2024-02-05,68.18
2024-02-06,68.81
2024-02-07,69.42
2024-02-08,71.52
2024-02-09,71.67
2024-02-12,72.11
2024-02-13,72.65
2024-02-14,71.55
2024-02-15,72.84
2024-02-16,73.41
2024-02-20,72.42
2024-02-21,73.2
2024-02-22,73.6
2024-02-23,71.92
2024-02-26,72.79
2024-02-27,73.85
2024-02-28,73.62
2024-02-29,73.36
2024-03-01,74.96
2024-03-04,74.01
2024-03-05,73.45
2024-03-06,74.34
2024-03-07,74.23
2024-03-08,73.36
2024-03-11,73.62
2024-03-12,73.35
2024-03-13,75.09
2024-03-14,76.3
2024-03-15,76.33
2024-03-18,77.98
2024-03-19,78.43
2024-03-20,77.25
2024-03-21,76.82
2024-03-22,76.68
2024-03-25,77.76
2024-03-26,77.29
2024-03-27,77.51
2024-03-28,78.73
2024-04-01,79.67
2024-04-02,80.79
2024-04-03,81.25
2024-04-04,82.27
2024-04-05,82.4
2024-04-08,82.2
2024-04-09,81.15
2024-04-10,82.09
2024-04-11,81.55
2024-04-12,81.53
2024-04-15,81.65
2024-04-16,81.33
2024-04-17,78.91
2024-04-18,78.78
2024-04-19,78.85
2024-04-22,78.78
2024-04-23,79.98
2024-04-24,79.64
2024-04-25,80.44
2024-04-26,80.39
2024-04-29,79.5
2024-04-30,78.38
2024-05-01,75.93
2024-05-02,75.93
2024-05-03,75.13
2024-05-06,75.66
2024-05-07,75.5
2024-05-08,76.11
2024-05-09,76.52
2024-05-10,75.3
2024-05-13,76.13
2024-05-14,75.21
2024-05-15,75.88
2024-05-16,76.25
2024-05-17,76.97
2024-05-20,76.73
2024-05-21,76.16
2024-05-22,74.87
2024-05-23,74.45
2024-05-24,75.35
2024-05-28,77.66
2024-05-29,76.57
2024-05-30,75.53
2024-05-31,74.82
2024-06-03,71.83
2024-06-04,71.09
2024-06-05,71.89
2024-06-06,73.26
2024-06-07,73.02
2024-06-10,75.46
2024-06-11,75.51
2024-06-12,75.98
2024-06-13,75.74
2024-06-14,76.08
2024-06-17,77.79
2024-06-18,78.67
2024-06-20,79.41
2024-06-21,78.65
2024-06-24,79.7
2024-06-25,78.9
2024-06-26,78.75
2024-06-27,79.92
2024-06-28,79.59
2024-07-01,81.54
2024-07-02,81.11
2024-07-03,81.27
2024-07-05,81.31
2024-07-08,80.42
2024-07-09,79.77
2024-07-10,80.48
2024-07-11,80.94
2024-07-12,80.25
2024-07-15,80.12
2024-07-16,79.06
2024-07-17,80.62
2024-07-18,79.9
2024-07-19,78.0
2024-07-22,77.62
2024-07-23,76.62
2024-07-24,76.81
2024-07-25,77.46
2024-07-26,76.11
2024-07-29,75.19
2024-07-30,74.46
2024-07-31,77.74
2024-08-01,76.29
2024-08-02,73.39
2024-08-05,73.22
2024-08-06,72.45
2024-08-07,74.69
2024-08-08,75.36
2024-08-09,76.22
2024-08-12,78.63
2024-08-13,77.64
2024-08-14,76.59
2024-08-15,77.41
2024-08-16,76.32
2024-08-19,74.38
2024-08-20,73.83
2024-08-21,72.6
2024-08-22,73.58
2024-08-23,75.55
2024-08-26,77.83
2024-08-27,76.49
2024-08-28,75.48
2024-08-29,76.77
2024-08-30,74.34
2024-09-03,71.09
2024-09-04,69.61
2024-09-05,69.89
2024-09-06,68.93
2024-09-09,69.27
2024-09-10,66.96
2024-09-11,67.85
2024-09-12,69.89
2024-09-13,69.84
2024-09-16,70.88
2024-09-17,71.72
2024-09-18,70.66
2024-09-19,72.75
2024-09-20,72.92
2024-09-23,72.25
2024-09-24,73.29
2024-09-25,71.48
2024-09-26,69.01
2024-09-27,70.27
2024-09-30,69.92
2024-10-01,72.11
2024-10-02,72.76
2024-10-03,75.73
2024-10-04,76.35
2024-10-07,79.2
2024-10-08,75.79
2024-10-09,75.25
2024-10-10,77.77
2024-10-11,77.49
2024-10-14,75.93
2024-10-15,72.76
2024-10-16,72.4
2024-10-17,72.62
2024-10-18,71.38
2024-10-21,72.26
2024-10-22,73.98
2024-10-23,73.55
2024-10-24,73.06
2024-10-25,74.23
2024-10-28,70.43
2024-10-29,69.66
2024-10-30,71.36
2024-10-31,73.08
2024-11-01,72.02
2024-11-04,74.29
2024-11-05,74.73
2024-11-06,74.54
2024-11-07,74.66
2024-11-08,73.13
2024-11-11,70.94
2024-11-12,70.69
2024-11-13,70.73
2024-11-14,71.29
2024-11-15,69.75
2024-11-18,72.07
2024-11-19,72.31
2024-11-20,72.02
2024-11-21,73.2
2024-11-22,74.25
2024-11-25,72.1
2024-11-26,71.61
2024-11-27,71.72
2024-11-29,71.61
2024-12-02,71.04
2024-12-03,73.04
2024-12-04,71.88
2024-12-05,71.47
2024-12-06,70.24
2024-12-09,71.17
2024-12-10,71.4
2024-12-11,73.33
2024-12-12,73.21
2024-12-13,74.21
2024-12-16,73.7
2024-12-17,73.3
2024-12-18,72.94
2024-12-19,72.61
2024-12-20,73.1
2024-12-23,73.06
2024-12-24,73.65
2024-12-26,73.13
2024-12-27,73.85
2024-12-30,74.82
2024-12-31,75.55
2025-01-02,76.93
2025-01-03,77.92
2025-01-06,77.3
2025-01-07,78.17
2025-01-08,77.3
2025-01-10,80.64
2025-01-13,82.23
2025-01-14,81.67
2025-01-15,84.34
2025-01-16,82.94
2025-01-17,82.52
2025-01-21,81.11
2025-01-22,80.43
2025-01-23,79.21
2025-01-24,79.6
2025-01-27,77.93
2025-01-28,78.86
2025-01-29,77.78
2025-01-30,77.75
2025-01-31,78.02
2025-02-03,77.82
2025-02-04,77.51
2025-02-05,76.09
2025-02-06,75.45
2025-02-07,75.86
2025-02-10,77.4
2025-02-11,78.27
2025-02-12,76.32
2025-02-13,76.39
2025-02-14,75.82
2025-02-18,76.96
2025-02-19,77.45
2025-02-20,77.76
2025-02-21,75.35
2025-02-24,75.97
2025-02-25,74.13
2025-02-26,73.85
2025-02-27,75.28
2025-02-28,75.22
2025-03-03,73.32
2025-03-04,73.31
2025-03-05,71.42
2025-03-06,71.13
2025-03-07,72.09
2025-03-10,70.89
2025-03-11,71.45
2025-03-12,72.8
2025-03-13,71.62
2025-03-14,72.28
2025-03-17,72.71
2025-03-18,72.21
2025-03-19,72.42
2025-03-20,73.73
2025-03-21,73.79
2025-03-24,74.88
2025-03-25,74.82
2025-03-26,75.42
2025-03-27,75.48
2025-03-28,74.77
2025-03-31,77.33
2025-04-01,77.08
2025-04-02,77.74
2025-04-03,72.25
2025-04-04,67.92
2025-04-07,65.98
2025-04-08,63.34
2025-04-09,67.58
2025-04-10,65.32
2025-04-11,66.46
2025-04-14,66.66
2025-04-15,66.48
2025-04-16,67.75
2025-04-17,69.48
2025-04-21,68.62
2025-04-22,69.37
2025-04-23,68.05
2025-04-24,68.46
2025-04-25,69.03
2025-04-28,67.76
2025-04-29,65.85
2025-04-30,63.56
2025-05-01,64.52
2025-05-02,64.01
2025-05-05,62.37
2025-05-06,64.6
2025-05-07,63.51
2025-05-08,65.6
2025-05-09,66.61
2025-05-12,67.6
2025-05-13,69.59
2025-05-14,68.73
2025-05-15,67.59
2025-05-16,68.1
2025-05-19,68.51
2025-05-20,68.66
2025-05-21,67.59
2025-05-22,67.14
2025-05-23,67.99
2025-05-27,67.28
2025-05-28,67.89
2025-05-29,67.19
2025-05-30,67.15
2025-06-02,69.55
2025-06-03,69.89
2025-06-04,69.34
2025-06-05,69.93
2025-06-06,71.38
2025-06-09,72.05
2025-06-10,71.6
2025-06-11,74.82
2025-06-12,75.05
2025-06-13,80.22
2025-06-16,78.59
2025-06-17,82.3
2025-06-18,82.27
2025-06-20,83.12
2025-06-23,76.41
2025-06-24,73.0
2025-06-25,73.31
2025-06-26,73.59
2025-06-27,73.28
2025-06-30,73.11
2025-07-01,73.93
2025-07-02,75.59
2025-07-03,75.19
2025-07-07,76.48
2025-07-08,76.96
2025-07-09,76.93
2025-07-10,75.39
2025-07-11,77.29
2025-07-14,75.62
2025-07-15,75.26
2025-07-16,75.19
2025-07-17,76.16
2025-07-18,75.93
2025-07-21,75.59
2025-07-22,75.35
2025-07-23,75.28
2025-07-24,76.09
2025-07-25,74.85
2025-07-28,77.17
2025-07-29,79.8
2025-07-30,81.04
2025-07-31,79.59
2025-08-01,77.46
2025-08-04,76.11
2025-08-05,75.02
2025-08-06,73.79
2025-08-07,73.42
2025-08-08,73.3
2025-08-11,73.8
2025-08-12,72.95
2025-08-13,72.46
2025-08-14,73.74
2025-08-15,72.8
2025-08-18,73.17
2025-08-19,72.3
2025-08-20,73.52
2025-08-21,74.13
2025-08-22,74.64
2025-08-25,75.75
2025-08-26,74.05
2025-08-27,74.68
2025-08-28,75.24
2025-08-29,74.84
2025-09-02,76.76
2025-09-03,74.83
2025-09-04,74.18
2025-09-05,72.63
2025-09-08,73.04
2025-09-09,73.39
2025-09-10,74.71
2025-09-11,73.0
2025-09-12,73.31
2025-09-15,74.23
2025-09-16,75.67
2025-09-17,74.97
2025-09-18,74.69
2025-09-19,73.52
2025-09-22,73.45
2025-09-23,75.05
2025-09-24,76.39
2025-09-25,76.99
2025-09-26,77.02
2025-09-29,74.59
2025-09-30,73.75
2025-10-01,73.14
2025-10-02,71.54
2025-10-03,71.71
2025-10-06,72.87
2025-10-07,73.2
2025-10-08,73.53
2025-10-09,72.51
2025-10-10,69.39
2025-10-13,70.28
2025-10-14,69.0
2025-10-15,68.99
2025-10-16,67.81
2025-10-17,67.98
2025-10-20,67.83
2025-10-21,68.27
2025-10-22,70.63
2025-10-23,73.29
2025-10-24,73.18
2025-10-27,73.12
2025-10-28,71.39
2025-10-29,71.8
2025-10-30,71.71
2025-10-31,72.56
2025-11-03,72.74
2025-11-04,71.93
2025-11-05,71.03
2025-11-06,70.88
2025-11-07,71.26
2025-11-10,71.68
2025-11-11,72.72
2025-11-12,69.79
2025-11-13,69.85
2025-11-14,71.38
2025-11-17,71.3
2025-11-18,72.5
2025-11-19,70.88
2025-11-20,70.15
2025-11-21,69.3
2025-11-24,70.42
2025-11-25,69.25
2025-11-26,70.04
2025-11-28,71.07
2025-12-01,71.06
2025-12-02,70.2
2025-12-03,70.66
2025-12-04,71.39
2025-12-05,71.92
2025-12-08,70.49
2025-12-09,69.86
2025-12-10,70.54
2025-12-11,69.25
2025-12-12,68.81
2025-12-15,67.89
2025-12-16,66.17
2025-12-17,67.98
2025-12-18,67.19
2025-12-19,68.03
2025-12-22,69.73
2025-12-23,70.3
2025-12-24,70.2
2025-12-26,68.48
2025-12-29,69.61
2025-12-30,69.74
2025-12-31,69.16
2026-01-02,68.96
2026-01-05,70.22
2026-01-06,68.51
2026-01-07,67.79
2026-01-08,70.54
2026-01-09,70.78
2026-01-12,71.65
2026-01-13,73.48
2026-01-14,72.61
2026-01-15,71.13
2026-01-16,71.65
2026-01-20,71.86
2026-01-21,73.34
2026-01-22,71.82
2026-01-23,73.95
2026-01-26,73.48
2026-01-27,75.66
2026-01-28,76.62
2026-01-29,79.14
2026-01-30,79.52
2026-02-02,75.33
2026-02-03,77.47
2026-02-04,77.88
2026-02-05,76.69
2026-02-06,76.99
2026-02-09,78.02
2026-02-10,78.03
2026-02-11,78.89
2026-02-12,76.38
2026-02-13,76.22
2026-02-17,75.73
2026-02-18,79.4
2026-02-19,81.19
2026-02-20,80.85
2026-02-23,80.9
2026-02-24,80.76
2026-02-25,79.73
2026-02-26,79.77
2026-02-27,81.95
2026-03-02,87.19
2026-03-03,90.2
2026-03-04,91.56
2026-03-05,96.31
2026-03-06,108.77
2026-03-09,104.33
2026-03-10,105.86
2026-03-11,108.05
2026-03-12,118.39
2026-03-13,119.89
2026-03-16,115.03
2026-03-17,118.84
2026-03-18,121.67
2026-03-19,117.36
2026-03-20,121.43
2026-03-23,110.56
2026-03-24,114.54
2026-03-25,113.39
2026-03-26,117.26
2026-03-27,124.2
2026-03-30,129.83
2026-03-31,127.25
2026-04-01,124.09
2026-04-02,137.92
2026-04-06,138.94
2026-04-07,138.08
2026-04-08,124.58
2026-04-09,126.96
2026-04-10,124.82
2026-04-13,128.47
2026-04-14,123.85
2026-04-15,122.59
2026-04-16,125.84
2026-04-17,116.04
2026-04-20,121.32
2026-04-21,128.25
2026-04-22,129.4
2026-04-23,134.72
2026-04-24,132.4
2026-04-27,134.72
2026-04-28,139.6
2026-04-29,150.63
2026-04-30,147.09
2026-05-01,142.8
2026-05-04,147.61
2026-05-05,144.17
2026-05-06,133.95
2026-05-07,134.97
2026-05-08,133.59
2026-05-11,138.66
2026-05-12,144.3
2026-05-13,142.04
2026-05-14,143.0
2026-05-15,148.23
2026-05-18,149.29
2026-05-19,152.96
2026-05-20,144.27
2026-05-21,142.54
2026-05-22,140.92
2026-05-26,137.0
2026-05-27,131.03
2026-05-28,130.78
2026-05-29,129.09
2026-06-01,135.5
2026-06-02,137.27
2026-06-03,140.86
2026-06-04,136.74
2026-06-05,133.02
2026-06-08,135.15
2026-06-09,131.3
2026-06-10,134.3
2026-06-11,128.83
2026-06-12,125.43
2026-06-15,121.21
2026-06-16,115.47
2026-06-17,114.23
2026-06-18,114.87
2026-06-22,112.69
2026-06-23,111.26
2026-06-24,106.29
2026-06-25,109.31
2026-06-26,105.48
2026-06-29,107.08
2026-06-30,106.44
2026-07-01,103.27
2026-07-02,103.98
