date,close
2023-06-21,6.35
2023-06-22,6.19
2023-06-23,6.03
2023-06-26,6.0
2023-06-27,5.99
2023-06-28,6.13
2023-06-29,6.11
2023-06-30,6.24
2023-07-03,6.13
2023-07-05,5.97
2023-07-06,5.65
2023-07-07,5.88
2023-07-10,5.99
2023-07-11,6.15
2023-07-12,6.13
2023-07-13,6.36
2023-07-14,6.19
2023-07-17,6.23
2023-07-18,6.34
2023-07-19,6.25
2023-07-20,6.04
2023-07-21,5.96
2023-07-24,5.93
2023-07-25,6.14
2023-07-26,6.07
2023-07-27,5.87
2023-07-28,6.0
2023-07-31,6.38
2023-08-01,6.29
2023-08-02,6.07
2023-08-03,6.07
2023-08-04,6.07
2023-08-07,6.16
2023-08-08,6.36
2023-08-09,6.43
2023-08-10,6.34
2023-08-11,6.74
2023-08-14,6.61
2023-08-15,6.26
2023-08-16,6.2
2023-08-17,6.26
2023-08-18,6.5
2023-08-21,7.0
2023-08-22,6.88
2023-08-23,6.98
2023-08-24,6.83
2023-08-25,6.82
2023-08-28,6.93
2023-08-29,6.97
2023-08-30,7.19
2023-08-31,7.13
2023-09-01,7.24
2023-09-05,7.55
2023-09-06,7.39
2023-09-07,7.33
2023-09-08,7.36
2023-09-11,7.48
2023-09-12,7.43
2023-09-13,7.85
2023-09-14,8.08
2023-09-15,8.42
2023-09-18,8.62
2023-09-19,8.18
2023-09-20,8.02
2023-09-21,7.89
2023-09-22,8.2
2023-09-25,8.94
2023-09-26,8.63
2023-09-27,8.47
2023-09-28,8.79
2023-09-29,8.22
2023-10-02,7.67
2023-10-03,7.6
2023-10-04,7.37
2023-10-05,7.55
2023-10-06,7.69
2023-10-09,7.54
2023-10-10,7.82
2023-10-11,7.59
2023-10-12,7.42
2023-10-13,7.54
2023-10-16,7.25
2023-10-17,7.44
2023-10-18,7.49
2023-10-19,7.82
2023-10-20,7.68
2023-10-23,7.77
2023-10-24,7.94
2023-10-25,7.87
2023-10-26,7.7
2023-10-27,7.52
2023-10-30,7.68
2023-10-31,8.01
2023-11-01,8.03
2023-11-02,8.16
2023-11-03,7.94
2023-11-06,7.66
2023-11-07,7.77
2023-11-08,7.58
2023-11-09,7.89
2023-11-10,7.9
2023-11-13,8.2
2023-11-14,8.27
2023-11-15,8.03
2023-11-16,8.28
2023-11-17,8.44
2023-11-20,8.6
2023-11-21,8.44
2023-11-22,8.43
2023-11-24,8.45
2023-11-27,8.4
2023-11-28,8.22
2023-11-29,7.6
2023-11-30,7.95
2023-12-01,7.71
2023-12-04,7.79
2023-12-05,7.48
2023-12-06,7.41
2023-12-07,7.31
2023-12-08,7.55
2023-12-11,7.54
2023-12-12,7.42
2023-12-13,7.38
2023-12-14,7.77
2023-12-15,7.25
2023-12-18,7.31
2023-12-19,7.03
2023-12-20,6.96
2023-12-21,7.57
2023-12-22,7.68
2023-12-26,7.85
2023-12-27,7.71
2023-12-28,7.21
2023-12-29,7.19
2024-01-02,6.92
2024-01-03,6.82
2024-01-04,6.91
2024-01-05,6.72
2024-01-08,6.8
2024-01-09,6.98
2024-01-10,6.97
2024-01-11,7.06
2024-01-12,7.66
2024-01-16,7.72
2024-01-17,7.66
2024-01-18,7.6
2024-01-19,7.35
2024-01-22,7.2
2024-01-23,7.56
2024-01-24,7.48
2024-01-25,7.34
2024-01-26,7.3
2024-01-29,7.37
2024-01-30,7.79
2024-01-31,7.55
2024-02-01,7.97
2024-02-02,7.78
2024-02-05,7.45
2024-02-06,7.27
2024-02-07,7.41
2024-02-08,7.0
2024-02-09,6.85
2024-02-12,6.94
2024-02-13,6.6
2024-02-14,6.6
2024-02-15,6.71
2024-02-16,6.48
2024-02-20,6.14
2024-02-21,6.25
2024-02-22,6.1
2024-02-23,6.0
2024-02-26,6.32
2024-02-27,6.66
2024-02-28,6.42
2024-02-29,6.33
2024-03-01,6.55
2024-03-04,6.33
2024-03-05,6.1
2024-03-06,6.1
2024-03-07,6.41
2024-03-08,6.06
2024-03-11,6.12
2024-03-12,6.14
2024-03-13,5.95
2024-03-14,5.89
2024-03-15,6.04
2024-03-18,6.06
2024-03-19,6.05
2024-03-20,6.28
2024-03-21,6.24
2024-03-22,6.18
2024-03-25,6.02
2024-03-26,6.04
2024-03-27,6.04
2024-03-28,6.29
2024-04-01,6.53
2024-04-02,6.57
2024-04-03,6.9
2024-04-04,6.63
2024-04-05,6.55
2024-04-08,6.36
2024-04-09,6.24
2024-04-10,6.24
2024-04-11,6.42
2024-04-12,6.2
2024-04-15,5.99
2024-04-16,5.8
2024-04-17,5.76
2024-04-18,5.85
2024-04-19,5.84
2024-04-22,5.3
2024-04-23,5.24
2024-04-24,5.36
2024-04-25,5.36
2024-04-26,5.4
2024-04-29,5.51
2024-04-30,5.18
2024-05-01,5.43
2024-05-02,5.6
2024-05-03,5.54
2024-05-06,5.76
2024-05-07,5.88
2024-05-08,5.82
2024-05-09,6.15
2024-05-10,6.08
2024-05-13,6.03
2024-05-14,6.09
2024-05-15,6.16
2024-05-16,6.22
2024-05-17,6.71
2024-05-20,6.86
2024-05-21,6.74
2024-05-22,6.62
2024-05-23,6.61
2024-05-24,6.56
2024-05-28,6.82
2024-05-29,6.79
2024-05-30,6.97
2024-05-31,7.0
2024-06-03,6.82
2024-06-04,6.36
2024-06-05,6.1
2024-06-06,6.15
2024-06-07,5.94
2024-06-10,6.1
2024-06-11,5.82
2024-06-12,5.94
2024-06-13,6.12
2024-06-14,6.02
2024-06-17,5.99
2024-06-18,6.12
2024-06-20,6.1
2024-06-21,6.07
2024-06-24,5.75
2024-06-25,5.57
2024-06-26,5.85
2024-06-27,6.16
2024-06-28,6.06
2024-07-01,6.08
2024-07-02,5.91
2024-07-03,5.92
2024-07-05,5.91
2024-07-08,5.89
2024-07-09,6.09
2024-07-10,6.49
2024-07-11,6.65
2024-07-12,6.62
2024-07-15,6.41
2024-07-16,6.48
2024-07-17,5.95
2024-07-18,5.75
2024-07-19,5.62
2024-07-22,5.71
2024-07-23,5.74
2024-07-24,5.53
2024-07-25,5.6
2024-07-26,5.67
2024-07-29,5.5
2024-07-30,5.57
2024-07-31,5.69
2024-08-01,5.23
2024-08-02,4.74
2024-08-05,4.74
2024-08-06,4.63
2024-08-07,4.45
2024-08-08,4.55
2024-08-09,4.44
2024-08-12,4.59
2024-08-13,4.54
2024-08-14,4.53
2024-08-15,4.67
2024-08-16,4.63
2024-08-19,4.69
2024-08-20,4.72
2024-08-21,4.86
2024-08-22,4.6
2024-08-23,4.91
2024-08-26,4.87
2024-08-27,4.86
2024-08-28,4.7
2024-08-29,4.79
2024-08-30,4.9
2024-09-03,4.4
2024-09-04,4.39
2024-09-05,4.37
2024-09-06,4.3
2024-09-09,4.28
2024-09-10,4.52
2024-09-11,4.9
2024-09-12,5.09
2024-09-13,4.72
2024-09-16,4.67
2024-09-17,4.73
2024-09-18,4.68
2024-09-19,4.95
