date,close
2019-06-21,11.24
2019-06-24,11.18
2019-06-25,10.94
2019-06-26,11.31
2019-06-27,12.26
2019-06-28,12.22
2019-07-01,12.37
2019-07-02,12.5
2019-07-03,12.29
2019-07-05,12.26
2019-07-08,11.88
2019-07-09,11.51
2019-07-10,11.99
2019-07-11,11.47
2019-07-12,11.86
2019-07-15,11.84
2019-07-16,11.65
2019-07-17,11.85
2019-07-18,11.82
2019-07-19,11.8
2019-07-22,11.67
2019-07-23,11.94
2019-07-24,12.48
2019-07-25,11.98
2019-07-26,12.17
2019-07-29,12.04
2019-07-30,12.22
2019-07-31,11.91
2019-08-01,11.94
2019-08-02,11.77
2019-08-05,10.96
2019-08-06,12.27
2019-08-07,11.89
2019-08-08,11.67
2019-08-09,11.05
2019-08-12,10.99
2019-08-13,11.31
2019-08-14,10.85
2019-08-15,10.78
2019-08-16,10.95
2019-08-19,10.93
2019-08-20,10.44
2019-08-21,10.49
2019-08-22,10.29
2019-08-23,9.91
2019-08-26,9.91
2019-08-27,9.33
2019-08-28,9.22
2019-08-29,9.36
2019-08-30,9.26
2019-09-03,9.0
2019-09-04,9.18
2019-09-05,9.53
2019-09-06,9.65
2019-09-09,9.97
2019-09-10,10.32
2019-09-11,10.98
2019-09-12,11.19
2019-09-13,11.3
2019-09-16,11.36
2019-09-17,11.6
2019-09-18,11.73
2019-09-19,11.63
2019-09-20,11.77
2019-09-23,12.11
2019-09-24,12.11
2019-09-25,12.365
2019-09-26,12.23
2019-09-27,11.77
2019-09-30,11.68
2019-10-01,11.35
2019-10-02,11.27
2019-10-03,11.17
2019-10-04,11.49
2019-10-07,11.54
2019-10-08,11.15
2019-10-09,11.28
2019-10-10,11.23
2019-10-11,11.595
2019-10-14,11.26
2019-10-15,11.79
2019-10-16,11.8
2019-10-17,12.22
2019-10-18,11.97
2019-10-21,12.36
2019-10-22,12.39
2019-10-23,12.405
2019-10-24,12.9
2019-10-25,13.42
2019-10-28,13.72
2019-10-29,13.91
2019-10-30,13.68
2019-10-31,13.64
2019-11-01,14.35
2019-11-04,14.5
2019-11-05,16.85
2019-11-06,16.3
2019-11-07,15.69
2019-11-08,15.565
2019-11-11,14.815
2019-11-12,14.93
2019-11-13,14.81
2019-11-14,14.68
2019-11-15,15.22
2019-11-18,14.9
2019-11-19,14.73
2019-11-20,14.38
2019-11-21,13.81
2019-11-22,13.51
2019-11-25,14.25
2019-11-26,13.75
2019-11-27,13.84
2019-11-29,13.69
2019-12-02,13.13
2019-12-03,13.13
2019-12-04,13.53
2019-12-05,13.64
2019-12-06,13.98
2019-12-09,13.76
2019-12-10,13.88
2019-12-11,13.97
2019-12-12,13.91
2019-12-13,13.875
2019-12-16,14.05
2019-12-17,14.14
2019-12-18,14.105
2019-12-19,14.25
2019-12-20,14.82
2019-12-23,15.04
2019-12-24,14.95
2019-12-26,14.91
2019-12-27,14.79
2019-12-30,14.8
2019-12-31,14.685
2020-01-02,14.93
2020-01-03,14.73
2020-01-06,14.52
2020-01-07,14.79
2020-01-08,14.88
2020-01-09,14.75
2020-01-10,14.54
2020-01-13,14.83
2020-01-14,15.45
2020-01-15,15.49
2020-01-16,16.43
2020-01-17,16.69
2020-01-21,16.39
2020-01-22,15.9
2020-01-23,15.91
2020-01-24,15.05
2020-01-27,14.17
2020-01-28,14.0
2020-01-29,13.59
2020-01-30,13.49
2020-01-31,12.75
2020-02-03,13.42
2020-02-04,14.32
2020-02-05,14.695
2020-02-06,14.68
2020-02-07,14.18
2020-02-10,14.705
2020-02-11,15.37
2020-02-12,15.83
2020-02-13,16.37
2020-02-14,18.08
2020-02-18,16.16
2020-02-19,16.68
2020-02-20,16.39
2020-02-21,14.99
2020-02-24,13.87
2020-02-25,13.55
2020-02-26,13.45
2020-02-27,12.92
2020-02-28,13.39
2020-03-02,13.46
2020-03-03,14.37
2020-03-04,14.88
2020-03-05,14.26
2020-03-06,13.87
2020-03-09,12.26
2020-03-10,12.8
2020-03-11,11.66
2020-03-12,9.9
2020-03-13,10.18
2020-03-16,7.84
2020-03-17,9.23
2020-03-18,7.95
2020-03-19,8.85
2020-03-20,7.81
2020-03-23,8.49
2020-03-24,9.48
2020-03-25,9.77
2020-03-26,10.5
2020-03-27,9.22
2020-03-30,9.93
2020-03-31,9.57
2020-04-01,8.14
2020-04-02,8.58
2020-04-03,8.3
2020-04-06,9.59
2020-04-07,9.45
2020-04-08,9.93
2020-04-09,9.8
2020-04-13,10.22
2020-04-14,10.64
2020-04-15,10.07
2020-04-16,9.99
2020-04-17,10.15
2020-04-20,9.86
2020-04-21,9.26
2020-04-22,9.87
2020-04-23,9.85
2020-04-24,10.02
2020-04-27,10.42
2020-04-28,10.8
2020-04-29,11.82
2020-04-30,10.93
2020-05-01,10.51
2020-05-04,10.89
2020-05-05,10.76
2020-05-06,10.89
2020-05-07,11.55
2020-05-08,13.77
2020-05-11,13.92
2020-05-12,12.6
2020-05-13,10.55
2020-05-14,10.44
2020-05-15,10.87
2020-05-18,11.2
2020-05-19,11.43
2020-05-20,11.7
2020-05-21,11.35
2020-05-22,11.45
2020-05-26,11.72
2020-05-27,12.03
2020-05-28,11.37
2020-05-29,11.74
2020-06-01,11.89
2020-06-02,11.9
2020-06-03,12.34
2020-06-04,12.69
2020-06-05,14.235
2020-06-08,13.49
2020-06-09,13.72
2020-06-10,13.12
2020-06-11,12.35
2020-06-12,12.61
2020-06-15,12.74
2020-06-16,13.11
2020-06-17,13.63
2020-06-18,13.09
2020-06-19,13.27
2020-06-22,13.19
2020-06-23,13.12
2020-06-24,12.68
2020-06-25,12.94
2020-06-26,12.57
2020-06-29,12.78
2020-06-30,13.49
2020-07-01,13.04
2020-07-02,13.4
2020-07-06,14.09
2020-07-07,13.6
2020-07-08,13.73
2020-07-09,13.66
2020-07-10,13.6
2020-07-13,13.4
2020-07-14,13.47
2020-07-15,13.56
2020-07-16,13.54
2020-07-17,13.64
2020-07-20,13.64
2020-07-21,13.57
2020-07-22,13.34
2020-07-23,13.5
2020-07-24,12.55
2020-07-27,13.1
2020-07-28,12.76
2020-07-29,13.21
2020-07-30,13.53
2020-07-31,13.52
2020-08-03,14.31
2020-08-04,14.06
2020-08-05,13.715
2020-08-06,13.51
2020-08-07,13.68
2020-08-10,13.83
2020-08-11,13.62
2020-08-12,14.04
2020-08-13,13.64
2020-08-14,13.725
2020-08-17,13.64
2020-08-18,13.16
2020-08-19,12.81
2020-08-20,12.39
2020-08-21,12.29
2020-08-24,12.39
2020-08-25,12.47
2020-08-26,12.31
2020-08-27,12.35
2020-08-28,12.46
2020-08-31,11.89
2020-09-01,12.23
2020-09-02,12.625
2020-09-03,11.88
2020-09-04,11.59
2020-09-08,10.65
2020-09-09,10.99
2020-09-10,10.76
2020-09-11,10.68
2020-09-14,11.03
2020-09-15,11.0
2020-09-16,12.13
2020-09-17,12.48
2020-09-18,12.13
2020-09-21,12.08
2020-09-22,11.84
2020-09-23,11.55
2020-09-24,11.43
2020-09-25,11.52
2020-09-28,11.98
2020-09-29,12.01
2020-09-30,11.67
2020-10-01,12.23
2020-10-02,11.62
2020-10-05,11.8
2020-10-06,11.96
2020-10-07,12.19
2020-10-08,12.245
2020-10-09,12.67
2020-10-12,12.795
2020-10-13,12.89
2020-10-14,12.85
2020-10-15,12.61
2020-10-16,12.41
2020-10-19,12.73
2020-10-20,12.62
2020-10-21,13.0
2020-10-22,12.91
2020-10-23,12.96
2020-10-26,12.82
2020-10-27,12.92
2020-10-28,12.8
2020-10-29,13.02
2020-10-30,12.73
2020-11-02,13.14
2020-11-03,13.675
2020-11-04,13.79
2020-11-05,15.13
2020-11-06,15.01
2020-11-09,14.8
2020-11-10,14.775
2020-11-11,15.13
2020-11-12,14.8
2020-11-13,15.13
2020-11-16,15.72
2020-11-17,15.79
2020-11-18,15.74
2020-11-19,16.1
2020-11-20,16.04
2020-11-23,16.17
2020-11-24,16.57
2020-11-25,16.54
2020-11-27,16.89
2020-11-30,16.62
2020-12-01,17.09
2020-12-02,16.93
2020-12-03,17.13
2020-12-04,17.67
2020-12-07,18.04
2020-12-08,18.13
2020-12-09,17.87
2020-12-10,17.26
2020-12-11,17.45
2020-12-14,17.87
2020-12-15,18.23
2020-12-16,18.23
2020-12-17,18.415
2020-12-18,18.61
2020-12-21,18.77
2020-12-22,19.3
2020-12-23,19.13
2020-12-24,19.0
2020-12-28,17.09
2020-12-29,16.58
2020-12-30,17.69
2020-12-31,17.36
2021-01-04,17.76
2021-01-05,18.54
2021-01-06,19.11
2021-01-07,19.57
2021-01-08,19.68
2021-01-11,19.78
2021-01-12,20.22
2021-01-13,20.43
2021-01-14,20.78
2021-01-15,19.93
2021-01-19,20.81
2021-01-20,20.55
2021-01-21,20.64
2021-01-22,20.68
2021-01-25,20.54
2021-01-26,19.92
2021-01-27,19.305
2021-01-28,18.85
2021-01-29,18.46
2021-02-01,19.38
2021-02-02,19.72
2021-02-03,19.49
2021-02-04,20.05
2021-02-05,19.97
2021-02-08,20.44
2021-02-09,20.32
2021-02-10,20.44
2021-02-11,21.55
2021-02-12,22.12
2021-02-16,21.91
2021-02-17,22.08
2021-02-18,21.83
2021-02-19,22.59
2021-02-22,21.92
2021-02-23,21.58
2021-02-24,22.32
2021-02-25,21.33
2021-02-26,21.5
2021-03-01,22.56
2021-03-02,21.85
2021-03-03,21.85
2021-03-04,21.285
2021-03-05,21.3
2021-03-08,20.655
2021-03-09,22.31
2021-03-10,22.31
2021-03-11,22.7
2021-03-12,22.36
2021-03-15,21.87
2021-03-16,21.59
2021-03-17,21.71
2021-03-18,21.1
2021-03-19,21.19
2021-03-22,21.09
2021-03-23,20.55
2021-03-24,20.65
2021-03-25,20.47
2021-03-26,21.15
2021-03-29,20.32
2021-03-30,20.2
2021-03-31,20.74
2021-04-01,21.59
2021-04-05,21.49
2021-04-06,21.55
2021-04-07,21.24
2021-04-08,21.56
2021-04-09,21.28
2021-04-12,21.1
2021-04-13,20.97
2021-04-14,21.2
2021-04-15,21.23
2021-04-16,20.98
2021-04-19,20.62
2021-04-20,20.68
2021-04-21,21.85
2021-04-22,21.46
2021-04-23,22.6
2021-04-26,23.14
2021-04-27,23.4
2021-04-28,24.0
2021-04-29,23.97
2021-04-30,23.01
2021-05-03,22.75
2021-05-04,22.12
2021-05-05,22.1
2021-05-06,22.31
2021-05-07,22.67
2021-05-10,21.87
2021-05-11,21.79
2021-05-12,21.25
2021-05-13,22.04
2021-05-14,22.07
2021-05-17,22.28
2021-05-18,21.78
2021-05-19,22.17
2021-05-20,22.62
2021-05-21,22.62
2021-05-24,23.01
2021-05-25,23.12
2021-05-26,23.25
2021-05-27,23.87
2021-05-28,23.82
2021-06-01,24.01
2021-06-02,24.07
2021-06-03,23.75
2021-06-04,24.37
2021-06-07,24.43
2021-06-08,24.81
2021-06-09,24.83
2021-06-10,25.01
2021-06-11,25.31
2021-06-14,25.38
2021-06-15,25.17
2021-06-16,25.22
2021-06-17,24.47
2021-06-18,23.18
2021-06-21,23.08
2021-06-22,23.47
2021-06-23,23.54
2021-06-24,24.06
2021-06-25,23.86
2021-06-28,24.26
2021-06-29,24.27
2021-06-30,24.04
2021-07-01,23.51
2021-07-02,23.28
2021-07-06,22.68
2021-07-07,22.24
2021-07-08,21.92
2021-07-09,22.33
2021-07-12,22.42
2021-07-13,22.11
2021-07-14,21.91
2021-07-15,21.69
2021-07-16,21.06
2021-07-19,20.76
2021-07-20,21.31
2021-07-21,22.34
2021-07-22,22.31
2021-07-23,22.6
2021-07-26,22.49
2021-07-27,21.89
2021-07-28,22.46
2021-07-29,22.61
2021-07-30,23.2
2021-08-02,23.0
2021-08-03,23.21
2021-08-04,22.38
2021-08-05,22.5
2021-08-06,23.07
2021-08-09,22.93
2021-08-10,22.51
2021-08-11,22.33
2021-08-12,21.73
2021-08-13,21.66
2021-08-16,21.59
2021-08-17,20.87
2021-08-18,20.7
