date,close
2019-06-21,50.8
2019-06-24,50.88
2019-06-25,50.5
2019-06-26,50.63
2019-06-27,50.84
2019-06-28,50.99
2019-07-01,51.37
2019-07-02,51.46
2019-07-03,51.68
2019-07-05,51.35
2019-07-08,51.03
2019-07-09,50.83
2019-07-10,51.05
2019-07-11,51.09
2019-07-12,51.11
2019-07-15,51.19
2019-07-16,51.0
2019-07-17,50.92
2019-07-18,51.11
2019-07-19,50.97
2019-07-22,51.0
2019-07-23,51.24
2019-07-24,51.27
2019-07-25,50.82
2019-07-26,50.93
2019-07-29,50.92
2019-07-30,50.4
2019-07-31,50.07
2019-08-01,49.68
2019-08-02,49.26
2019-08-05,47.9
2019-08-06,48.28
2019-08-07,48.48
2019-08-08,49.01
2019-08-09,48.67
2019-08-12,48.23
2019-08-13,48.72
2019-08-14,47.38
2019-08-15,47.55
2019-08-16,48.1
2019-08-19,48.33
2019-08-20,48.27
2019-08-21,48.63
2019-08-22,48.4
2019-08-23,47.8
2019-08-26,48.17
2019-08-27,48.12
2019-08-28,48.2
2019-08-29,48.61
2019-08-30,48.85
2019-09-03,48.68
2019-09-04,49.39
2019-09-05,49.77
2019-09-06,49.9
2019-09-09,50.05
2019-09-10,50.1
2019-09-11,50.43
2019-09-12,50.69
2019-09-13,50.99
2019-09-16,50.58
2019-09-17,50.72
2019-09-18,50.61
2019-09-19,50.71
2019-09-20,50.6
2019-09-23,50.55
2019-09-24,50.0
2019-09-25,49.91
2019-09-26,50.07
2019-09-27,49.74
2019-09-30,49.9
2019-10-01,49.48
2019-10-02,48.63
2019-10-03,49.0
2019-10-04,49.37
2019-10-07,49.19
2019-10-08,48.75
2019-10-09,49.15
2019-10-10,49.52
2019-10-11,50.35
2019-10-14,50.13
2019-10-15,50.67
2019-10-16,50.71
2019-10-17,50.86
2019-10-18,50.78
2019-10-21,51.1
2019-10-22,51.04
2019-10-23,51.24
2019-10-24,51.32
2019-10-25,51.46
2019-10-28,51.68
2019-10-29,51.61
2019-10-30,51.77
2019-10-31,51.62
2019-11-01,52.12
2019-11-04,52.45
2019-11-05,52.52
2019-11-06,52.47
2019-11-07,52.7
2019-11-08,52.55
2019-11-11,52.38
2019-11-12,52.31
2019-11-13,52.11
2019-11-14,52.03
2019-11-15,52.41
