date,close
2025-01-24,24.0
2025-01-27,19.93
2025-01-28,20.0
2025-01-29,19.95
2025-01-30,20.38
2025-01-31,20.45
2025-02-03,21.44
2025-02-04,20.45
2025-02-05,19.68
2025-02-06,17.48
2025-02-07,17.54
2025-02-10,17.21
2025-02-11,16.5
2025-02-12,15.23
2025-02-13,15.29
2025-02-14,15.96
2025-02-18,16.93
2025-02-19,16.11
2025-02-20,16.54
2025-02-21,15.37
2025-02-24,15.18
2025-02-25,14.11
2025-02-26,14.2
2025-02-27,13.92
2025-02-28,15.09
2025-03-03,13.91
2025-03-04,13.77
2025-03-05,14.23
2025-03-06,9.1
2025-03-07,9.23
2025-03-10,8.95
2025-03-11,9.67
2025-03-12,10.25
2025-03-13,9.68
2025-03-14,10.71
2025-03-17,11.29
2025-03-18,10.89
2025-03-19,11.2
2025-03-20,11.78
2025-03-21,11.61
2025-03-24,11.57
2025-03-25,11.47
2025-03-26,11.24
2025-03-27,10.65
2025-03-28,9.95
2025-03-31,10.3
2025-04-01,10.0
2025-04-02,9.96
2025-04-03,8.98
2025-04-04,7.48
2025-04-07,7.0
2025-04-08,7.82
2025-04-09,8.73
2025-04-10,7.81
2025-04-11,8.28
2025-04-14,8.42
2025-04-15,8.29
2025-04-16,8.88
2025-04-17,8.62
2025-04-21,8.55
2025-04-22,8.6
2025-04-23,8.97
2025-04-24,8.71
2025-04-25,8.63
2025-04-28,8.63
2025-04-29,8.6
2025-04-30,8.39
2025-05-01,8.7
2025-05-02,8.82
2025-05-05,8.55
2025-05-06,8.7
2025-05-07,9.0
2025-05-08,9.16
2025-05-09,9.35
2025-05-12,9.91
2025-05-13,10.72
2025-05-14,10.16
2025-05-15,9.84
2025-05-16,9.79
2025-05-19,10.11
2025-05-20,10.4
2025-05-21,10.4
2025-05-22,10.98
2025-05-23,11.39
2025-05-27,12.38
2025-05-28,11.98
2025-05-29,11.85
2025-05-30,11.57
2025-06-02,11.79
2025-06-03,14.28
2025-06-04,14.91
2025-06-05,14.11
2025-06-06,15.22
2025-06-09,15.74
2025-06-10,17.04
2025-06-11,16.76
2025-06-12,16.71
2025-06-13,17.64
2025-06-16,17.4
2025-06-17,17.71
2025-06-18,18.28
2025-06-20,19.01
2025-06-23,16.54
2025-06-24,16.72
2025-06-25,16.16
2025-06-26,16.77
2025-06-27,15.69
2025-06-30,15.58
2025-07-01,14.92
2025-07-02,15.46
2025-07-03,15.56
2025-07-07,15.16
2025-07-08,15.76
2025-07-09,16.42
2025-07-10,16.86
2025-07-11,17.88
2025-07-14,16.78
2025-07-15,16.56
2025-07-16,16.3
2025-07-17,16.28
2025-07-18,15.9
2025-07-21,15.17
2025-07-22,15.06
2025-07-23,14.76
2025-07-24,14.46
2025-07-25,14.56
2025-07-28,15.17
2025-07-29,15.67
2025-07-30,15.36
2025-07-31,15.33
2025-08-01,14.92
2025-08-04,14.93
2025-08-05,14.77
2025-08-06,14.33
2025-08-07,13.67
2025-08-08,12.35
2025-08-11,12.07
2025-08-12,12.18
2025-08-13,13.64
2025-08-14,13.71
2025-08-15,12.49
2025-08-18,12.38
2025-08-19,12.25
2025-08-20,12.56
2025-08-21,12.77
2025-08-22,12.86
2025-08-25,13.35
2025-08-26,12.88
2025-08-27,13.0
2025-08-28,12.82
2025-08-29,13.0
2025-09-02,13.0
2025-09-03,12.72
2025-09-04,12.87
2025-09-05,12.84
2025-09-08,13.56
2025-09-09,13.29
2025-09-10,13.97
2025-09-11,13.75
2025-09-12,13.6
2025-09-15,13.65
2025-09-16,14.1
2025-09-17,13.95
2025-09-18,13.84
2025-09-19,13.25
2025-09-22,14.22
2025-09-23,14.57
2025-09-24,14.53
2025-09-25,14.75
2025-09-26,14.83
2025-09-29,14.22
2025-09-30,14.19
2025-10-01,14.72
2025-10-02,13.78
2025-10-03,13.95
2025-10-06,13.95
2025-10-07,12.9
2025-10-08,13.03
2025-10-09,12.58
2025-10-10,9.45
2025-10-13,9.04
2025-10-14,9.0
2025-10-15,9.14
2025-10-16,9.13
2025-10-17,8.88
2025-10-20,9.29
2025-10-21,9.61
2025-10-22,9.54
2025-10-23,9.64
2025-10-24,9.49
2025-10-27,9.36
2025-10-28,9.39
2025-10-29,8.8
2025-10-30,8.58
2025-10-31,8.57
2025-11-03,8.36
2025-11-04,7.97
2025-11-05,7.75
2025-11-06,7.75
2025-11-07,7.99
2025-11-10,8.49
2025-11-11,7.53
2025-11-12,8.13
2025-11-13,7.86
2025-11-14,7.98
2025-11-17,8.11
2025-11-18,7.9
2025-11-19,7.77
2025-11-20,7.15
2025-11-21,7.25
2025-11-24,7.04
2025-11-25,6.89
2025-11-26,7.13
2025-11-28,7.46
2025-12-01,6.88
2025-12-02,6.63
2025-12-03,6.89
2025-12-04,7.02
2025-12-05,6.82
2025-12-08,6.6
2025-12-09,6.63
2025-12-10,6.07
2025-12-11,6.24
2025-12-12,6.15
2025-12-15,5.93
2025-12-16,5.92
2025-12-17,5.94
2025-12-18,6.06
2025-12-19,6.35
2025-12-22,6.61
2025-12-23,7.03
2025-12-24,7.23
2025-12-26,6.95
2025-12-29,7.02
2025-12-30,7.01
2025-12-31,6.82
2026-01-02,7.04
2026-01-05,6.83
2026-01-06,6.96
2026-01-07,6.82
2026-01-08,7.52
2026-01-09,7.23
2026-01-12,7.38
2026-01-13,7.88
2026-01-14,7.92
2026-01-15,7.96
2026-01-16,8.8
2026-01-20,8.48
2026-01-21,9.05
2026-01-22,9.53
2026-01-23,9.88
2026-01-26,9.38
2026-01-27,8.91
2026-01-28,9.51
2026-01-29,9.67
2026-01-30,9.8
2026-02-02,9.02
2026-02-03,9.48
2026-02-04,9.61
2026-02-05,9.32
2026-02-06,9.9
2026-02-09,10.17
2026-02-10,10.14
2026-02-11,9.78
2026-02-12,9.28
2026-02-13,9.36
2026-02-17,8.77
2026-02-18,9.55
2026-02-19,9.89
2026-02-20,9.69
2026-02-23,9.43
2026-02-24,9.35
2026-02-25,9.31
2026-02-26,9.47
2026-02-27,9.69
2026-03-02,11.38
2026-03-03,11.46
2026-03-04,11.16
2026-03-05,12.28
2026-03-06,12.48
2026-03-09,11.51
2026-03-10,11.4
2026-03-11,12.46
2026-03-12,12.77
2026-03-13,13.1
2026-03-16,12.28
2026-03-17,12.97
2026-03-18,14.85
2026-03-19,14.29
2026-03-20,15.81
2026-03-23,15.8
2026-03-24,16.6
2026-03-25,16.71
2026-03-26,16.82
2026-03-27,17.53
2026-03-30,16.89
2026-03-31,15.76
2026-04-01,14.68
2026-04-02,14.64
2026-04-06,15.94
2026-04-07,15.99
2026-04-08,14.44
2026-04-09,12.99
2026-04-10,12.97
2026-04-13,12.75
2026-04-14,12.51
2026-04-15,12.18
2026-04-16,12.68
2026-04-17,11.46
2026-04-20,11.45
