date,close
2023-06-21,61.18
2023-06-22,60.94
2023-06-23,60.2
2023-06-26,60.28
2023-06-27,60.89
2023-06-28,60.84
2023-06-29,60.75
2023-06-30,61.7
2023-07-03,61.52
2023-07-05,60.72
2023-07-06,59.64
2023-07-07,60.03
2023-07-10,60.39
2023-07-11,61.04
2023-07-12,62.49
2023-07-13,63.47
2023-07-14,63.17
2023-07-17,63.08
2023-07-18,63.45
2023-07-19,63.44
2023-07-20,63.2
2023-07-21,63.42
2023-07-24,63.1
2023-07-25,63.22
2023-07-26,63.34
2023-07-27,62.97
2023-07-28,63.51
2023-07-31,63.49
2023-08-01,62.79
2023-08-02,61.65
2023-08-03,61.48
2023-08-04,61.59
2023-08-07,62.18
2023-08-08,61.85
2023-08-09,61.99
2023-08-10,62.23
2023-08-11,61.7
2023-08-14,61.58
2023-08-15,60.79
2023-08-16,60.42
2023-08-17,59.9
2023-08-18,59.8
2023-08-21,60.14
2023-08-22,59.92
2023-08-23,60.42
2023-08-24,59.58
2023-08-25,60.01
2023-08-28,60.64
2023-08-29,61.5
2023-08-30,61.47
2023-08-31,60.92
2023-09-01,60.71
2023-09-05,59.98
2023-09-06,59.76
2023-09-07,59.5
2023-09-08,59.59
2023-09-11,60.21
2023-09-12,59.82
2023-09-13,59.57
2023-09-14,60.28
2023-09-15,60.19
2023-09-18,59.51
2023-09-19,59.55
2023-09-20,59.66
2023-09-21,58.8
2023-09-22,58.67
2023-09-25,58.27
2023-09-26,57.54
2023-09-27,57.29
2023-09-28,57.85
2023-09-29,57.93
2023-10-02,56.94
2023-10-03,56.33
2023-10-04,56.61
2023-10-05,56.94
2023-10-06,57.68
2023-10-09,57.5
2023-10-10,58.4
2023-10-11,58.79
2023-10-12,58.12
2023-10-13,57.59
2023-10-16,58.12
2023-10-17,58.06
2023-10-18,56.99
2023-10-19,56.52
2023-10-20,55.98
2023-10-23,56.1
2023-10-24,56.31
2023-10-25,55.81
2023-10-26,55.57
2023-10-27,55.18
2023-10-30,56.04
2023-10-31,56.14
2023-11-01,56.52
2023-11-02,57.76
2023-11-03,58.24
2023-11-06,58.05
2023-11-07,57.79
2023-11-08,58.07
2023-11-09,58.06
2023-11-10,58.33
2023-11-13,58.48
2023-11-14,60.21
2023-11-15,60.2
2023-11-16,60.07
2023-11-17,60.9
2023-11-20,61.18
2023-11-21,60.92
2023-11-22,61.02
2023-11-24,61.67
2023-11-27,61.48
2023-11-28,61.48
2023-11-29,61.76
2023-11-30,61.62
2023-12-01,62.21
2023-12-04,61.87
2023-12-05,61.81
2023-12-06,61.82
2023-12-07,62.04
2023-12-08,62.38
2023-12-11,62.47
2023-12-12,62.58
2023-12-13,63.46
2023-12-14,64.19
2023-12-15,63.48
2023-12-18,63.21
2023-12-19,63.87
2023-12-20,63.12
2023-12-21,64.06
2023-12-22,64.1
2023-12-26,64.5
2023-12-27,64.86
2023-12-28,64.42
2023-12-29,64.48
2024-01-02,63.67
2024-01-03,63.13
2024-01-04,63.49
2024-01-05,63.37
2024-01-08,64.09
2024-01-09,63.45
2024-01-10,63.72
2024-01-11,63.44
2024-01-12,63.62
2024-01-16,62.41
2024-01-17,61.92
2024-01-18,62.47
2024-01-19,62.49
2024-01-22,62.6
2024-01-23,62.45
2024-01-24,63.07
2024-01-25,63.36
2024-01-26,63.93
2024-01-29,64.14
2024-01-30,64.17
2024-01-31,63.69
2024-02-01,64.32
2024-02-02,63.7
2024-02-05,63.33
2024-02-06,63.84
2024-02-07,63.63
2024-02-08,63.63
2024-02-09,63.85
2024-02-12,63.9
2024-02-13,62.66
2024-02-14,63.54
2024-02-15,64.24
2024-02-16,64.34
2024-02-20,64.67
2024-02-21,64.75
2024-02-22,65.4
2024-02-23,65.48
2024-02-26,65.41
2024-02-27,65.52
2024-02-28,65.19
2024-02-29,65.22
2024-03-01,65.77
2024-03-04,65.68
2024-03-05,65.41
2024-03-06,66.11
2024-03-07,67.14
2024-03-08,66.84
2024-03-11,66.85
2024-03-12,67.5
2024-03-13,67.62
2024-03-14,67.12
2024-03-15,66.69
2024-03-18,66.3
2024-03-19,66.41
2024-03-20,67.21
2024-03-21,67.04
2024-03-22,66.88
2024-03-25,66.95
2024-03-26,67.05
2024-03-27,67.46
2024-03-28,67.34
2024-04-01,67.22
2024-04-02,66.64
2024-04-03,67.11
2024-04-04,66.59
2024-04-05,66.76
2024-04-08,67.1
2024-04-09,66.96
2024-04-10,66.17
2024-04-11,66.21
2024-04-12,65.07
2024-04-15,64.97
2024-04-16,64.45
2024-04-17,64.67
2024-04-18,64.52
2024-04-19,64.68
2024-04-22,65.4
2024-04-23,66.32
2024-04-24,66.01
2024-04-25,65.89
2024-04-26,66.39
2024-04-29,66.6
2024-04-30,65.62
2024-05-01,65.54
