date,close
2019-06-21,90.23
2019-06-24,89.92
2019-06-25,88.59
2019-06-26,86.82
2019-06-27,87.1
2019-06-28,87.4
2019-07-01,87.36
2019-07-02,88.88
2019-07-03,89.94
2019-07-05,89.62
2019-07-08,89.94
2019-07-09,90.24
2019-07-10,90.76
2019-07-11,89.58
2019-07-12,89.46
2019-07-15,89.39
2019-07-16,89.18
2019-07-17,88.88
2019-07-18,88.88
2019-07-19,87.43
2019-07-22,87.35
2019-07-23,88.34
2019-07-24,88.41
2019-07-25,87.89
2019-07-26,88.29
2019-07-29,88.53
2019-07-30,89.24
2019-07-31,88.89
2019-08-01,88.89
2019-08-02,89.32
2019-08-05,87.56
2019-08-06,88.53
2019-08-07,89.39
2019-08-08,90.96
2019-08-09,90.85
2019-08-12,90.61
2019-08-13,90.74
2019-08-14,89.36
2019-08-15,90.25
2019-08-16,91.18
2019-08-19,91.84
2019-08-20,91.19
2019-08-21,91.57
2019-08-22,91.99
2019-08-23,90.7
2019-08-26,91.4
2019-08-27,91.14
2019-08-28,91.44
2019-08-29,92.15
2019-08-30,92.22
2019-09-03,93.14
2019-09-04,93.92
2019-09-05,93.24
2019-09-06,93.45
2019-09-09,93.0
2019-09-10,92.04
2019-09-11,92.14
2019-09-12,92.63
2019-09-13,91.64
2019-09-16,92.44
2019-09-17,93.44
2019-09-18,93.12
2019-09-19,93.45
2019-09-20,93.45
2019-09-23,93.6
2019-09-24,92.65
2019-09-25,92.83
2019-09-26,93.61
2019-09-27,93.09
2019-09-30,93.25
2019-10-01,92.37
2019-10-02,91.98
2019-10-03,92.87
2019-10-04,93.43
2019-10-07,93.23
2019-10-08,92.74
2019-10-09,92.92
2019-10-10,93.07
2019-10-11,93.03
2019-10-14,93.07
2019-10-15,93.19
2019-10-16,93.2
2019-10-17,93.81
2019-10-18,94.53
2019-10-21,95.25
2019-10-22,94.97
2019-10-23,95.18
2019-10-24,94.94
2019-10-25,94.13
2019-10-28,93.56
2019-10-29,94.13
2019-10-30,94.47
2019-10-31,94.3
2019-11-01,94.28
2019-11-04,93.62
2019-11-05,92.03
2019-11-06,92.23
2019-11-07,91.31
2019-11-08,91.09
2019-11-11,91.29
2019-11-12,90.6
2019-11-13,91.43
2019-11-14,92.14
2019-11-15,92.64
2019-11-18,93.09
2019-11-19,93.25
2019-11-20,93.2
2019-11-21,91.89
2019-11-22,91.55
2019-11-25,91.84
2019-11-26,93.06
2019-11-27,93.5
2019-11-29,93.07
2019-12-02,91.66
2019-12-03,92.25
2019-12-04,92.63
2019-12-05,92.68
2019-12-06,92.87
2019-12-09,93.05
2019-12-10,92.51
2019-12-11,91.57
2019-12-12,90.33
2019-12-13,90.35
2019-12-16,91.0
2019-12-17,90.14
2019-12-18,90.27
2019-12-19,91.07
2019-12-20,91.57
2019-12-23,91.11
2019-12-24,91.35
2019-12-26,91.75
2019-12-27,92.04
2019-12-30,92.13
2019-12-31,92.79
2020-01-02,91.7
2020-01-03,92.27
2020-01-06,92.38
2020-01-07,91.35
2020-01-08,91.63
2020-01-09,91.58
2020-01-10,92.28
2020-01-13,93.39
2020-01-14,93.04
2020-01-15,93.88
2020-01-16,94.63
2020-01-17,94.72
2020-01-21,95.62
2020-01-22,94.98
2020-01-23,95.78
2020-01-24,95.45
2020-01-27,94.99
2020-01-28,95.37
2020-01-29,95.02
2020-01-30,95.09
2020-01-31,93.93
2020-02-03,94.24
2020-02-04,95.21
2020-02-05,95.27
2020-02-06,95.59
2020-02-07,95.57
2020-02-10,96.64
2020-02-11,97.37
2020-02-12,97.95
2020-02-13,98.54
2020-02-14,99.56
2020-02-18,99.45
2020-02-19,98.11
2020-02-20,99.28
2020-02-21,99.57
2020-02-24,98.21
2020-02-25,95.55
2020-02-26,94.52
2020-02-27,89.49
2020-02-28,87.33
2020-03-02,91.06
2020-03-03,90.85
2020-03-04,94.28
2020-03-05,92.26
2020-03-06,90.67
2020-03-09,83.68
2020-03-10,86.54
2020-03-11,81.34
2020-03-12,73.1
2020-03-13,79.48
2020-03-16,65.39
2020-03-17,69.17
2020-03-18,62.59
2020-03-19,62.81
2020-03-20,59.68
2020-03-23,56.91
2020-03-24,62.03
2020-03-25,65.37
2020-03-26,69.98
2020-03-27,70.05
2020-03-30,71.58
2020-03-31,69.85
2020-04-01,65.26
2020-04-02,65.48
2020-04-03,64.53
2020-04-06,69.31
2020-04-07,69.95
2020-04-08,74.72
2020-04-09,78.91
2020-04-13,75.59
2020-04-14,77.71
2020-04-15,74.63
2020-04-16,73.78
2020-04-17,76.11
2020-04-20,73.28
2020-04-21,71.95
2020-04-22,73.05
2020-04-23,72.44
2020-04-24,72.75
2020-04-27,75.24
2020-04-28,75.86
2020-04-29,77.0
2020-04-30,76.11
2020-05-01,73.54
2020-05-04,73.18
2020-05-05,73.54
2020-05-06,72.22
2020-05-07,73.25
2020-05-08,74.99
2020-05-11,73.9
2020-05-12,70.54
2020-05-13,68.83
2020-05-14,69.07
2020-05-15,68.8
2020-05-18,72.87
2020-05-19,71.89
2020-05-20,72.53
2020-05-21,72.59
2020-05-22,73.57
2020-05-26,76.32
2020-05-27,77.84
2020-05-28,78.21
2020-05-29,77.43
2020-06-01,79.22
2020-06-02,79.86
2020-06-03,82.42
2020-06-04,81.6
2020-06-05,84.69
2020-06-08,86.79
2020-06-09,85.35
2020-06-10,83.18
2020-06-11,77.84
2020-06-12,80.63
2020-06-15,81.77
2020-06-16,83.38
2020-06-17,82.17
2020-06-18,81.27
2020-06-19,80.09
2020-06-22,80.01
2020-06-23,79.68
2020-06-24,77.41
2020-06-25,77.63
2020-06-26,76.14
2020-06-29,77.61
2020-06-30,78.53
2020-07-01,80.34
2020-07-02,80.11
2020-07-06,80.07
2020-07-07,78.48
2020-07-08,78.37
2020-07-09,77.88
2020-07-10,78.12
2020-07-13,77.19
2020-07-14,77.84
2020-07-15,78.6
2020-07-16,77.66
2020-07-17,78.67
2020-07-20,77.73
2020-07-21,77.92
2020-07-22,79.11
2020-07-23,78.78
2020-07-24,78.2
2020-07-27,78.94
2020-07-28,80.51
2020-07-29,82.07
2020-07-30,81.54
2020-07-31,81.39
2020-08-03,80.31
2020-08-04,81.51
2020-08-05,81.1
2020-08-06,81.23
2020-08-07,82.39
2020-08-10,82.52
2020-08-11,81.33
2020-08-12,82.15
2020-08-13,81.14
2020-08-14,81.15
2020-08-17,81.81
2020-08-18,81.42
2020-08-19,79.99
2020-08-20,80.75
2020-08-21,80.88
2020-08-24,81.4
2020-08-25,81.61
2020-08-26,80.86
2020-08-27,82.05
2020-08-28,82.59
2020-08-31,81.75
2020-09-01,81.81
2020-09-02,83.33
2020-09-03,82.33
2020-09-04,81.9
2020-09-08,80.9
2020-09-09,81.7
2020-09-10,80.7
2020-09-11,80.25
2020-09-14,82.21
2020-09-15,83.2
2020-09-16,83.64
2020-09-17,82.01
2020-09-18,80.16
2020-09-21,77.75
2020-09-22,78.68
2020-09-23,76.31
2020-09-24,76.72
2020-09-25,77.7
2020-09-28,79.29
2020-09-29,78.72
2020-09-30,78.96
2020-10-01,80.54
2020-10-02,81.93
2020-10-05,82.4
2020-10-06,81.86
2020-10-07,81.98
2020-10-08,83.35
2020-10-09,83.02
2020-10-12,83.41
2020-10-13,81.98
2020-10-14,80.98
2020-10-15,81.4
2020-10-16,80.82
2020-10-19,79.56
2020-10-20,80.13
2020-10-21,79.89
2020-10-22,79.88
2020-10-23,80.36
2020-10-26,79.21
2020-10-27,77.94
2020-10-28,76.08
2020-10-29,77.1
2020-10-30,76.59
2020-11-02,78.42
2020-11-03,79.93
2020-11-04,80.07
2020-11-05,80.45
2020-11-06,79.9
2020-11-09,82.73
2020-11-10,83.94
2020-11-11,84.26
2020-11-12,83.16
2020-11-13,85.38
2020-11-16,86.34
2020-11-17,86.42
2020-11-18,84.74
2020-11-19,85.07
2020-11-20,84.61
2020-11-23,84.77
2020-11-24,85.22
2020-11-25,85.27
2020-11-27,84.89
2020-11-30,84.0
2020-12-01,85.08
2020-12-02,84.41
2020-12-03,85.12
2020-12-04,86.42
2020-12-07,85.67
2020-12-08,85.37
2020-12-09,84.84
2020-12-10,84.47
2020-12-11,84.39
2020-12-14,84.02
2020-12-15,85.74
2020-12-16,85.84
2020-12-17,86.67
2020-12-18,84.93
2020-12-21,84.45
2020-12-22,85.04
2020-12-23,84.49
2020-12-24,83.88
2020-12-28,84.38
2020-12-29,83.66
2020-12-30,84.12
2020-12-31,84.93
2021-01-04,82.17
2021-01-05,82.29
2021-01-06,82.43
2021-01-07,82.27
2021-01-08,83.07
2021-01-11,81.97
2021-01-12,82.16
2021-01-13,83.16
2021-01-14,83.65
2021-01-15,84.61
2021-01-19,84.37
2021-01-20,85.98
2021-01-21,85.57
2021-01-22,85.77
2021-01-25,86.42
2021-01-26,87.03
2021-01-27,85.49
2021-01-28,85.95
2021-01-29,84.96
2021-02-01,86.9
2021-02-02,87.42
2021-02-03,87.2
2021-02-04,87.8
2021-02-05,88.11
2021-02-08,88.59
2021-02-09,88.9
2021-02-10,89.38
2021-02-11,89.57
2021-02-12,89.59
2021-02-16,88.9
2021-02-17,88.79
2021-02-18,88.41
2021-02-19,88.92
2021-02-22,89.66
2021-02-23,90.22
2021-02-24,90.91
2021-02-25,89.17
2021-02-26,87.87
2021-03-01,88.26
2021-03-02,87.41
2021-03-03,86.91
2021-03-04,85.92
2021-03-05,86.86
2021-03-08,87.61
2021-03-09,88.19
2021-03-10,89.07
2021-03-11,90.11
2021-03-12,91.62
2021-03-15,92.98
2021-03-16,92.6
2021-03-17,92.68
2021-03-18,91.74
2021-03-19,90.49
2021-03-22,91.13
2021-03-23,91.0
2021-03-24,90.49
2021-03-25,90.88
2021-03-26,92.84
2021-03-29,92.3
2021-03-30,92.42
2021-03-31,91.86
2021-04-01,93.53
2021-04-05,93.89
2021-04-06,94.13
2021-04-07,94.2
2021-04-08,93.85
2021-04-09,93.74
2021-04-12,94.29
2021-04-13,94.76
2021-04-14,94.26
2021-04-15,95.91
2021-04-16,96.12
2021-04-19,96.31
2021-04-20,97.1
2021-04-21,97.74
2021-04-22,97.21
2021-04-23,97.78
2021-04-26,98.07
2021-04-27,98.06
2021-04-28,97.85
2021-04-29,98.69
2021-04-30,99.08
2021-05-03,98.89
2021-05-04,98.25
2021-05-05,96.62
2021-05-06,97.16
2021-05-07,98.44
2021-05-10,98.41
2021-05-11,97.17
2021-05-12,94.71
2021-05-13,95.94
2021-05-14,97.08
2021-05-17,97.18
2021-05-18,97.2
2021-05-19,96.89
2021-05-20,97.98
2021-05-21,97.88
2021-05-24,99.1
2021-05-25,99.07
2021-05-26,99.51
2021-05-27,99.28
2021-05-28,99.88
2021-06-01,101.68
2021-06-02,102.87
2021-06-03,102.49
2021-06-04,102.54
2021-06-07,103.75
2021-06-08,104.61
2021-06-09,104.75
2021-06-10,105.5
2021-06-11,105.08
2021-06-14,105.49
2021-06-15,104.36
2021-06-16,103.68
2021-06-17,103.55
2021-06-18,101.79
2021-06-21,103.89
2021-06-22,103.35
2021-06-23,103.17
2021-06-24,102.22
2021-06-25,102.91
2021-06-28,102.61
2021-06-29,102.33
2021-06-30,101.79
2021-07-01,102.23
2021-07-02,102.54
2021-07-06,103.29
2021-07-07,103.65
2021-07-08,103.36
2021-07-09,105.06
2021-07-12,105.96
2021-07-13,104.48
2021-07-14,105.21
2021-07-15,105.38
2021-07-16,105.31
2021-07-19,103.39
2021-07-20,105.83
2021-07-21,105.82
2021-07-22,104.98
2021-07-23,105.85
2021-07-26,105.9
2021-07-27,106.5
2021-07-28,106.13
2021-07-29,106.15
2021-07-30,106.29
2021-08-02,106.06
2021-08-03,106.19
2021-08-04,105.86
2021-08-05,107.1
2021-08-06,106.91
2021-08-09,106.34
2021-08-10,105.33
2021-08-11,105.95
2021-08-12,106.18
2021-08-13,106.76
2021-08-16,106.63
2021-08-17,106.52
2021-08-18,105.55
2021-08-19,106.06
2021-08-20,106.59
2021-08-23,106.39
2021-08-24,105.92
2021-08-25,105.85
2021-08-26,105.89
2021-08-27,107.0
2021-08-30,108.07
2021-08-31,108.58
2021-09-01,110.32
2021-09-02,110.9
2021-09-03,110.92
2021-09-07,109.67
2021-09-08,110.22
2021-09-09,107.98
2021-09-10,106.4
2021-09-13,107.12
2021-09-14,106.93
2021-09-15,107.27
2021-09-16,107.36
2021-09-17,106.4
2021-09-20,105.75
2021-09-21,105.8
2021-09-22,106.83
2021-09-23,106.62
2021-09-24,104.83
2021-09-27,103.42
2021-09-28,102.72
2021-09-29,103.49
2021-09-30,101.78
2021-10-01,103.22
2021-10-04,103.24
2021-10-05,102.53
2021-10-06,103.51
2021-10-07,103.79
2021-10-08,102.81
2021-10-11,103.07
2021-10-12,104.42
2021-10-13,105.18
2021-10-14,106.46
2021-10-15,106.38
2021-10-18,106.65
2021-10-19,106.7
2021-10-20,108.38
2021-10-21,108.53
2021-10-22,109.04
2021-10-25,109.39
2021-10-26,109.69
2021-10-27,108.76
2021-10-28,110.28
2021-10-29,109.04
2021-11-01,109.58
2021-11-02,110.1
2021-11-03,110.47
2021-11-04,109.42
2021-11-05,109.98
2021-11-08,109.89
2021-11-09,110.08
2021-11-10,109.57
2021-11-11,109.75
2021-11-12,109.67
2021-11-15,110.44
2021-11-16,109.71
2021-11-17,110.05
2021-11-18,110.07
2021-11-19,109.42
2021-11-22,108.88
2021-11-23,109.76
2021-11-24,111.09
2021-11-26,108.0
2021-11-29,108.8
2021-11-30,106.74
2021-12-01,104.98
2021-12-02,108.13
2021-12-03,107.77
2021-12-06,109.66
2021-12-07,111.24
2021-12-08,112.04
2021-12-09,110.42
2021-12-10,110.76
2021-12-13,111.8
2021-12-14,110.37
2021-12-15,111.92
2021-12-16,111.88
2021-12-17,111.74
2021-12-20,110.87
2021-12-21,112.12
2021-12-22,113.27
2021-12-23,113.15
2021-12-27,114.0
2021-12-28,114.42
2021-12-29,115.19
2021-12-30,115.69
2021-12-31,116.01
2022-01-03,115.1
2022-01-04,114.96
2022-01-05,111.67
2022-01-06,111.77
2022-01-07,111.03
2022-01-10,110.39
2022-01-11,110.56
2022-01-12,110.69
2022-01-13,110.47
2022-01-14,109.47
2022-01-18,108.32
2022-01-19,106.86
2022-01-20,105.49
2022-01-21,105.23
2022-01-24,105.43
2022-01-25,105.01
2022-01-26,103.37
2022-01-27,101.66
2022-01-28,104.95
2022-01-31,106.24
2022-02-01,105.86
2022-02-02,107.21
2022-02-03,106.07
2022-02-04,105.02
2022-02-07,104.87
2022-02-08,104.38
2022-02-09,106.74
2022-02-10,104.22
2022-02-11,103.27
2022-02-14,102.33
2022-02-15,103.25
2022-02-16,103.73
2022-02-17,102.63
2022-02-18,102.01
2022-02-22,101.64
2022-02-23,99.96
2022-02-24,101.64
2022-02-25,104.09
2022-02-28,102.54
2022-03-01,102.0
2022-03-02,103.91
2022-03-03,104.76
2022-03-04,105.24
2022-03-07,103.16
2022-03-08,102.66
2022-03-09,104.24
2022-03-10,104.5
2022-03-11,103.67
2022-03-14,102.86
2022-03-15,103.55
2022-03-16,104.78
2022-03-17,106.4
2022-03-18,106.4
2022-03-21,105.75
2022-03-22,106.02
2022-03-23,104.26
2022-03-24,104.92
2022-03-25,106.23
2022-03-28,107.36
2022-03-29,110.51
2022-03-30,109.71
2022-03-31,108.37
2022-04-01,110.48
2022-04-04,109.94
2022-04-05,109.4
2022-04-06,110.7
2022-04-07,109.6
2022-04-08,109.78
2022-04-11,108.6
2022-04-12,108.44
2022-04-13,109.21
2022-04-14,108.74
2022-04-18,108.3
2022-04-19,110.66
2022-04-20,112.5
2022-04-21,111.72
2022-04-22,109.76
2022-04-25,109.48
2022-04-26,107.68
2022-04-27,106.97
2022-04-28,108.94
2022-04-29,103.94
2022-05-02,101.43
2022-05-03,102.69
2022-05-04,103.87
2022-05-05,101.1
2022-05-06,99.9
2022-05-09,95.5
2022-05-10,93.76
2022-05-11,93.56
2022-05-12,94.29
2022-05-13,96.78
2022-05-16,96.17
2022-05-17,97.48
2022-05-18,94.65
2022-05-19,94.23
2022-05-20,94.83
2022-05-23,95.93
2022-05-24,96.74
2022-05-25,97.56
2022-05-26,97.68
2022-05-27,100.3
2022-05-31,99.07
2022-06-01,98.25
2022-06-02,99.6
2022-06-03,98.27
2022-06-06,97.96
2022-06-07,99.31
2022-06-08,97.02
2022-06-09,94.72
2022-06-10,92.62
2022-06-13,87.99
2022-06-14,87.32
2022-06-15,89.39
2022-06-16,87.04
2022-06-17,87.7
2022-06-21,88.92
2022-06-22,90.05
2022-06-23,91.18
2022-06-24,93.12
2022-06-27,92.98
2022-06-28,91.85
2022-06-29,91.28
2022-06-30,91.11
2022-07-01,92.75
2022-07-05,92.49
2022-07-06,92.32
2022-07-07,92.57
2022-07-08,92.08
2022-07-11,91.88
2022-07-12,91.52
2022-07-13,91.08
2022-07-14,90.26
2022-07-15,91.79
2022-07-18,91.14
2022-07-19,93.5
2022-07-20,93.28
