date,close
2021-07-21,42.5
2021-07-22,40.9
2021-07-23,42.14
2021-07-26,41.2
2021-07-27,41.435
2021-07-28,42.0
2021-07-29,43.69
2021-07-30,44.79
2021-08-02,45.99
2021-08-03,58.23
2021-08-04,57.92
2021-08-05,58.77
2021-08-06,57.67
2021-08-09,69.24
2021-08-10,73.66
2021-08-11,69.09
2021-08-12,71.46
2021-08-13,74.77
2021-08-16,71.8
2021-08-17,71.82
2021-08-18,71.69
2021-08-19,69.15
2021-08-20,69.11
2021-08-23,66.09
2021-08-24,67.39
2021-08-25,70.0
2021-08-26,70.1
2021-08-27,68.64
2021-08-30,66.92
2021-08-31,66.3
2021-09-01,67.79
2021-09-02,66.07
2021-09-03,67.0
2021-09-07,64.21
2021-09-08,63.56
2021-09-09,63.69
2021-09-10,61.67
2021-09-13,60.5
2021-09-14,60.18
2021-09-15,61.03
2021-09-16,61.36
2021-09-17,61.82
2021-09-20,60.33
2021-09-21,61.8
2021-09-22,59.99
2021-09-23,61.97
2021-09-24,60.25
2021-09-27,58.37
2021-09-28,57.91
2021-09-29,56.49
2021-09-30,55.26
2021-10-01,54.56
2021-10-04,52.36
2021-10-05,52.3
2021-10-06,50.77
2021-10-07,53.48
2021-10-08,52.1
2021-10-11,50.43
2021-10-12,50.37
2021-10-13,49.99
2021-10-14,51.34
2021-10-15,52.43
2021-10-18,52.44
2021-10-19,52.37
2021-10-20,55.09
2021-10-21,56.35
2021-10-22,54.62
2021-10-25,54.83
2021-10-26,53.77
2021-10-27,51.0
2021-10-28,51.08
2021-10-29,50.47
2021-11-01,49.84
2021-11-02,48.96
2021-11-03,52.75
2021-11-04,51.68
2021-11-05,51.39
2021-11-08,50.23
2021-11-09,50.42
2021-11-10,49.64
2021-11-11,50.33
2021-11-12,51.46
2021-11-15,51.2
2021-11-16,51.63
2021-11-17,50.51
2021-11-18,57.91
2021-11-19,55.43
2021-11-22,58.9
2021-11-23,56.53
2021-11-24,55.52
2021-11-26,53.88
2021-11-29,55.87
2021-11-30,54.28
2021-12-01,51.92
2021-12-02,53.95
2021-12-03,53.06
2021-12-06,52.1
2021-12-07,54.45
2021-12-08,54.61
2021-12-09,51.81
2021-12-10,50.61
2021-12-13,49.9
2021-12-14,49.98
2021-12-15,49.07
2021-12-16,49.06
2021-12-17,49.53
2021-12-20,46.78
2021-12-21,47.57
2021-12-22,48.11
2021-12-23,49.11
2021-12-27,48.7
2021-12-28,48.58
2021-12-29,54.5
2021-12-30,55.46
2021-12-31,55.54
2022-01-03,56.14
2022-01-04,57.18
2022-01-05,56.1
2022-01-06,56.8
2022-01-07,56.82
2022-01-10,53.12
2022-01-11,55.73
2022-01-12,56.22
2022-01-13,56.64
2022-01-14,56.33
2022-01-18,54.41
2022-01-19,53.5
2022-01-20,51.94
2022-01-21,52.47
2022-01-24,54.46
2022-01-25,54.06
2022-01-26,53.47
2022-01-27,56.4
2022-01-28,55.71
2022-01-31,55.83
2022-02-01,57.41
2022-02-02,56.21
2022-02-03,56.01
2022-02-04,57.5
2022-02-07,59.24
2022-02-08,62.11
2022-02-09,61.94
2022-02-10,62.92
2022-02-11,61.68
2022-02-14,60.35
2022-02-15,59.95
2022-02-16,60.22
2022-02-17,58.29
2022-02-18,58.91
2022-02-22,58.09
2022-02-23,55.18
2022-02-24,55.4
2022-02-25,56.01
2022-02-28,53.63
2022-03-01,50.93
2022-03-02,54.33
2022-03-03,55.29
2022-03-04,50.48
2022-03-07,42.34
2022-03-08,44.93
2022-03-09,45.88
2022-03-10,47.26
2022-03-11,46.9
2022-03-14,47.45
2022-03-15,47.65
2022-03-16,51.49
2022-03-17,51.96
2022-03-18,50.92
2022-03-21,50.89
2022-03-22,51.66
2022-03-23,49.8
2022-03-24,51.49
2022-03-25,53.16
2022-03-28,53.34
2022-03-29,56.0
2022-03-30,52.79
2022-03-31,51.36
2022-04-01,50.15
2022-04-04,52.25
2022-04-05,49.59
2022-04-06,47.08
2022-04-07,46.4
2022-04-08,48.36
2022-04-11,48.39
2022-04-12,47.24
2022-04-13,49.53
2022-04-14,49.1
2022-04-18,48.96
2022-04-19,50.71
2022-04-20,50.35
2022-04-21,48.87
2022-04-22,45.86
2022-04-25,46.72
2022-04-26,45.67
2022-04-27,46.69
2022-04-28,49.49
2022-04-29,47.12
2022-05-02,49.17
2022-05-03,50.24
2022-05-04,50.74
2022-05-05,49.53
2022-05-06,49.17
2022-05-09,47.59
2022-05-10,45.9
2022-05-11,45.17
2022-05-12,47.77
2022-05-13,49.17
2022-05-16,48.43
2022-05-17,49.53
2022-05-18,46.84
2022-05-19,44.82
2022-05-20,43.33
2022-05-23,43.9
2022-05-24,40.25
2022-05-25,41.45
2022-05-26,44.55
2022-05-27,42.67
2022-05-31,41.21
