date,close
2019-06-21,80.13
2019-06-24,80.15
2019-06-25,79.98
2019-06-26,79.99
2019-06-27,80.29
2019-06-28,80.42
2019-07-01,80.49
2019-07-02,80.54
2019-07-03,80.8
2019-07-05,80.65
2019-07-08,80.47
2019-07-09,80.3
2019-07-10,80.3
2019-07-11,80.13
2019-07-12,80.29
2019-07-15,80.48
2019-07-16,80.44
2019-07-17,80.63
2019-07-18,80.61
2019-07-19,80.61
2019-07-22,80.81
2019-07-23,80.93
2019-07-24,81.08
2019-07-25,81.17
2019-07-26,81.03
2019-07-29,81.13
2019-07-30,80.94
2019-07-31,81.08
2019-08-01,80.88
2019-08-02,80.72
2019-08-05,80.28
2019-08-06,80.64
2019-08-07,81.01
2019-08-08,81.32
2019-08-09,81.48
2019-08-12,80.42
2019-08-13,80.41
2019-08-14,79.95
2019-08-15,80.4
2019-08-16,80.96
2019-08-19,80.47
2019-08-20,80.47
2019-08-21,80.7
2019-08-22,80.8
2019-08-23,80.72
2019-08-26,80.65
2019-08-27,80.92
2019-08-28,81.08
2019-08-29,81.13
2019-08-30,81.3
2019-09-03,81.12
2019-09-04,81.56
2019-09-05,81.29
2019-09-06,81.45
2019-09-09,80.97
2019-09-10,80.32
2019-09-11,80.44
2019-09-12,80.62
2019-09-13,79.91
2019-09-16,80.03
2019-09-17,80.4
2019-09-18,80.37
2019-09-19,80.71
2019-09-20,81.04
2019-09-23,81.03
2019-09-24,80.47
2019-09-25,80.36
2019-09-26,80.48
2019-09-27,80.44
2019-09-30,80.6
2019-10-01,80.08
2019-10-02,79.91
2019-10-03,80.38
2019-10-04,80.94
2019-10-07,80.35
2019-10-08,80.46
2019-10-09,80.5
2019-10-10,80.45
2019-10-11,80.45
2019-10-14,80.49
2019-10-15,80.46
2019-10-16,80.35
2019-10-17,80.44
2019-10-18,80.59
2019-10-21,80.26
2019-10-22,80.42
2019-10-23,80.67
2019-10-24,80.63
2019-10-25,80.7
2019-10-28,80.42
2019-10-29,80.39
2019-10-30,80.5
2019-10-31,80.7
2019-11-01,80.7
2019-11-04,80.35
2019-11-05,79.99
2019-11-06,80.19
2019-11-07,79.87
2019-11-08,79.81
2019-11-11,79.8
2019-11-12,79.68
2019-11-13,79.6
2019-11-14,80.04
2019-11-15,80.05
2019-11-18,79.8
2019-11-19,79.63
2019-11-20,79.77
2019-11-21,79.82
2019-11-22,79.85
2019-11-25,79.92
2019-11-26,80.06
2019-11-27,80.02
2019-11-29,79.92
2019-12-02,79.28
2019-12-03,79.36
2019-12-04,79.45
2019-12-05,79.76
2019-12-06,79.9
2019-12-09,80.01
2019-12-10,80.11
2019-12-11,80.63
2019-12-12,80.66
2019-12-13,80.99
2019-12-16,80.99
2019-12-17,81.25
2019-12-18,81.3
2019-12-19,81.11
2019-12-20,81.26
2019-12-23,81.04
2019-12-24,81.17
2019-12-26,81.18
2019-12-27,81.5
2019-12-30,81.33
2019-12-31,81.41
2020-01-02,81.51
2020-01-03,81.32
2020-01-06,81.19
2020-01-07,81.32
2020-01-08,81.58
2020-01-09,81.4
2020-01-10,81.46
2020-01-13,81.62
2020-01-14,81.63
2020-01-15,81.93
2020-01-16,82.0
2020-01-17,81.93
2020-01-21,81.87
2020-01-22,81.94
2020-01-23,81.72
2020-01-24,81.82
2020-01-27,81.59
2020-01-28,82.0
2020-01-29,82.38
2020-01-30,82.41
2020-01-31,82.55
2020-02-03,82.15
2020-02-04,82.21
2020-02-05,82.14
2020-02-06,82.33
2020-02-07,82.38
2020-02-10,82.37
2020-02-11,82.35
2020-02-12,82.47
2020-02-13,82.53
2020-02-14,82.7
2020-02-18,82.82
2020-02-19,82.88
2020-02-20,82.97
2020-02-21,83.27
2020-02-24,82.99
2020-02-25,82.28
2020-02-26,82.39
2020-02-27,81.33
2020-02-28,81.07
2020-03-02,81.43
2020-03-03,82.17
2020-03-04,83.01
2020-03-05,82.36
2020-03-06,81.92
2020-03-09,75.85
2020-03-10,77.5
2020-03-11,74.03
2020-03-12,69.91
2020-03-13,71.92
2020-03-16,69.0
2020-03-17,67.42
2020-03-18,62.0
2020-03-19,62.6
2020-03-20,65.06
2020-03-23,65.38
2020-03-24,67.99
2020-03-25,70.51
2020-03-26,72.01
2020-03-27,71.76
2020-03-30,70.67
2020-03-31,70.4
2020-04-01,67.71
2020-04-02,68.9
2020-04-03,68.66
2020-04-06,70.25
2020-04-07,70.41
2020-04-08,70.87
2020-04-09,72.28
2020-04-13,72.35
2020-04-14,72.74
