date,close
2019-06-21,43.21
2019-06-24,43.02
2019-06-25,41.57
2019-06-26,42.62
2019-06-27,43.9
2019-06-28,43.55
2019-07-01,43.94
2019-07-02,44.26
2019-07-03,44.23
2019-07-05,43.92
2019-07-08,42.48
2019-07-09,43.21
2019-07-10,42.33
2019-07-11,42.23
2019-07-12,42.36
2019-07-15,43.05
2019-07-16,41.57
2019-07-17,40.86
2019-07-18,39.8
2019-07-19,40.39
2019-07-22,39.7
2019-07-23,40.89
2019-07-24,41.28
2019-07-25,40.24
2019-07-26,40.07
2019-07-29,40.16
2019-07-30,39.92
2019-07-31,39.17
2019-08-01,37.3
2019-08-02,37.76
2019-08-05,34.89
2019-08-06,36.14
2019-08-07,36.09
2019-08-08,36.75
2019-08-09,35.53
2019-08-12,35.53
2019-08-13,36.47
2019-08-14,35.01
2019-08-15,35.36
2019-08-16,37.08
2019-08-19,42.31
2019-08-20,42.19
2019-08-21,41.43
2019-08-22,40.19
2019-08-23,39.62
2019-08-26,40.31
2019-08-27,40.35
2019-08-28,40.76
2019-08-29,41.61
2019-08-30,41.37
2019-09-03,43.43
2019-09-04,45.0
2019-09-05,46.25
2019-09-06,46.9
2019-09-09,49.61
2019-09-10,50.21
2019-09-11,49.81
2019-09-12,48.97
2019-09-13,50.17
2019-09-16,49.79
2019-09-17,49.77
2019-09-18,49.01
2019-09-19,49.41
2019-09-20,47.83
2019-09-23,47.57
2019-09-24,45.61
2019-09-25,46.74
2019-09-26,45.98
2019-09-27,44.55
2019-09-30,44.75
2019-10-01,44.56
2019-10-02,43.92
2019-10-03,46.2
2019-10-04,47.57
2019-10-07,48.2
2019-10-08,46.27
2019-10-09,46.79
2019-10-10,47.72
2019-10-11,48.52
2019-10-14,48.57
2019-10-15,49.32
2019-10-16,50.99
2019-10-17,50.25
2019-10-18,47.55
2019-10-21,49.11
2019-10-22,48.68
2019-10-23,47.97
2019-10-24,48.34
2019-10-25,49.21
2019-10-28,50.01
2019-10-29,49.36
2019-10-30,49.16
2019-10-31,49.19
2019-11-01,50.79
2019-11-04,52.54
2019-11-05,52.33
2019-11-06,51.62
2019-11-07,54.65
2019-11-08,54.67
2019-11-11,53.61
2019-11-12,53.47
2019-11-13,52.78
2019-11-14,43.44
2019-11-15,43.55
2019-11-18,42.25
2019-11-19,41.67
2019-11-20,40.66
2019-11-21,41.43
2019-11-22,41.7
2019-11-25,42.78
2019-11-26,43.25
2019-11-27,43.39
2019-11-29,42.81
2019-12-02,43.61
2019-12-03,42.93
2019-12-04,42.82
2019-12-05,43.86
2019-12-06,44.17
2019-12-09,43.77
2019-12-10,42.9
2019-12-11,42.91
2019-12-12,43.54
2019-12-13,43.53
2019-12-16,44.94
2019-12-17,45.35
2019-12-18,46.1
2019-12-19,46.27
2019-12-20,46.25
2019-12-23,47.12
2019-12-24,47.21
2019-12-26,47.77
2019-12-27,47.07
2019-12-30,46.34
2019-12-31,46.35
2020-01-02,51.06
2020-01-03,50.13
2020-01-06,49.28
2020-01-07,48.9
2020-01-08,49.06
2020-01-09,47.97
2020-01-10,46.86
2020-01-13,51.69
2020-01-14,50.41
2020-01-15,50.37
2020-01-16,48.0
2020-01-17,46.79
2020-01-21,44.13
2020-01-22,43.96
2020-01-23,44.3
2020-01-24,43.56
2020-01-27,43.14
2020-01-28,43.46
2020-01-29,43.92
2020-01-30,43.85
2020-01-31,42.62
2020-02-03,44.11
2020-02-04,45.13
2020-02-05,44.28
2020-02-06,45.28
2020-02-07,45.3
2020-02-10,44.75
2020-02-11,44.22
2020-02-12,45.38
2020-02-13,44.08
2020-02-14,43.56
2020-02-18,41.69
2020-02-19,42.95
2020-02-20,43.73
2020-02-21,43.28
2020-02-24,42.76
2020-02-25,43.38
2020-02-26,41.39
2020-02-27,41.0
2020-02-28,42.14
2020-03-02,42.62
2020-03-03,42.66
2020-03-04,43.74
2020-03-05,43.46
2020-03-06,41.96
2020-03-09,39.75
2020-03-10,41.82
2020-03-11,39.78
2020-03-12,36.61
2020-03-13,38.01
2020-03-16,33.12
2020-03-17,34.13
2020-03-18,30.33
2020-03-19,33.34
2020-03-20,33.39
2020-03-23,34.08
2020-03-24,35.44
2020-03-25,34.96
2020-03-26,35.75
2020-03-27,33.53
2020-03-30,32.86
2020-03-31,33.11
2020-04-01,32.0
2020-04-02,32.33
2020-04-03,32.0
2020-04-06,33.88
2020-04-07,36.64
2020-04-08,35.54
2020-04-09,35.62
2020-04-13,34.39
2020-04-14,35.24
2020-04-15,34.9
2020-04-16,35.81
2020-04-17,36.69
2020-04-20,36.26
2020-04-21,35.46
2020-04-22,35.94
2020-04-23,35.95
2020-04-24,36.49
2020-04-27,37.18
2020-04-28,36.65
2020-04-29,36.86
2020-04-30,37.53
2020-05-01,34.98
2020-05-04,34.6
2020-05-05,35.01
2020-05-06,35.97
2020-05-07,36.88
2020-05-08,36.49
2020-05-11,36.37
2020-05-12,36.07
2020-05-13,35.03
2020-05-14,34.55
2020-05-15,35.06
2020-05-18,36.6
2020-05-19,35.89
2020-05-20,34.32
2020-05-21,33.09
2020-05-22,29.88
2020-05-26,29.81
2020-05-27,30.83
2020-05-28,29.99
2020-05-29,30.77
2020-06-01,30.76
2020-06-02,31.66
2020-06-03,32.98
2020-06-04,33.54
2020-06-05,34.4
2020-06-08,34.51
2020-06-09,33.1
2020-06-10,32.8
2020-06-11,31.76
2020-06-12,32.47
2020-06-15,33.43
2020-06-16,34.45
2020-06-17,34.59
2020-06-18,35.14
2020-06-19,34.88
2020-06-22,33.9
2020-06-23,34.18
2020-06-24,32.96
2020-06-25,33.9
2020-06-26,34.04
2020-06-29,33.33
2020-06-30,33.6
2020-07-01,33.05
2020-07-02,33.72
2020-07-06,39.78
2020-07-07,39.4
2020-07-08,38.16
2020-07-09,38.14
2020-07-10,37.39
2020-07-13,36.85
2020-07-14,36.28
2020-07-15,35.9
2020-07-16,35.9
2020-07-17,35.36
2020-07-20,35.36
2020-07-21,36.22
2020-07-22,33.88
2020-07-23,33.33
2020-07-24,33.72
2020-07-27,33.11
2020-07-28,34.09
2020-07-29,34.44
2020-07-30,34.15
2020-07-31,34.56
2020-08-03,34.85
2020-08-04,35.47
2020-08-05,35.94
2020-08-06,35.49
2020-08-07,34.37
2020-08-10,35.36
2020-08-11,35.1
2020-08-12,35.72
2020-08-13,34.13
2020-08-14,32.68
2020-08-17,33.66
2020-08-18,33.89
2020-08-19,33.26
2020-08-20,33.62
2020-08-21,33.79
2020-08-24,34.79
2020-08-25,35.88
2020-08-26,36.2
2020-08-27,36.27
2020-08-28,38.49
2020-08-31,37.3
2020-09-01,38.45
2020-09-02,37.93
2020-09-03,36.17
2020-09-04,36.08
2020-09-08,34.25
2020-09-09,34.13
2020-09-10,33.04
2020-09-11,33.25
2020-09-14,35.15
2020-09-15,34.63
2020-09-16,35.24
2020-09-17,35.89
2020-09-18,36.78
2020-09-21,36.24
2020-09-22,35.98
2020-09-23,35.37
2020-09-24,34.52
2020-09-25,32.54
2020-09-28,34.96
2020-09-29,33.65
2020-09-30,36.43
2020-10-01,37.0
2020-10-02,38.55
2020-10-05,40.3
2020-10-06,40.79
2020-10-07,41.51
2020-10-08,41.4
2020-10-09,41.23
2020-10-12,40.87
2020-10-13,39.88
2020-10-14,38.79
2020-10-15,37.83
2020-10-16,38.35
2020-10-19,38.3
2020-10-20,38.68
2020-10-21,39.29
2020-10-22,39.91
2020-10-23,40.0
2020-10-26,39.8
2020-10-27,41.67
2020-10-28,41.5
2020-10-29,41.85
2020-10-30,41.55
2020-11-02,41.61
2020-11-03,40.53
2020-11-04,42.81
2020-11-05,43.91
2020-11-06,44.17
2020-11-09,45.6
2020-11-10,46.42
2020-11-11,46.29
2020-11-12,45.06
2020-11-13,46.38
2020-11-16,47.47
2020-11-17,46.71
2020-11-18,44.56
2020-11-19,45.41
2020-11-20,45.05
2020-11-23,44.51
2020-11-24,44.45
2020-11-25,43.62
2020-11-27,43.11
2020-11-30,42.25
2020-12-01,41.8
2020-12-02,42.1
2020-12-03,42.67
2020-12-04,41.91
2020-12-07,41.28
2020-12-08,40.76
2020-12-09,40.82
2020-12-10,40.81
2020-12-11,39.65
2020-12-14,41.73
2020-12-15,42.16
2020-12-16,44.45
2020-12-17,45.62
2020-12-18,46.23
2020-12-21,45.75
2020-12-22,45.94
2020-12-23,45.46
2020-12-24,44.31
2020-12-28,38.33
2020-12-29,39.6
2020-12-30,41.02
2020-12-31,40.99
2021-01-04,40.66
2021-01-05,41.09
2021-01-06,41.34
2021-01-07,41.99
2021-01-08,43.38
2021-01-11,41.67
2021-01-12,41.64
2021-01-13,41.4
2021-01-14,40.58
2021-01-15,41.1
2021-01-19,41.56
2021-01-20,42.71
2021-01-21,42.94
2021-01-22,42.96
2021-01-25,44.11
2021-01-26,46.94
2021-01-27,50.38
2021-01-28,47.01
2021-01-29,45.58
2021-02-01,47.12
2021-02-02,48.72
2021-02-03,49.16
2021-02-04,50.36
2021-02-05,51.07
2021-02-08,52.66
2021-02-09,54.96
2021-02-10,57.27
2021-02-11,58.7
2021-02-12,61.82
2021-02-16,60.99
2021-02-17,58.85
2021-02-18,58.66
2021-02-19,59.7
2021-02-22,58.3
2021-02-23,59.11
2021-02-24,58.53
2021-02-25,57.34
2021-02-26,55.17
2021-03-01,56.49
2021-03-02,56.54
2021-03-03,55.35
2021-03-04,51.77
2021-03-05,53.98
2021-03-08,51.77
2021-03-09,52.92
2021-03-10,52.09
2021-03-11,52.95
2021-03-12,52.11
2021-03-15,50.88
2021-03-16,50.25
2021-03-17,50.44
2021-03-18,52.8
2021-03-19,52.28
2021-03-22,52.46
2021-03-23,52.52
2021-03-24,51.03
2021-03-25,51.18
2021-03-26,49.21
2021-03-29,48.69
2021-03-30,50.77
2021-03-31,50.46
2021-04-01,50.01
2021-04-05,49.55
2021-04-06,51.04
2021-04-07,49.42
2021-04-08,50.34
2021-04-09,49.38
2021-04-12,49.12
2021-04-13,49.72
2021-04-14,50.02
2021-04-15,48.86
2021-04-16,49.48
2021-04-19,49.16
2021-04-20,47.7
2021-04-21,49.49
2021-04-22,49.74
2021-04-23,51.67
2021-04-26,50.61
2021-04-27,52.48
2021-04-28,51.95
2021-04-29,51.1
2021-04-30,50.4
2021-05-03,48.65
2021-05-04,48.51
2021-05-05,47.6
2021-05-06,48.15
2021-05-07,47.91
2021-05-10,48.67
2021-05-11,47.89
2021-05-12,48.6
2021-05-13,47.09
2021-05-14,48.91
2021-05-17,48.79
2021-05-18,48.84
2021-05-19,49.06
2021-05-20,49.12
2021-05-21,48.06
2021-05-24,48.34
2021-05-25,50.66
2021-05-26,50.71
2021-05-27,50.93
2021-05-28,50.84
2021-06-01,52.1
2021-06-02,50.57
2021-06-03,47.82
2021-06-04,47.73
2021-06-07,47.42
2021-06-08,48.24
2021-06-09,49.51
2021-06-10,49.74
2021-06-11,48.69
2021-06-14,49.27
2021-06-15,48.27
2021-06-16,47.85
2021-06-17,48.13
2021-06-18,47.55
2021-06-21,49.23
2021-06-22,49.16
2021-06-23,50.83
2021-06-24,51.22
2021-06-25,52.39
2021-06-28,52.29
2021-06-29,52.09
2021-06-30,52.62
2021-07-01,52.9
2021-07-02,54.31
2021-07-06,57.74
2021-07-07,59.52
2021-07-08,59.72
2021-07-09,60.03
2021-07-12,60.31
2021-07-13,62.1
2021-07-14,61.89
2021-07-15,62.66
2021-07-16,60.29
2021-07-19,60.39
2021-07-20,60.67
2021-07-21,61.78
2021-07-22,61.63
2021-07-23,59.2
2021-07-26,56.59
2021-07-27,51.9
2021-07-28,55.62
2021-07-29,55.8
2021-07-30,56.4
2021-08-02,57.5
2021-08-03,56.58
2021-08-04,56.85
2021-08-05,56.58
2021-08-06,55.67
2021-08-09,56.01
2021-08-10,55.53
2021-08-11,55.52
2021-08-12,54.69
2021-08-13,52.65
2021-08-16,50.76
2021-08-17,46.35
2021-08-18,48.01
2021-08-19,47.6
2021-08-20,49.89
2021-08-23,51.13
2021-08-24,54.21
2021-08-25,53.67
2021-08-26,54.52
2021-08-27,48.68
2021-08-30,49.01
2021-08-31,50.52
2021-09-01,52.74
2021-09-02,53.14
2021-09-03,53.87
2021-09-07,54.1
2021-09-08,53.55
2021-09-09,53.67
2021-09-10,53.54
2021-09-13,52.03
2021-09-14,51.66
2021-09-15,52.12
2021-09-16,51.52
2021-09-17,50.86
2021-09-20,49.08
2021-09-21,48.79
2021-09-22,49.8
2021-09-23,48.74
2021-09-24,46.91
2021-09-27,47.03
2021-09-28,46.59
2021-09-29,46.34
2021-09-30,47.49
2021-10-01,46.14
2021-10-04,45.38
2021-10-05,45.44
2021-10-06,45.03
2021-10-07,47.7
2021-10-08,48.56
2021-10-11,48.11
2021-10-12,48.71
2021-10-13,49.39
2021-10-14,48.46
2021-10-15,47.92
2021-10-18,49.15
2021-10-19,49.14
2021-10-20,50.88
2021-10-21,50.72
2021-10-22,50.29
2021-10-25,50.12
2021-10-26,47.66
2021-10-27,46.6
2021-10-28,45.86
2021-10-29,44.98
2021-11-01,46.3
2021-11-02,43.77
2021-11-03,44.75
2021-11-04,43.53
2021-11-05,43.22
2021-11-08,43.97
2021-11-09,43.44
2021-11-10,44.08
2021-11-11,46.11
2021-11-12,46.34
2021-11-15,44.02
2021-11-16,44.16
2021-11-17,43.34
2021-11-18,41.76
2021-11-19,41.97
2021-11-22,42.38
2021-11-23,43.96
2021-11-24,43.03
2021-11-26,42.79
2021-11-29,39.61
2021-11-30,39.81
2021-12-01,36.0
2021-12-02,34.36
2021-12-03,32.18
2021-12-06,31.98
2021-12-07,33.48
2021-12-08,32.64
2021-12-09,31.52
2021-12-10,31.65
2021-12-13,29.88
2021-12-14,28.83
2021-12-15,28.98
2021-12-16,29.24
2021-12-17,29.52
2021-12-20,29.67
2021-12-21,31.36
2021-12-22,30.21
2021-12-23,29.75
2021-12-27,30.07
2021-12-28,29.54
2021-12-29,28.52
2021-12-30,31.42
2021-12-31,30.98
2022-01-03,31.81
2022-01-04,31.13
2022-01-05,31.98
2022-01-06,33.48
2022-01-07,33.43
2022-01-10,33.15
2022-01-11,34.35
2022-01-12,35.1
2022-01-13,33.1
2022-01-14,34.24
2022-01-18,33.47
2022-01-19,33.55
2022-01-20,34.64
2022-01-21,33.46
2022-01-24,33.02
2022-01-25,33.54
2022-01-26,32.15
2022-01-27,31.0
2022-01-28,30.91
2022-01-31,34.65
2022-02-01,34.71
2022-02-02,33.29
2022-02-03,32.02
2022-02-04,32.79
2022-02-07,31.03
2022-02-08,32.37
2022-02-09,32.5
2022-02-10,31.55
2022-02-11,31.25
2022-02-14,30.85
2022-02-15,32.1
2022-02-16,32.36
2022-02-17,31.79
2022-02-18,30.15
2022-02-22,29.19
2022-02-23,28.49
2022-02-24,28.07
2022-02-25,28.29
2022-02-28,27.43
2022-03-01,26.88
2022-03-02,27.42
2022-03-03,27.28
2022-03-04,25.78
2022-03-07,23.67
2022-03-08,25.11
2022-03-09,26.19
2022-03-10,24.46
2022-03-11,21.41
2022-03-14,20.06
2022-03-15,21.15
2022-03-16,25.52
2022-03-17,24.17
2022-03-18,26.91
2022-03-21,26.03
2022-03-22,27.16
2022-03-23,27.0
2022-03-24,26.66
2022-03-25,25.38
2022-03-28,25.88
2022-03-29,25.35
2022-03-30,24.68
2022-03-31,24.51
2022-04-01,25.62
2022-04-04,26.85
2022-04-05,26.49
2022-04-06,26.0
2022-04-07,24.86
2022-04-08,24.9
2022-04-11,24.0
2022-04-12,23.63
2022-04-13,23.43
2022-04-14,22.8
2022-04-18,22.51
2022-04-19,22.6
2022-04-20,22.0
2022-04-21,20.78
2022-04-22,20.95
2022-04-25,21.15
2022-04-26,20.62
2022-04-27,20.95
2022-04-28,21.25
2022-04-29,23.14
2022-05-02,22.83
2022-05-03,22.545
2022-05-04,22.68
2022-05-05,21.91
2022-05-06,20.81
2022-05-09,20.01
2022-05-10,20.24
2022-05-11,19.99
2022-05-12,20.34
2022-05-13,21.18
2022-05-16,21.19
2022-05-17,21.5
2022-05-18,21.5
2022-05-19,21.46
2022-05-20,21.67
2022-05-23,21.54
2022-05-24,20.56
2022-05-25,20.59
2022-05-26,21.93
2022-05-27,22.0
2022-05-31,22.0
2022-06-01,21.99
2022-06-02,21.0
2022-06-03,22.45
2022-06-06,23.37
2022-06-07,23.33
2022-06-08,24.66
2022-06-09,23.8
2022-06-10,22.31
2022-06-13,21.0
2022-06-14,21.6
2022-06-15,21.82
2022-06-16,21.0
2022-06-17,21.58
2022-06-21,22.58
2022-06-22,22.91
2022-06-23,23.24
2022-06-24,23.82
2022-06-27,23.26
2022-06-28,23.85
2022-06-29,23.38
2022-06-30,23.13
2022-07-01,24.23
2022-07-05,24.01
2022-07-06,22.97
2022-07-07,23.28
2022-07-08,22.84
2022-07-11,20.52
2022-07-12,20.33
2022-07-13,20.53
2022-07-14,19.51
2022-07-15,19.31
2022-07-18,20.0
2022-07-19,20.47
2022-07-20,20.08
2022-07-21,20.5
2022-07-22,20.01
2022-07-25,19.84
2022-07-26,19.39
2022-07-27,19.99
2022-07-28,19.56
2022-07-29,19.22
2022-08-01,18.28
2022-08-02,18.45
2022-08-03,19.04
2022-08-04,18.97
2022-08-05,18.96
2022-08-08,19.23
2022-08-09,18.77
2022-08-10,19.13
2022-08-11,19.58
2022-08-12,19.47
2022-08-15,19.32
2022-08-16,19.26
2022-08-17,18.41
2022-08-18,18.08
2022-08-19,18.2
2022-08-22,18.56
2022-08-23,18.33
2022-08-24,18.92
2022-08-25,20.2
2022-08-26,20.61
2022-08-29,20.02
2022-08-30,19.64
2022-08-31,20.69
2022-09-01,19.68
2022-09-02,19.04
2022-09-06,18.15
2022-09-07,18.41
2022-09-08,18.35
2022-09-09,18.6
2022-09-12,18.87
2022-09-13,18.09
2022-09-14,17.9
2022-09-15,18.11
2022-09-16,18.1
2022-09-19,18.15
2022-09-20,18.93
2022-09-21,18.73
2022-09-22,18.46
2022-09-23,17.48
2022-09-26,16.85
2022-09-27,16.22
2022-09-28,17.55
2022-09-29,16.76
2022-09-30,17.1
2022-10-03,16.42
2022-10-04,17.64
2022-10-05,17.45
2022-10-06,16.8
2022-10-07,15.98
2022-10-10,14.74
2022-10-11,14.04
2022-10-12,13.78
2022-10-13,13.99
2022-10-14,13.66
2022-10-17,13.85
2022-10-18,13.6
2022-10-19,12.73
2022-10-20,12.65
2022-10-21,12.25
2022-10-24,10.71
2022-10-25,11.3
2022-10-26,12.2
2022-10-27,11.79
2022-10-28,10.88
2022-10-31,11.32
2022-11-01,12.46
2022-11-02,12.31
2022-11-03,12.68
2022-11-04,13.16
2022-11-07,13.17
2022-11-08,13.12
2022-11-09,12.25
2022-11-10,13.01
2022-11-11,14.01
2022-11-14,13.76
2022-11-15,15.35
2022-11-16,14.81
2022-11-17,15.9
2022-11-18,14.4
2022-11-21,13.82
2022-11-22,13.7
2022-11-23,13.82
2022-11-25,13.18
2022-11-28,13.39
2022-11-29,14.74
2022-11-30,15.94
2022-12-01,15.15
2022-12-02,16.42
2022-12-05,16.51
2022-12-06,16.32
2022-12-07,15.48
2022-12-08,17.69
2022-12-09,18.04
2022-12-12,17.71
2022-12-13,18.48
2022-12-14,18.44
2022-12-15,18.41
2022-12-16,17.59
2022-12-19,17.37
2022-12-20,17.7
2022-12-21,18.57
2022-12-22,18.63
2022-12-23,17.92
2022-12-27,19.5
2022-12-28,18.35
2022-12-29,19.19
2022-12-30,19.12
2023-01-03,20.17
2023-01-04,20.04
2023-01-05,19.95
2023-01-06,19.68
2023-01-09,20.09
2023-01-10,20.8
2023-01-11,20.36
2023-01-12,20.02
2023-01-13,20.69
2023-01-17,20.73
2023-01-18,20.14
2023-01-19,21.2
2023-01-20,22.02
2023-01-23,22.28
2023-01-24,22.3
2023-01-25,21.95
2023-01-26,25.02
2023-01-27,24.31
2023-01-30,22.97
2023-01-31,22.75
2023-02-01,25.18
2023-02-02,25.44
2023-02-03,24.07
2023-02-06,23.35
2023-02-07,23.73
2023-02-08,23.1
2023-02-09,23.47
2023-02-10,22.56
2023-02-13,23.29
2023-02-14,23.16
2023-02-15,22.6
2023-02-16,22.45
2023-02-17,21.27
2023-02-21,21.06
2023-02-22,20.88
2023-02-23,20.84
2023-02-24,20.5
2023-02-27,20.58
2023-02-28,20.68
2023-03-01,19.12
2023-03-02,19.39
2023-03-03,19.13
2023-03-06,18.32
2023-03-07,17.72
2023-03-08,17.5
2023-03-09,16.58
2023-03-10,16.58
2023-03-13,16.57
2023-03-14,16.6
2023-03-15,16.11
2023-03-16,16.48
2023-03-17,16.47
2023-03-20,16.54
2023-03-21,16.92
2023-03-22,17.48
2023-03-23,18.81
2023-03-24,18.72
2023-03-27,18.39
2023-03-28,19.22
2023-03-29,19.58
2023-03-30,20.04
2023-03-31,20.06
2023-04-03,19.02
2023-04-04,18.89
2023-04-05,18.05
2023-04-06,18.17
2023-04-10,17.74
2023-04-11,17.78
2023-04-12,17.32
2023-04-13,17.71
2023-04-14,17.33
2023-04-17,17.75
2023-04-18,17.23
2023-04-19,17.07
2023-04-20,16.86
2023-04-21,16.74
2023-04-24,16.33
2023-04-25,15.97
2023-04-26,16.62
2023-04-27,17.18
2023-04-28,17.51
2023-05-01,17.11
2023-05-02,16.09
2023-05-03,16.24
2023-05-04,16.4
2023-05-05,16.38
2023-05-08,16.2
2023-05-09,15.62
2023-05-10,15.49
2023-05-11,16.02
2023-05-12,15.91
2023-05-15,17.01
2023-05-16,17.21
2023-05-17,17.37
2023-05-18,16.79
2023-05-19,16.8
2023-05-22,17.05
2023-05-23,16.33
2023-05-24,16.06
2023-05-25,15.31
2023-05-26,15.29
2023-05-30,14.155
2023-05-31,13.97
2023-06-01,14.17
2023-06-02,14.51
2023-06-05,14.29
2023-06-06,14.46
2023-06-07,14.58
2023-06-08,14.79
2023-06-09,14.38
2023-06-12,14.46
2023-06-13,14.88
2023-06-14,15.16
2023-06-15,15.25
2023-06-16,15.25
2023-06-20,14.38
2023-06-21,14.18
2023-06-22,14.19
2023-06-23,13.35
2023-06-26,13.22
2023-06-27,13.5
2023-06-28,13.245
2023-06-29,13.19
2023-06-30,13.11
2023-07-03,13.43
2023-07-05,13.1
2023-07-06,12.86
2023-07-07,13.34
2023-07-10,13.365
2023-07-11,13.45
2023-07-12,14.1
2023-07-13,14.46
2023-07-14,14.1
2023-07-17,13.92
2023-07-18,13.39
2023-07-19,13.79
2023-07-20,13.49
2023-07-21,13.5
2023-07-24,14.29
2023-07-25,14.24
2023-07-26,14.5
2023-07-27,14.265
