date,close
2023-06-21,62.81
2023-06-22,62.76
2023-06-23,62.1
2023-06-26,62.86
2023-06-27,62.44
2023-06-28,61.24
2023-06-29,61.29
2023-06-30,62.17
2023-07-03,62.98
2023-07-05,63.79
2023-07-06,63.76
2023-07-07,62.93
2023-07-10,62.65
2023-07-11,63.12
2023-07-12,63.79
2023-07-13,64.33
2023-07-14,64.27
2023-07-17,63.21
2023-07-18,63.0
2023-07-19,63.39
2023-07-20,64.56
2023-07-21,65.21
2023-07-24,65.08
2023-07-25,64.96
2023-07-26,65.05
2023-07-27,62.87
2023-07-28,62.89
2023-07-31,62.73
2023-08-01,62.85
2023-08-02,62.88
2023-08-03,61.32
2023-08-04,60.39
2023-08-07,59.76
2023-08-08,59.64
2023-08-09,59.69
2023-08-10,59.5
2023-08-11,59.7
2023-08-14,59.24
2023-08-15,58.12
2023-08-16,58.43
2023-08-17,58.17
2023-08-18,58.19
2023-08-21,57.96
2023-08-22,57.95
2023-08-23,57.52
2023-08-24,57.01
2023-08-25,57.58
2023-08-28,57.85
2023-08-29,57.95
2023-08-30,57.68
2023-08-31,57.13
2023-09-01,56.51
2023-09-05,55.59
2023-09-06,56.34
2023-09-07,56.6
2023-09-08,57.07
2023-09-11,57.43
2023-09-12,57.21
2023-09-13,58.13
2023-09-14,58.68
2023-09-15,57.97
2023-09-18,57.99
2023-09-19,58.52
2023-09-20,59.96
2023-09-21,59.38
2023-09-22,59.73
2023-09-25,59.49
2023-09-26,57.72
2023-09-27,57.21
2023-09-28,56.87
2023-09-29,57.22
2023-10-02,55.03
2023-10-03,55.84
2023-10-04,56.63
2023-10-05,56.48
2023-10-06,57.35
2023-10-09,57.65
2023-10-10,58.06
2023-10-11,58.81
2023-10-12,58.15
2023-10-13,58.86
2023-10-16,59.56
2023-10-17,59.51
2023-10-18,59.33
2023-10-19,59.05
2023-10-20,58.1
2023-10-23,58.05
2023-10-24,59.08
2023-10-25,59.47
2023-10-26,59.77
2023-10-27,58.31
2023-10-30,58.74
2023-10-31,59.27
2023-11-01,60.54
2023-11-02,61.07
2023-11-03,61.03
