date,close
2023-06-21,10.63
2023-06-22,10.56
2023-06-23,9.9
2023-06-26,10.16
2023-06-27,10.98
2023-06-28,11.78
2023-06-29,11.83
2023-06-30,13.42
2023-07-03,13.98
2023-07-05,14.8
2023-07-06,14.14
2023-07-07,14.16
2023-07-10,14.15
2023-07-11,14.97
2023-07-12,15.15
2023-07-13,14.04
2023-07-14,14.02
2023-07-17,14.07
2023-07-18,14.33
2023-07-19,14.98
2023-07-20,15.04
2023-07-21,14.56
2023-07-24,16.01
2023-07-25,15.36
2023-07-26,19.46
2023-07-27,20.22
2023-07-28,23.39
2023-07-31,20.92
2023-08-01,20.05
2023-08-02,18.83
2023-08-03,19.54
2023-08-04,18.32
2023-08-07,18.7
2023-08-08,17.73
2023-08-09,16.94
2023-08-10,16.78
2023-08-11,16.28
2023-08-14,16.24
2023-08-15,16.11
2023-08-16,15.58
2023-08-17,15.65
2023-08-18,14.98
2023-08-21,16.43
2023-08-22,15.94
2023-08-23,16.06
2023-08-24,16.2
2023-08-25,17.53
2023-08-28,18.46
2023-08-29,19.14
2023-08-30,18.88
2023-08-31,17.79
2023-09-01,18.71
2023-09-05,18.75
2023-09-06,18.95
2023-09-07,17.46
2023-09-08,17.35
2023-09-11,18.48
2023-09-12,18.65
2023-09-13,18.07
2023-09-14,18.35
2023-09-15,18.3
2023-09-18,18.46
2023-09-19,17.49
2023-09-20,16.35
2023-09-21,15.89
2023-09-22,16.44
2023-09-25,16.69
2023-09-26,16.22
2023-09-27,16.69
2023-09-28,17.22
2023-09-29,18.36
2023-10-02,18.13
2023-10-03,17.44
2023-10-04,17.97
2023-10-05,17.95
2023-10-06,18.16
2023-10-09,16.29
2023-10-10,16.94
2023-10-11,17.01
2023-10-12,16.3
2023-10-13,16.14
2023-10-16,15.35
2023-10-17,15.38
2023-10-18,13.8
2023-10-19,13.63
2023-10-20,13.42
2023-10-23,13.91
2023-10-24,15.34
2023-10-25,14.11
2023-10-26,14.58
2023-10-27,14.7
2023-10-30,14.91
2023-10-31,14.48
2023-11-01,15.5
2023-11-02,16.54
2023-11-03,17.14
2023-11-06,17.43
2023-11-07,17.13
2023-11-08,16.1
2023-11-09,15.89
2023-11-10,15.26
2023-11-13,15.66
2023-11-14,17.0
2023-11-15,17.39
2023-11-16,16.23
2023-11-17,16.79
2023-11-20,18.23
2023-11-21,17.4
2023-11-22,17.42
2023-11-24,18.48
2023-11-27,17.71
2023-11-28,17.88
2023-11-29,17.16
2023-11-30,16.61
2023-12-01,15.74
2023-12-04,16.02
2023-12-05,16.19
2023-12-06,16.7
2023-12-07,16.0
2023-12-08,15.15
2023-12-11,15.89
2023-12-12,15.53
2023-12-13,15.38
2023-12-14,15.65
2023-12-15,14.47
2023-12-18,14.32
2023-12-19,14.79
2023-12-20,13.98
2023-12-21,14.17
2023-12-22,13.81
2023-12-26,14.03
2023-12-27,13.65
2023-12-28,14.27
2023-12-29,14.59
2024-01-02,14.04
2024-01-03,14.23
2024-01-04,13.79
2024-01-05,13.09
2024-01-08,12.7
2024-01-09,12.6
2024-01-10,12.4
2024-01-11,12.25
2024-01-12,11.77
2024-01-16,10.62
2024-01-17,10.1
2024-01-18,9.87
2024-01-19,9.64
2024-01-22,9.34
2024-01-23,9.72
2024-01-24,9.2
2024-01-25,9.05
2024-01-26,8.97
2024-01-29,8.92
2024-01-30,8.65
2024-01-31,8.33
2024-02-01,8.47
2024-02-02,8.19
2024-02-05,7.87
2024-02-06,8.79
2024-02-07,8.43
2024-02-08,8.42
2024-02-09,8.49
2024-02-12,8.82
2024-02-13,8.54
2024-02-14,8.99
2024-02-15,9.16
2024-02-16,9.52
2024-02-20,9.0
2024-02-21,9.08
2024-02-22,9.14
2024-02-23,8.63
2024-02-26,9.22
2024-02-27,9.38
2024-02-28,8.73
2024-02-29,9.43
2024-03-01,9.95
2024-03-04,9.15
2024-03-05,9.15
2024-03-06,9.6
2024-03-07,9.45
2024-03-08,9.52
2024-03-11,10.05
2024-03-12,10.32
2024-03-13,10.0
2024-03-14,9.39
2024-03-15,9.64
2024-03-18,9.82
2024-03-19,9.89
2024-03-20,9.51
2024-03-21,9.24
2024-03-22,8.52
2024-03-25,8.57
2024-03-26,8.54
2024-03-27,7.81
2024-03-28,7.68
2024-04-01,7.76
2024-04-02,7.59
2024-04-03,7.43
2024-04-04,7.42
2024-04-05,7.39
2024-04-08,7.38
2024-04-09,8.07
2024-04-10,8.15
2024-04-11,8.27
2024-04-12,7.46
2024-04-15,7.2
2024-04-16,7.15
2024-04-17,7.42
2024-04-18,7.17
2024-04-19,6.93
2024-04-22,6.98
2024-04-23,7.18
2024-04-24,7.08
2024-04-25,7.08
2024-04-26,7.84
2024-04-29,8.1
2024-04-30,8.13
2024-05-01,8.12
2024-05-02,9.4
2024-05-03,9.06
2024-05-06,9.03
2024-05-07,8.43
2024-05-08,7.89
2024-05-09,8.16
2024-05-10,7.73
2024-05-13,8.09
2024-05-14,8.28
2024-05-15,7.99
2024-05-16,8.27
2024-05-17,8.3
2024-05-20,8.28
2024-05-21,8.77
2024-05-22,8.75
2024-05-23,8.1
2024-05-24,8.2
2024-05-28,8.44
2024-05-29,8.21
2024-05-30,8.66
2024-05-31,8.31
2024-06-03,8.12
2024-06-04,8.1
2024-06-05,8.35
2024-06-06,8.36
2024-06-07,8.15
2024-06-10,7.93
2024-06-11,7.5
2024-06-12,7.48
2024-06-13,7.37
2024-06-14,7.19
2024-06-17,7.32
2024-06-18,7.48
2024-06-20,7.48
2024-06-21,7.73
2024-06-24,7.92
2024-06-25,7.94
2024-06-26,8.24
2024-06-27,7.69
2024-06-28,7.33
2024-07-01,7.71
2024-07-02,7.63
2024-07-03,8.32
2024-07-05,7.92
2024-07-08,7.45
2024-07-09,7.51
2024-07-10,8.07
2024-07-11,8.69
2024-07-12,8.84
2024-07-15,8.4
2024-07-16,8.95
2024-07-17,8.6
2024-07-18,8.35
2024-07-19,8.45
2024-07-22,9.0
2024-07-23,8.4
2024-07-24,8.05
2024-07-25,8.2
2024-07-26,8.51
2024-07-29,8.24
2024-07-30,7.94
2024-07-31,8.06
2024-08-01,7.63
2024-08-02,7.56
2024-08-05,7.32
2024-08-06,7.22
2024-08-07,6.83
2024-08-08,7.07
2024-08-09,6.86
2024-08-12,6.63
2024-08-13,6.97
2024-08-14,6.68
2024-08-15,6.84
2024-08-16,6.94
2024-08-19,7.2
2024-08-20,6.77
2024-08-21,7.06
2024-08-22,6.91
2024-08-23,7.01
2024-08-26,7.51
2024-08-27,8.0
2024-08-28,7.28
2024-08-29,7.87
2024-08-30,8.05
2024-09-03,8.37
2024-09-04,8.43
2024-09-05,8.83
2024-09-06,8.54
2024-09-09,8.52
2024-09-10,8.75
2024-09-11,9.14
2024-09-12,8.62
2024-09-13,8.97
2024-09-16,8.92
2024-09-17,9.05
2024-09-18,8.64
2024-09-19,9.39
2024-09-20,9.6
2024-09-23,9.56
2024-09-24,10.7
2024-09-25,10.43
2024-09-26,11.67
2024-09-27,12.72
2024-09-30,12.18
2024-10-01,12.85
2024-10-02,13.34
2024-10-03,12.4
2024-10-04,12.81
2024-10-07,13.08
2024-10-08,12.13
2024-10-09,12.55
2024-10-10,12.66
2024-10-11,12.9
2024-10-14,11.64
2024-10-15,11.16
2024-10-16,11.05
2024-10-17,10.22
2024-10-18,10.49
2024-10-21,10.82
2024-10-22,11.04
2024-10-23,11.16
2024-10-24,10.47
2024-10-25,11.13
2024-10-28,12.13
2024-10-29,11.6
2024-10-30,11.35
2024-10-31,11.23
2024-11-01,11.52
2024-11-04,12.07
2024-11-05,12.81
2024-11-06,12.3
2024-11-07,14.22
2024-11-08,14.49
2024-11-11,15.3
2024-11-12,13.67
2024-11-13,13.35
2024-11-14,12.63
2024-11-15,12.74
2024-11-18,13.01
2024-11-19,12.52
2024-11-20,12.64
2024-11-21,12.29
2024-11-22,11.91
2024-11-25,11.62
2024-11-26,11.39
2024-11-27,11.91
2024-11-29,12.05
2024-12-02,12.69
2024-12-03,12.69
2024-12-04,12.78
2024-12-05,12.54
2024-12-06,12.5
2024-12-09,14.13
2024-12-10,13.15
2024-12-11,12.79
2024-12-12,12.81
2024-12-13,12.3
2024-12-16,12.39
2024-12-17,12.84
2024-12-18,12.48
2024-12-19,12.71
2024-12-20,12.64
2024-12-23,12.81
2024-12-24,12.98
2024-12-26,13.26
2024-12-27,12.63
2024-12-30,11.87
2024-12-31,11.82
2025-01-02,11.55
2025-01-03,11.71
2025-01-06,11.75
2025-01-07,12.86
2025-01-08,12.14
2025-01-10,12.22
2025-01-13,11.81
2025-01-14,12.61
2025-01-15,13.05
2025-01-16,13.87
2025-01-17,14.13
2025-01-21,15.0
2025-01-22,14.53
2025-01-23,14.24
2025-01-24,14.68
2025-01-27,15.09
2025-01-28,15.11
2025-01-29,14.81
2025-01-30,15.57
2025-01-31,15.22
2025-02-03,15.69
2025-02-04,16.99
2025-02-05,16.55
2025-02-06,17.1
2025-02-07,16.93
2025-02-10,16.65
2025-02-11,15.52
2025-02-12,16.03
2025-02-13,15.95
2025-02-14,16.66
2025-02-18,17.48
2025-02-19,17.99
2025-02-20,17.7
2025-02-21,18.4
2025-02-24,18.14
2025-02-25,19.13
2025-02-26,21.99
2025-02-27,22.26
2025-02-28,21.49
2025-03-03,20.25
2025-03-04,20.22
2025-03-05,21.66
2025-03-06,22.23
2025-03-07,23.6
2025-03-10,22.95
2025-03-11,26.34
2025-03-12,24.73
2025-03-13,25.35
2025-03-14,23.73
2025-03-17,24.56
2025-03-18,22.64
2025-03-19,23.8
2025-03-20,22.07
2025-03-21,21.8
2025-03-24,21.39
2025-03-25,21.01
2025-03-26,20.72
2025-03-27,20.2
2025-03-28,19.7
2025-03-31,20.72
2025-04-01,20.96
2025-04-02,21.12
2025-04-03,21.12
2025-04-04,19.43
2025-04-07,17.74
2025-04-08,16.42
2025-04-09,17.44
2025-04-10,17.97
2025-04-11,20.0
2025-04-14,21.08
2025-04-15,19.81
2025-04-16,18.71
2025-04-17,18.22
2025-04-21,18.2
2025-04-22,19.07
2025-04-23,20.47
2025-04-24,20.8
2025-04-25,20.08
2025-04-28,19.93
2025-04-29,18.67
2025-04-30,18.6
2025-05-01,18.67
2025-05-02,19.76
2025-05-05,19.94
2025-05-06,19.74
2025-05-07,19.18
2025-05-08,19.6
2025-05-09,19.63
2025-05-12,21.12
2025-05-13,20.77
2025-05-14,20.91
2025-05-15,20.62
2025-05-16,20.67
2025-05-19,19.98
2025-05-20,19.69
2025-05-21,22.25
2025-05-22,20.5
2025-05-23,20.0
2025-05-27,19.33
2025-05-28,19.33
2025-05-29,20.1
2025-05-30,19.31
2025-06-02,19.26
2025-06-03,19.63
2025-06-04,20.37
2025-06-05,19.98
2025-06-06,19.5
2025-06-09,20.16
2025-06-10,20.48
2025-06-11,20.43
2025-06-12,19.23
2025-06-13,18.18
2025-06-16,18.65
2025-06-17,18.57
2025-06-18,18.61
2025-06-20,18.31
2025-06-23,19.17
2025-06-24,19.85
2025-06-25,19.2
2025-06-26,17.95
2025-06-27,18.13
2025-06-30,17.88
2025-07-01,18.26
2025-07-02,18.37
2025-07-03,18.85
2025-07-07,17.91
2025-07-08,17.93
2025-07-09,17.65
2025-07-10,17.43
2025-07-11,17.4
2025-07-14,17.64
2025-07-15,17.92
2025-07-16,17.93
2025-07-17,18.22
2025-07-18,18.31
2025-07-21,18.24
2025-07-22,18.87
2025-07-23,18.83
2025-07-24,19.13
2025-07-25,18.97
2025-07-28,18.94
2025-07-29,18.4
2025-07-30,18.03
2025-07-31,18.21
2025-08-01,18.05
2025-08-04,18.86
2025-08-05,19.29
2025-08-06,19.27
2025-08-07,19.62
2025-08-08,20.2
2025-08-11,21.38
2025-08-12,20.08
2025-08-13,20.17
2025-08-14,19.38
2025-08-15,19.7
2025-08-18,19.9
2025-08-19,20.74
2025-08-20,20.37
2025-08-21,22.75
2025-08-22,23.75
2025-08-25,23.07
2025-08-26,24.33
2025-08-27,22.7
2025-08-28,21.91
2025-08-29,21.02
2025-09-02,20.79
