date,close
2023-06-21,65.46
2023-06-22,64.11
2023-06-23,62.86
2023-06-26,61.75
2023-06-27,63.93
2023-06-28,64.77
2023-06-29,64.39
2023-06-30,66.57
2023-07-03,66.2
2023-07-05,68.97
2023-07-06,64.61
2023-07-07,67.27
2023-07-10,69.06
2023-07-11,71.1
2023-07-12,71.22
2023-07-13,76.2
2023-07-14,75.46
2023-07-17,78.06
2023-07-18,79.03
2023-07-19,78.19
2023-07-20,76.17
2023-07-21,76.12
2023-07-24,77.14
2023-07-25,76.87
2023-07-26,77.41
2023-07-27,75.77
2023-07-28,78.36
2023-07-31,80.53
2023-08-01,78.76
2023-08-02,74.49
2023-08-03,73.55
2023-08-04,63.52
2023-08-07,64.01
2023-08-08,62.38
2023-08-09,62.71
2023-08-10,62.24
2023-08-11,60.57
2023-08-14,60.15
2023-08-15,58.36
2023-08-16,57.49
2023-08-17,56.1
2023-08-18,56.88
2023-08-21,57.56
2023-08-22,56.07
2023-08-23,57.22
2023-08-24,55.63
2023-08-25,55.86
2023-08-28,55.87
2023-08-29,57.76
2023-08-30,57.72
2023-08-31,57.65
2023-09-01,58.17
2023-09-05,58.74
2023-09-06,57.64
2023-09-07,56.04
2023-09-08,53.08
2023-09-11,53.94
2023-09-12,54.33
2023-09-13,54.15
2023-09-14,53.85
2023-09-15,52.83
2023-09-18,51.25
2023-09-19,49.8
2023-09-20,47.57
2023-09-21,45.62
2023-09-22,44.71
2023-09-25,45.59
2023-09-26,44.81
2023-09-27,44.14
2023-09-28,44.35
2023-09-29,44.26
2023-10-02,43.19
2023-10-03,41.9
2023-10-04,41.9
2023-10-05,42.64
2023-10-06,43.83
2023-10-09,43.71
2023-10-10,46.0
2023-10-11,46.69
2023-10-12,45.45
2023-10-13,43.17
2023-10-16,44.76
2023-10-17,45.9
2023-10-18,44.58
2023-10-19,44.17
2023-10-20,43.98
2023-10-23,43.9
2023-10-24,45.35
2023-10-25,41.72
2023-10-26,41.68
2023-10-27,40.02
2023-10-30,39.22
2023-10-31,40.25
2023-11-01,40.96
2023-11-02,43.98
2023-11-03,48.68
2023-11-06,49.52
2023-11-07,51.05
2023-11-08,52.27
2023-11-09,51.05
2023-11-10,51.5
2023-11-13,52.02
2023-11-14,55.1
2023-11-15,56.3
2023-11-16,56.28
2023-11-17,58.19
2023-11-20,59.27
2023-11-21,58.67
2023-11-22,59.02
2023-11-24,59.65
2023-11-27,60.31
2023-11-28,63.34
2023-11-29,63.73
2023-11-30,63.43
2023-12-01,65.04
2023-12-04,65.0
2023-12-05,64.89
2023-12-06,68.0
2023-12-07,68.47
2023-12-08,69.17
2023-12-11,68.56
2023-12-12,69.57
2023-12-13,70.06
2023-12-14,74.76
2023-12-15,74.21
2023-12-18,73.88
2023-12-19,77.31
2023-12-20,76.11
2023-12-21,76.9
2023-12-22,77.14
2023-12-26,78.18
2023-12-27,79.6
2023-12-28,79.51
2023-12-29,77.35
2024-01-02,72.22
2024-01-03,68.63
2024-01-04,68.15
2024-01-05,66.96
2024-01-08,69.31
2024-01-09,69.53
2024-01-10,67.9
2024-01-11,67.87
2024-01-12,66.48
2024-01-16,65.16
2024-01-17,63.9
2024-01-18,64.47
2024-01-19,65.85
2024-01-22,66.69
2024-01-23,66.2
2024-01-24,62.57
2024-01-25,62.71
2024-01-26,64.97
2024-01-29,68.98
2024-01-30,68.22
2024-01-31,65.01
2024-02-01,66.67
2024-02-02,67.88
2024-02-05,65.85
2024-02-06,67.0
2024-02-07,68.31
2024-02-08,68.83
2024-02-09,66.88
2024-02-12,68.84
2024-02-13,64.98
2024-02-14,67.41
2024-02-15,69.48
2024-02-16,65.64
2024-02-20,65.73
2024-02-21,64.47
2024-02-22,67.96
2024-02-23,78.92
2024-02-26,74.66
2024-02-27,77.71
2024-02-28,78.42
2024-02-29,79.47
2024-03-01,79.25
2024-03-04,77.0
2024-03-05,74.43
2024-03-06,75.53
2024-03-07,77.22
2024-03-08,80.74
2024-03-11,81.53
2024-03-12,81.71
2024-03-13,85.72
2024-03-14,81.24
2024-03-15,80.17
2024-03-18,80.86
2024-03-19,79.32
2024-03-20,81.46
2024-03-21,84.05
2024-03-22,80.77
2024-03-25,82.62
2024-03-26,83.8
2024-03-27,83.18
2024-03-28,84.58
2024-04-01,81.46
2024-04-02,79.21
2024-04-03,79.65
2024-04-04,74.73
2024-04-05,77.17
2024-04-08,78.35
2024-04-09,79.98
2024-04-10,78.51
2024-04-11,80.06
2024-04-12,76.99
2024-04-15,73.5
