date,close
2023-06-21,66.93
2023-06-22,67.45
2023-06-23,66.62
2023-06-26,66.62
2023-06-27,68.05
2023-06-28,68.69
2023-06-29,67.6
2023-06-30,67.88
2023-07-03,68.29
2023-07-05,67.65
2023-07-06,64.69
2023-07-07,65.67
2023-07-10,67.62
2023-07-11,69.74
2023-07-12,69.8
2023-07-13,71.24
2023-07-14,70.59
2023-07-17,72.84
2023-07-18,72.28
2023-07-19,73.92
2023-07-20,69.8
2023-07-21,71.03
2023-07-24,69.51
2023-07-25,69.33
2023-07-26,71.1
2023-07-27,72.39
2023-07-28,73.08
2023-07-31,73.35
2023-08-01,72.91
2023-08-02,69.89
2023-08-03,69.89
2023-08-04,69.06
2023-08-07,68.66
2023-08-08,67.55
2023-08-09,66.55
2023-08-10,67.47
2023-08-11,66.6
2023-08-14,67.55
2023-08-15,66.06
2023-08-16,65.375
2023-08-17,65.36
2023-08-18,66.29
2023-08-21,67.27
2023-08-22,65.83
2023-08-23,68.17
2023-08-24,66.95
2023-08-25,67.7
2023-08-28,67.57
2023-08-29,68.81
2023-08-30,68.67
2023-08-31,71.03
2023-09-01,71.72
2023-09-05,73.28
2023-09-06,74.0
2023-09-07,73.68
2023-09-08,72.06
2023-09-11,71.78
2023-09-12,70.27
2023-09-13,69.84
2023-09-14,71.57
2023-09-15,71.11
2023-09-18,70.63
2023-09-19,69.34
2023-09-20,68.8
2023-09-21,68.31
2023-09-22,68.85
2023-09-25,68.65
2023-09-26,68.3
2023-09-27,67.32
2023-09-28,68.33
2023-09-29,69.94
2023-10-02,70.11
2023-10-03,68.04
2023-10-04,66.06
2023-10-05,64.52
2023-10-06,65.48
2023-10-09,66.1
2023-10-10,67.28
2023-10-11,64.82
2023-10-12,63.47
2023-10-13,62.75
2023-10-16,63.18
2023-10-17,63.84
2023-10-18,62.97
2023-10-19,62.36
2023-10-20,61.71
2023-10-23,61.13
2023-10-24,62.14
2023-10-25,60.35
2023-10-26,59.5
2023-10-27,59.29
2023-10-30,60.0
2023-10-31,59.98
2023-11-01,60.03
2023-11-02,61.28
2023-11-03,62.99
2023-11-06,61.82
2023-11-07,62.69
2023-11-08,61.83
2023-11-09,60.65
2023-11-10,62.06
2023-11-13,61.54
2023-11-14,62.77
2023-11-15,63.74
2023-11-16,63.4
2023-11-17,64.12
2023-11-20,66.0
2023-11-21,65.94
2023-11-22,63.83
2023-11-24,64.53
2023-11-27,65.55
2023-11-28,67.53
2023-11-29,67.95
2023-11-30,67.83
2023-12-01,70.29
2023-12-04,68.16
2023-12-05,68.72
2023-12-06,70.94
2023-12-07,71.93
2023-12-08,73.06
2023-12-11,72.58
2023-12-12,71.28
2023-12-13,71.22
2023-12-14,72.14
2023-12-15,71.57
2023-12-18,71.36
2023-12-19,72.42
2023-12-20,69.86
2023-12-21,71.9
2023-12-22,72.5
2023-12-26,74.21
2023-12-27,73.73
2023-12-28,73.09
2023-12-29,71.91
2024-01-02,69.15
2024-01-03,67.17
2024-01-04,66.9
2024-01-05,66.96
2024-01-08,68.39
2024-01-09,68.31
2024-01-10,68.18
2024-01-11,68.5
2024-01-12,70.46
2024-01-16,69.1
2024-01-17,67.95
2024-01-18,67.32
2024-01-19,69.04
2024-01-22,69.59
2024-01-23,69.63
2024-01-24,69.04
2024-01-25,67.42
2024-01-26,67.74
2024-01-29,68.93
